BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2905,28, ,A9, 1665 WASHINGTON AVENUE                    ,            ,10457,1,0,1,4750,2619,1899, 1 , A9 ,0,10/18/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3029,60, ,A1, 4327 PARK AVENUE                          ,            ,10457,1,0,1,2500,1496,1901, 1 , A1 ,288990,10/24/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,59, ,A1, 418 EAST 182 STREET                       ,            ,10457,1,0,1,1165,1488,1899, 1 , A1 ,205000,3/14/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,64, ,A1, 4457 PARK AVENUE                          ,            ,10457,1,0,1,2378,1668,1899, 1 , A1 ,340000,3/28/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,5, ,A9, 451 EAST 178TH STREET                     ,            ,10457,1,0,1,1287,1992,1899, 1 , A9 ,120000,5/11/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,  ,3038,34, ,  , 2263 WASHINGTON AVENUE                    ,            ,10457,0,0,0,0,0,0, 1 , A1 ,0,10/13/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,  ,3038,34, ,  , 2263 WASHINGTON AVENUE                    ,            ,10457,0,0,0,0,0,0, 1 , A1 ,0,10/13/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,34, ,A1, 2085 BATHGATE AVENUE                      ,            ,10457,1,0,1,2060,1629,1899, 1 , A1 ,315000,3/30/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,19, ,A5, 2186 BATHGATE                             ,            ,10457,1,0,1,1768,1188,1901, 1 , A5 ,395000,12/4/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,27, ,A1, 538 EAST 182 STREET                       ,            ,10457,1,0,1,1209,1048,1901, 1 , A1 ,365000,9/29/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,27, ,A1, 538 EAST 182 STREET                       ,            ,10457,1,0,1,1209,1048,1901, 1 , A1 ,215000,6/6/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1, 540 EAST 182 STREET                       ,            ,10457,1,0,1,1209,1048,1901, 1 , A1 ,365000,12/7/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1, 540 EAST 182 STREET                       ,            ,10457,1,0,1,1209,1048,1901, 1 , A1 ,332000,8/17/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,53, ,S1, 4411 THIRD AVENUE                         ,            ,10457,1,1,2,2569,3750,1931, 1 , S1 ,390000,3/9/2006
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,  ,3050,72, ,  , 2273 BATHGATE AVENUE                      ,            ,10457,0,0,0,0,0,0, 1 , A1 ,800000,4/21/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2907,26, ,B2, 440 EAST 175 STREET                       ,            ,10457,2,0,2,1182,2502,1901, 1 , B2 ,299000,2/10/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2908,35, ,B2, 1833 WASHINGTON AVENUE                    ,            ,10457,2,0,2,2800,1360,1931, 1 , B2 ,0,2/27/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,147, ,B1, 3805 THIRD AVENUE                         ,            ,10457,2,0,2,2000,2400,1993, 1 , B1 ,0,5/2/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,149, ,B1, 523 EAST 171ST STREET                     ,            ,10457,2,0,2,2000,2400,1993, 1 , B1 ,430000,1/30/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2929,125, ,B1, 1559 FULTON AVENUE                        ,            ,10457,2,0,2,3165,2394,1995, 1 , B1 ,400000,12/13/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,60, ,B3, 4469 PARK AVENUE                          ,            ,10457,2,0,2,1542,1542,1899, 1 , B3 ,450000,6/20/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,61, ,B3, 4467 PARK AVENUE                          ,            ,10457,2,0,2,1556,1494,1899, 1 , B3 ,440000,10/31/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,76, ,B2, 4435 PARK AVENUE                          ,            ,10457,2,0,2,2444,2125,1899, 1 , B2 ,474226,10/13/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3034,36, ,B1, 1945 WASHINGTON AVENUE                    ,            ,10457,2,0,2,3197,3204,1995, 1 , B1 ,460000,3/23/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,27, ,B1, 454 EAST 179 STREET                       ,            ,10457,2,0,2,1819,2340,1998, 1 , B1 ,385000,9/18/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,127, ,B1, 456 EAST 179 STREET                       ,            ,10457,2,0,2,1790,2340,1998, 1 , B1 ,0,10/6/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,16, ,B2, 4354 PARK AVENUE                          ,            ,10457,2,0,2,3525,2316,1899, 1 , B2 ,489000,9/29/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,16, ,B2, 4354 PARK AVENUE                          ,            ,10457,2,0,2,3525,2316,1899, 1 , B2 ,0,7/24/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1B,3036,35, ,V0, 2087 WASHINGTON AVENUE                    ,            ,10457,0,0,0,2099,0,0, 1 , B3 ,470000,2/9/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,43, ,B1, 2057 WASHINGTON AVENUE                    ,            ,10457,2,0,2,3323,3438,1997, 1 , B1 ,475000,4/27/2006
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,65, ,B1, 455 EAST 179TH STREET                     ,            ,10457,2,0,2,2033,2340,1998, 1 , B1 ,453500,5/4/2006
