,NEIGHBORHOOD,ZIPCODE
0,ANNADALE                 ,10312
126,NEW SPRINGVILLE          ,10314
172,ARDEN HEIGHTS            ,10312
344,STAPLETON-CLIFTON        ,10304
352,ARDEN HEIGHTS            ,10309
560,ARROCHAR                 ,10305
608,ARROCHAR-SHORE ACRES     ,10305
631,BLOOMFIELD               ,10314
639,BLOOMFIELD               ,10303
640,BULLS HEAD               ,10314
730,BULLS HEAD               ,10303
1060,CASTLETON CORNERS        ,10310
1064,CASTLETON CORNERS        ,10314
1094,CASTLETON CORNERS        ,10302
1219,CLOVE LAKES              ,10301
1235,CLOVE LAKES              ,10310
1275,CLOVE LAKES              ,10314
1323,CONCORD                  ,10304
1480,CONCORD                  ,10305
1508,CONCORD                  ,10301
1540,CONCORD-FOX HILLS        ,10304
1589,DONGAN HILLS             ,10304
1629,DONGAN HILLS             ,10305
1688,DONGAN HILLS-COLONY      ,10304
1700,DONGAN HILLS-COLONY      ,10301
1743,DONGAN HILLS-OLD TOWN    ,10305
1744,ELTINGVILLE              ,10312
2051,EMERSON HILL             ,10304
2055,EMERSON HILL             ,10301
2066,FRESH KILLS              ,10312
2068,GRANT CITY               ,10304
2073,GRANT CITY               ,10305
2079,GRANT CITY               ,10306
2208,GRASMERE                 ,10304
2209,GRASMERE                 ,10305
2332,GREAT KILLS              ,10306
2384,GREAT KILLS              ,10308
2561,GREAT KILLS              ,10312
3064,GREAT KILLS-BAY TERRACE  ,10306
3086,GREAT KILLS-BAY TERRACE  ,10308
3107,GREAT KILLS-BAY TERRACE  ,10305
3116,GRYMES HILL              ,10301
3118,GRYMES HILL              ,10302
3122,GRYMES HILL              ,10304
3163,GRYMES HILL              ,10314
3185,HUGUENOT                 ,10312
3228,HUGUENOT                 ,10309
3326,LIVINGSTON               ,10301
3328,LIVINGSTON               ,10310
3369,MANOR HEIGHTS            ,10314
3529,MARINERS HARBOR          ,10303
3820,MARINERS HARBOR          ,10302
3973,MIDLAND BEACH            ,10305
3994,MIDLAND BEACH            ,10306
4256,MIDLAND BEACH            ,0
4272,NEW BRIGHTON             ,10301
4507,NEW BRIGHTON             ,10314
4518,NEW BRIGHTON-ST. GEORGE  ,10301
4559,NEW DORP                 ,10306
4717,NEW DORP-BEACH           ,10306
4820,NEW DORP-HEIGHTS         ,10306
5393,OAKWOOD                  ,10306
5435,OAKWOOD-BEACH            ,10306
5549,PLEASANT PLAINS          ,10309
5607,PLEASANT PLAINS          ,0
5609,PORT IVORY               ,10303
5636,PORT IVORY               ,10305
5681,PORT RICHMOND            ,10302
5986,PRINCES BAY              ,10309
6113,PRINCES BAY              ,0
6135,RICHMONDTOWN             ,10306
6192,RICHMONDTOWN-LIGHTHS HILL,10306
6203,ROSEBANK                 ,10305
6206,ROSEBANK                 ,10304
6431,ROSEBANK                 ,10301
