,NEIGHBORHOOD,ZIPCODE
6441,ROSEBANK                 ,10306
6477,ROSSVILLE                ,10312
6489,ROSSVILLE                ,10309
6676,ROSSVILLE                ,0
6687,ROSSVILLE-CHARLESTON     ,10309
6731,ROSSVILLE-PORT MOBIL     ,10309
6736,ROSSVILLE-RICHMOND VALLEY,10309
6748,SILVER LAKE              ,10301
6776,SILVER LAKE              ,10310
6819,SOUTH BEACH              ,10305
7050,SOUTH BEACH              ,10314
7097,SOUTH BEACH              ,0
7098,STAPLETON                ,10304
7099,STAPLETON                ,10301
7375,STAPLETON-CLIFTON        ,10305
7379,SUNNYSIDE                ,10301
7403,SUNNYSIDE                ,10314
7442,TODT HILL                ,10301
7450,TODT HILL                ,10304
7484,TOMPKINSVILLE            ,10301
7492,TOMPKINSVILLE            ,10304
7560,TOTTENVILLE              ,10307
7837,TOTTENVILLE              ,0
7843,TRAVIS                   ,10314
7853,TRAVIS                   ,10301
7962,WEST NEW BRIGHTON        ,10301
7973,WEST NEW BRIGHTON        ,10310
8066,WEST NEW BRIGHTON        ,10302
8312,WEST NEW BRIGHTON        ,0
8345,WESTERLEIGH              ,10302
8353,WESTERLEIGH              ,10314
8555,WILLOWBROOK              ,10314
8714,WOODROW                  ,10309
8873,WOODROW                  ,10312
8881,WOODROW                  ,10306
9418,ARDEN HEIGHTS            ,0
9494,BLOOMFIELD               ,0
10562,ELTINGVILLE              ,10308
13923,PLEASANT PLAINS          ,10307
14593,ROSEBANK                 ,10302
14915,ROSSVILLE-CHARLESTON     ,10304
14939,ROSSVILLE-CHARLESTON     ,10306
15712,TOTTENVILLE              ,10309
15974,TRAVIS                   ,0
18270,GRANT CITY               ,0
20668,NEW SPRINGVILLE          ,0
21756,ROSSVILLE-PORT MOBIL     ,10303
21769,ROSSVILLE-RICHMOND VALLEY,10307
22471,TOTTENVILLE              ,10301
22964,WESTERLEIGH              ,10305
23483,ANNADALE                 ,0
24721,GRASMERE                 ,10310
25242,GREAT KILLS              ,10301
27654,ROSSVILLE-CHARLESTON     ,10307
28468,WEST NEW BRIGHTON        ,10303
29214,ARROCHAR-SHORE ACRES     ,0
29426,CASTLETON CORNERS        ,10304
30647,MARINERS HARBOR          ,10312
31604,OAKWOOD-BEACH            ,0
31882,PRINCES BAY              ,10312
36152,ROSEBANK                 ,0
36508,STATEN ISLAND-UNKNOWN    ,10314
36509,STATEN ISLAND-UNKNOWN    ,10309
39282,NEW DORP-HEIGHTS         ,10314
41171,ARROCHAR                 ,0
43223,STATEN ISLAND-UNKNOWN    ,10304
44533,FRESH KILLS              ,10309
45572,NEW DORP-HEIGHTS         ,10305
45852,PLEASANT PLAINS          ,10305
46477,STAPLETON                ,0
46489,STATEN ISLAND-UNKNOWN    ,10306
48654,GREAT KILLS              ,10305
48896,HUGUENOT                 ,0
49585,NEW SPRINGVILLE          ,10306
50530,ROSSVILLE-PORT MOBIL     ,10305
50764,STATEN ISLAND-UNKNOWN    ,10308
50861,TOMPKINSVILLE            ,0
50978,TOTTENVILLE              ,10305
51428,WILLOWBROOK-SEAVIEW      ,0
52050,BULLS HEAD               ,0
52150,CASTLETON CORNERS        ,0
54946,PRINCES BAY              ,10305
57709,GRASMERE                 ,0
58214,GRYMES HILL              ,0
62711,CONCORD                  ,0
63179,GRASMERE                 ,10301
63764,GREAT KILLS              ,0
64126,MANOR HEIGHTS            ,0
64269,MARINERS HARBOR          ,0
64676,NEW BRIGHTON             ,0
64710,NEW BRIGHTON-ST. GEORGE  ,0
64857,NEW DORP                 ,0
65047,NEW DORP-HEIGHTS         ,0
65587,PORT IVORY               ,0
65743,PORT RICHMOND            ,0
65931,RICHMONDTOWN             ,0
65946,RICHMONDTOWN-LIGHTHS HILL,10304
66282,ROSSVILLE-CHARLESTON     ,0
66289,ROSSVILLE-PORT MOBIL     ,0
66299,ROSSVILLE-RICHMOND VALLEY,0
66708,SUNNYSIDE                ,0
66738,TODT HILL                ,10308
66740,TODT HILL                ,0
67609,WILLOWBROOK              ,0
67719,ANNADALE,10312
67820,ANNADALE,0
67841,ARDEN HEIGHTS,10312
68110,ARDEN HEIGHTS,0
68113,ARROCHAR,10305
68144,ARROCHAR-SHORE ACRES,10305
68163,BLOOMFIELD,10314
68167,BLOOMFIELD,0
68170,BULLS HEAD,10314
68250,BULLS HEAD,10303
68468,CASTLETON CORNERS,10310
68470,CASTLETON CORNERS,10314
68485,CASTLETON CORNERS,10302
68589,CLOVE LAKES,10301
68603,CLOVE LAKES,10310
68641,CLOVE LAKES,10314
68666,CONCORD,10304
68731,CONCORD,10305
68747,CONCORD,0
68754,CONCORD-FOX HILLS,10304
68782,DONGAN HILLS,10304
68815,DONGAN HILLS,10305
68849,DONGAN HILLS,0
68860,DONGAN HILLS-COLONY,10304
68889,DONGAN HILLS-COLONY,10305
68905,DONGAN HILLS-COLONY,0
68908,DONGAN HILLS-OLD TOWN,10305
68913,ELTINGVILLE,10312
69194,EMERSON HILL,10304
69196,EMERSON HILL,10301
69208,EMERSON HILL,0
69210,FRESH KILLS,10312
69211,GRANT CITY,10304
69217,GRANT CITY,10305
69223,GRANT CITY,10306
69352,GRASMERE,10304
69353,GRASMERE,10305
69431,GREAT KILLS,10306
69464,GREAT KILLS,10308
69603,GREAT KILLS,10312
70016,GREAT KILLS,0
70059,GREAT KILLS-BAY TERRACE,10306
70080,GREAT KILLS-BAY TERRACE,10308
70112,GRYMES HILL,10301
70121,GRYMES HILL,10304
70146,GRYMES HILL,0
70174,HUGUENOT,10312
70201,HUGUENOT,10309
70276,HUGUENOT,0
70279,LIVINGSTON,10301
70280,LIVINGSTON,10310
70311,MANOR HEIGHTS,10314
70393,MANOR HEIGHTS,10306
70416,MANOR HEIGHTS,0
70419,MARINERS HARBOR,10303
70545,MARINERS HARBOR,10302
70610,MARINERS HARBOR,0
70627,MIDLAND BEACH,10305
70657,MIDLAND BEACH,10306
70866,MIDLAND BEACH,0
70882,NEW BRIGHTON,10301
71028,NEW BRIGHTON,0
71069,NEW BRIGHTON-ST. GEORGE,10301
71097,NEW DORP,10306
71234,NEW DORP,0
71244,OAKWOOD,10306
71245,NEW DORP-BEACH,10306
71327,NEW DORP-BEACH,10309
71343,NEW DORP-BEACH,0
71346,NEW DORP-HEIGHTS,10306
71421,NEW DORP-HEIGHTS,0
71425,NEW SPRINGVILLE,10314
71689,ROSSVILLE,10309
71839,OAKWOOD-BEACH,10306
71899,PLEASANT PLAINS,10309
71943,PLEASANT PLAINS,0
71947,PORT IVORY,10303
71990,PORT IVORY,0
71992,PORT RICHMOND,10302
72174,PORT RICHMOND,0
72193,PRINCES BAY,10309
72306,PRINCES BAY,0
72316,RICHMONDTOWN,10306
72386,RICHMONDTOWN-LIGHTHS HILL,0
72388,ROSEBANK,10305
72543,ROSEBANK,0
72546,ROSSVILLE,10312
72690,ROSSVILLE,0
72695,ROSSVILLE-CHARLESTON,10309
72730,ROSSVILLE-CHARLESTON,0
72735,ROSSVILLE-PORT MOBIL,10309
72738,ROSSVILLE-PORT MOBIL,10303
72749,SILVER LAKE,10301
72769,SILVER LAKE,10310
72803,SOUTH BEACH,10305
72970,SOUTH BEACH,0
72983,STAPLETON,10301
72984,STAPLETON,10304
73062,STAPLETON,0
73064,STAPLETON-CLIFTON,10304
73107,STAPLETON-CLIFTON,0
73111,SUNNYSIDE,10301
73141,SUNNYSIDE,10314
73149,TODT HILL,10301
73155,TODT HILL,10304
73184,TODT HILL,0
73186,TOMPKINSVILLE,10301
73192,TOMPKINSVILLE,10304
73210,TOMPKINSVILLE,0
73227,TOTTENVILLE,10307
73397,TOTTENVILLE,0
73412,TRAVIS,10314
73484,TRAVIS,0
73485,WEST NEW BRIGHTON,10301
73488,WEST NEW BRIGHTON,10310
73552,WEST NEW BRIGHTON,10302
73705,WEST NEW BRIGHTON,0
73733,WESTERLEIGH,10302
73737,WESTERLEIGH,10314
73921,WESTERLEIGH,0
73927,WILLOWBROOK,10314
74074,WILLOWBROOK,0
74080,WOODROW,10309
74438,ARDEN HEIGHTS,10309
75612,EMERSON HILL,10314
78036,OAKWOOD-BEACH,0
78460,RICHMONDTOWN,0
78869,ROSSVILLE-CHARLESTON,10304
78899,ROSSVILLE-PORT MOBIL,0
79277,STAPLETON-CLIFTON,10305
79626,TOTTENVILLE,10309
80166,WILLOWBROOK,10302
80261,WOODROW,10306
