,NEIGHBORHOOD,ZIPCODE
0,BATHGATE                 ,10457
6,BATHGATE                 ,10458
10,BATHGATE                 ,10456
106,BAYCHESTER               ,10469
187,BAYCHESTER               ,10466
236,BAYCHESTER               ,10475
526,BEDFORD PARK/NORWOOD     ,10458
543,BEDFORD PARK/NORWOOD     ,10468
547,BEDFORD PARK/NORWOOD     ,10467
674,BEDFORD PARK/NORWOOD     ,10469
716,BEDFORD PARK/NORWOOD     ,10463
745,BELMONT                  ,10458
765,BELMONT                  ,10457
773,BELMONT                  ,10460
833,BRONX PARK               ,10467
834,BRONXDALE                ,10467
837,BRONXDALE                ,10469
1082,BRONXDALE                ,10463
1097,BRONXDALE                ,10461
1152,CASTLE HILL/UNIONPORT    ,10473
1188,CASTLE HILL/UNIONPORT    ,10472
1405,CITY ISLAND              ,10464
1478,CO-OP CITY               ,10475
1482,COUNTRY CLUB             ,10465
1630,CROTONA PARK             ,10460
1634,CROTONA PARK             ,10456
1636,CROTONA PARK             ,10457
1647,CROTONA PARK             ,10459
1692,EAST TREMONT             ,10460
1694,EAST TREMONT             ,10457
1824,FIELDSTON                ,10471
1854,FIELDSTON                ,10474
1864,FORDHAM                  ,10458
1865,FORDHAM                  ,10457
1879,FORDHAM                  ,10468
1880,FORDHAM                  ,10453
1937,HIGHBRIDGE/MORRIS HEIGHTS,10452
1946,HIGHBRIDGE/MORRIS HEIGHTS,10453
2104,HUNTS POINT              ,10474
2194,KINGSBRIDGE HTS/UNIV HTS ,10468
2200,KINGSBRIDGE HTS/UNIV HTS ,10453
2210,KINGSBRIDGE HTS/UNIV HTS ,10463
2342,KINGSBRIDGE/JEROME PARK  ,10468
2343,KINGSBRIDGE/JEROME PARK  ,10463
2475,KINGSBRIDGE/JEROME PARK  ,10470
2509,MELROSE/CONCOURSE        ,10456
2512,MELROSE/CONCOURSE        ,10452
2520,MELROSE/CONCOURSE        ,10451
2522,MELROSE/CONCOURSE        ,10455
2717,MORRIS PARK/VAN NEST     ,10462
2725,MORRIS PARK/VAN NEST     ,10461
2919,MORRISANIA/LONGWOOD      ,10456
2925,MORRISANIA/LONGWOOD      ,10455
2937,MORRISANIA/LONGWOOD      ,10459
2958,MORRISANIA/LONGWOOD      ,10451
3127,MORRISANIA/LONGWOOD      ,10460
3356,MOTT HAVEN/PORT MORRIS   ,10454
3375,MOTT HAVEN/PORT MORRIS   ,10455
3434,MOTT HAVEN/PORT MORRIS   ,10451
3439,MOTT HAVEN/PORT MORRIS   ,10457
3491,MOUNT HOPE/MOUNT EDEN    ,10457
3497,MOUNT HOPE/MOUNT EDEN    ,10453
3520,MOUNT HOPE/MOUNT EDEN    ,10452
3548,MOUNT HOPE/MOUNT EDEN    ,10456
3551,MOUNT HOPE/MOUNT EDEN    ,10460
3597,PARKCHESTER              ,10460
3604,PARKCHESTER              ,10462
4121,PARKCHESTER              ,10471
4123,PELHAM GARDENS           ,10469
4181,PELHAM PARKWAY NORTH     ,10467
4183,PELHAM PARKWAY NORTH     ,10469
4290,PELHAM PARKWAY SOUTH     ,10461
4304,PELHAM PARKWAY SOUTH     ,10462
4358,PELHAM PARKWAY SOUTH     ,10457
4360,PELHAM PARKWAY SOUTH     ,10471
4419,RIVERDALE                ,10463
4430,RIVERDALE                ,10471
4528,RIVERDALE                ,10436
5070,SCHUYLERVILLE/PELHAM BAY ,10461
5094,SCHUYLERVILLE/PELHAM BAY ,10465
5256,SCHUYLERVILLE/PELHAM BAY ,10462
5259,SCHUYLERVILLE/PELHAM BAY ,10472
5278,SOUNDVIEW                ,10473
5328,SOUNDVIEW                ,10472
5736,THROGS NECK              ,10465
6062,THROGS NECK              ,10474
6063,VAN CORTLANDT PARK       ,10471
6067,WAKEFIELD                ,10466
6117,WAKEFIELD                ,10470
6318,WESTCHESTER              ,10462
6321,WESTCHESTER              ,10461
6440,WILLIAMSBRIDGE           ,10467
6466,WILLIAMSBRIDGE           ,10469
6487,WILLIAMSBRIDGE           ,10466
6860,WILLIAMSBRIDGE           ,10461
6889,WOODLAWN                 ,10470
7631,BEDFORD PARK/NORWOOD     ,10460
7692,BEDFORD PARK/NORWOOD     ,10453
7829,BRONX PARK               ,10462
8494,CITY ISLAND-PELHAM STRIP ,10803
8705,CROTONA PARK             ,10455
9183,HIGHBRIDGE/MORRIS HEIGHTS,10458
9875,MELROSE/CONCOURSE        ,10461
9876,MELROSE/CONCOURSE        ,10471
15874,BRONX PARK               ,10458
15880,BRONX-UNKNOWN            ,10457
16831,EAST RIVER               ,10465
18804,MORRISANIA/LONGWOOD      ,10474
23116,BATHGATE                 ,10451
24569,CASTLE HILL/UNIONPORT    ,10462
29971,WESTCHESTER              ,10471
31301,BRONX-UNKNOWN            ,10458
31934,EAST RIVER               ,11370
37345,BRONX-UNKNOWN            ,10454
44844,BRONX-UNKNOWN            ,10460
45347,HUNTS POINT              ,10455
45861,MOTT HAVEN/PORT MORRIS   ,10465
47751,BRONX-UNKNOWN            ,10451
49035,PELHAM BAY               ,10473
50780,BRONX-UNKNOWN            ,10455
51469,KINGSBRIDGE/JEROME PARK  ,10471
52072,MOTT HAVEN/PORT MORRIS   ,10474
52886,RIVERDALE                ,10453
54143,BRONX-UNKNOWN            ,10456
57108,VAN CORTLANDT PARK       ,10463
58072,BRONX PARK               ,10460
58796,HIGHBRIDGE/MORRIS HEIGHTS,10456
61082,SOUNDVIEW                ,10459
67401,CITY ISLAND              ,10462
67411,CITY ISLAND-PELHAM STRIP ,10464
71591,BATHGATE,10457
71608,BATHGATE,10458
71631,BATHGATE,10451
71648,BATHGATE,10456
71649,BAYCHESTER,10469
71713,BAYCHESTER,10466
71753,BAYCHESTER,10475
71968,BEDFORD PARK/NORWOOD,10458
71984,BEDFORD PARK/NORWOOD,10467
72006,BEDFORD PARK/NORWOOD,10468
72132,BELMONT,10458
72148,BELMONT,10457
72163,BELMONT,10460
72192,BRONXDALE,10467
72194,BRONXDALE,10469
72456,CASTLE HILL/UNIONPORT,10473
72478,CASTLE HILL/UNIONPORT,10472
72583,CITY ISLAND,10464
72656,CO-OP CITY,10475
72660,COUNTRY CLUB,10465
72796,CROTONA PARK,10460
72797,CROTONA PARK,10457
72803,CROTONA PARK,10456
