,avg_yearly_sale,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
FORT GREENE,224378291.25,0.1607,-0.1572,-0.3179,0.0827,-0.078
MORRISANIA/LONGWOOD,221357472.1875,0.132,0.0729,-0.0591,-0.0207,-0.1527
SPRINGFIELD GARDENS,220584102.4375,0.0548,0.0325,-0.0223,0.1003,0.0455
RIDGEWOOD,215886993.625,0.0538,-0.041,-0.0948,0.0871,0.0333
SO. JAMAICA-BAISLEY PARK,210662032.25,0.0728,0.3055,0.2327,0.2201,0.1473
ALPHABET CITY,210202713.0,0.2949,0.3533,0.0584,0.2043,-0.0906
COLLEGE POINT,205372573.6875,0.0411,0.1756,0.1345,0.1054,0.0643
SOUTH JAMAICA,203586640.125,0.0459,0.1385,0.0926,0.2013,0.1554
BOERUM HILL,201639211.1875,0.1591,0.2253,0.0662,0.2194,0.0603
OCEAN HILL,199133346.375,0.0733,-0.0115,-0.0848,0.163,0.0897
GOWANUS,199115338.625,0.2685,0.3284,0.0599,0.2018,-0.0667
SOUNDVIEW,196499681.9375,0.1099,0.3048,0.1949,0.1603,0.0504
OZONE PARK,195223337.1875,0.0297,0.1276,0.0979,0.1379,0.1082
QUEENS VILLAGE,192414882.9375,0.0312,0.076,0.0448,0.1565,0.1253
LITTLE ITALY,192236735.125,0.242,-0.0077,-0.2497,0.3019,0.0599
SOUTH OZONE PARK,191540528.125,0.0183,0.1879,0.1696,0.1715,0.1532
CARROLL GARDENS,190677654.375,0.0944,0.0001,-0.0943,-0.0155,-0.1099
WHITESTONE,185129032.5625,0.0679,0.0947,0.0268,0.0599,-0.008
OCEAN PARKWAY-SOUTH,184336947.4375,0.0496,-0.0048,-0.0544,0.0726,0.023
BEDFORD PARK/NORWOOD,181026864.5625,0.1785,0.2589,0.0804,0.26,0.0815
MIDDLE VILLAGE,180824021.3125,0.0389,0.0363,-0.0026,0.0947,0.0558
JAMAICA,180556285.75,0.143,0.1584,0.0154,0.2683,0.1253
MELROSE/CONCOURSE,180393728.4375,0.2418,0.17,-0.0718,0.1985,-0.0433
ST. ALBANS,179872171.3125,0.0586,0.1626,0.104,0.1451,0.0865
MADISON,179769671.6875,0.0976,0.2896,0.192,0.2174,0.1198
FAR ROCKAWAY,177136407.9375,0.1107,0.2147,0.104,0.4032,0.2925
BRIGHTON BEACH,175266556.5,0.0641,-0.1313,-0.1954,0.0796,0.0155
WOODSIDE,174121783.9375,0.0375,-0.0235,-0.061,0.0592,0.0217
FLATBUSH-NORTH,170569061.125,0.1338,-0.1232,-0.257,0.2377,0.1039
WOODHAVEN,164605599.6875,0.0172,0.0751,0.0579,0.1281,0.1109
PARK SLOPE SOUTH,163481736.0,0.1233,0.0705,-0.0528,0.1084,-0.0149
HOLLIS,163415788.625,0.0764,0.2062,0.1298,0.2318,0.1554
WILLIAMSBRIDGE,156940099.1875,0.067,0.1044,0.0374,0.1355,0.0685
ROSEDALE,155595718.375,0.0533,0.2203,0.167,0.173,0.1197
GLENDALE,147708560.75,0.042,0.0531,0.0111,0.1124,0.0704
BAYCHESTER,146802436.625,0.1088,0.182,0.0732,0.1821,0.0733
MOTT HAVEN/PORT MORRIS,144475670.625,0.269,0.4526,0.1836,0.6197,0.3507
SUNNYSIDE,143200069.0,0.1447,0.0353,-0.1094,-0.0107,-0.1554
BATH BEACH,142552778.9375,0.0727,0.0131,-0.0596,0.1025,0.0298
DYKER HEIGHTS,141909571.4375,0.0484,0.0382,-0.0102,0.0758,0.0274
COBBLE HILL,140294291.375,0.3099,0.0387,-0.2712,0.4307,0.1208
CYPRESS HILLS,134665357.5,0.0842,-0.0133,-0.0975,0.1632,0.079
UPPER EAST SIDE (96-110),132883950.75,0.1174,0.108,-0.0094,-0.0284,-0.1458
MOUNT HOPE/MOUNT EDEN,131787730.75,0.3762,0.2122,-0.164,0.2521,-0.1241
EAST ELMHURST,131354561.5625,0.075,0.1862,0.1112,0.1038,0.0288
HOWARD BEACH,131351617.875,0.0431,0.0118,-0.0313,0.1171,0.074
INWOOD,130347826.0625,0.0793,0.0029,-0.0764,0.0327,-0.0466
CONEY ISLAND,128965037.25,0.5567,0.0279,-0.5288,0.2681,-0.2886
MARINE PARK,126430254.375,0.0408,-0.0415,-0.0823,0.1263,0.0855
HIGHBRIDGE/MORRIS HEIGHTS,126207007.25,0.1298,0.0479,-0.0819,0.0868,-0.043
OAKLAND GARDENS,126197846.5625,0.0328,0.023,-0.0098,0.0477,0.0149
KINGSBRIDGE/JEROME PARK,122662659.0625,0.2273,-0.2795,-0.5068,0.1048,-0.1225
FORDHAM,118616125.5625,0.2306,-0.0868,-0.3174,0.0143,-0.2163
FLATBUSH-LEFFERTS GARDEN,114508725.9375,0.1645,-0.0817,-0.2462,0.0617,-0.1028
KEW GARDENS,113038623.0,0.0515,0.0175,-0.034,0.0935,0.042
LITTLE NECK,112554692.875,0.0523,0.1154,0.0631,0.1117,0.0594
BRONXDALE,112192443.3125,0.1047,-0.0201,-0.1248,0.1695,0.0648
DOUGLASTON,104844764.5,0.0476,0.0805,0.0329,-0.0095,-0.0571
GLEN OAKS,102325278.3125,0.1775,-0.0167,-0.1942,0.0095,-0.168
BROWNSVILLE,100765151.875,0.1208,-0.0689,-0.1897,0.3177,0.1969
THROGS NECK,100455589.6875,0.0647,0.2133,0.1486,0.219,0.1543
WINDSOR TERRACE,100218827.875,0.0725,0.0675,-0.005,0.0969,0.0244
LAURELTON,99680345.5,0.0535,0.2834,0.2299,0.2057,0.1522
RED HOOK,98593752.3125,0.4579,1.576,1.1181,0.9302,0.4723
SCHUYLERVILLE/PELHAM BAY,97617525.1875,0.111,0.0264,-0.0846,0.2033,0.0923
EAST TREMONT,97310661.375,0.2356,0.1371,-0.0985,0.2293,-0.0063
KINGSBRIDGE HTS/UNIV HTS,97153961.0,0.2825,0.1602,-0.1223,0.3192,0.0367
KENSINGTON,95997980.3125,0.1978,0.2108,0.013,0.3824,0.1846
SPRING CREEK,94709482.53846154,3.2453,7.7759,4.5306,5.7061,2.4608
ARVERNE,94266109.5,0.1124,-0.0675,-0.1799,0.1057,-0.0067
MORRIS PARK/VAN NEST,93202649.3125,0.0952,-0.08,-0.1752,0.246,0.1508
HARLEM-WEST,90148785.625,0.381,0.2818,-0.0992,0.1729,-0.2081
PARKCHESTER,88940583.3125,0.1159,0.1397,0.0238,0.127,0.0111
PELHAM PARKWAY SOUTH,88821374.0,0.5767,0.546,-0.0307,1.3541,0.7774
WAKEFIELD,86315219.5625,0.0668,0.0864,0.0196,0.1888,0.122
MILL BASIN,85461527.875,0.3613,0.2007,-0.1606,0.2113,-0.15
WESTCHESTER,85118744.625,0.2114,0.2871,0.0757,0.3361,0.1247
BERGEN BEACH,83508350.0625,0.0749,0.0718,-0.0031,0.144,0.0691
JAMAICA ESTATES,82930577.25,0.1405,-0.1227,-0.2632,0.0256,-0.1149
CASTLE HILL/UNIONPORT,81822234.625,0.2645,0.1171,-0.1474,0.6022,0.3377
BELLEROSE,78712220.9375,0.0441,0.1764,0.1323,0.1014,0.0573
WILLIAMSBURG-CENTRAL,77496286.625,0.1028,0.1359,0.0331,0.0977,-0.0051
OLD MILL BASIN,75509560.0,0.0308,0.1352,0.1044,0.1721,0.1413
HUNTS POINT,75048950.4375,0.2567,0.0607,-0.196,0.0235,-0.2332
FLORAL PARK,71147676.875,0.0443,0.1305,0.0862,0.0842,0.0399
BEECHHURST,70821262.0625,0.045,0.0226,-0.0224,0.0669,0.0219
FRESH MEADOWS,68650919.0625,0.009,-0.026,-0.035,0.0015,-0.0075
WYCKOFF HEIGHTS,67795732.3125,0.1766,-0.2669,-0.4435,0.2547,0.0781
FLATLANDS,67322989.75,0.0756,0.0133,-0.0623,0.1425,0.0669
BELMONT,66082467.5,0.231,0.0833,-0.1477,0.1324,-0.0986
BUSH TERMINAL,64739275.625,0.7829,-0.4054,-1.1883,0.0493,-0.7336
BRIARWOOD,58906613.125,0.0998,0.1682,0.0684,0.1062,0.0064
COBBLE HILL-WEST,58383239.0625,0.2483,-0.052,-0.3003,0.0649,-0.1834
COUNTRY CLUB,57116870.875,0.0671,0.1647,0.0976,0.1596,0.0925
MORNINGSIDE HEIGHTS,55828465.625,0.4387,1.0803,0.6416,0.5821,0.1434
MANHATTAN BEACH,53277082.3125,0.0616,-0.0671,-0.1287,0.1511,0.0895
BATHGATE,52268901.375,0.4108,0.1039,-0.3069,0.0517,-0.3591
BELLE HARBOR,47454855.5625,0.0504,0.0042,-0.0462,0.1246,0.0742
HOLLISWOOD,46956678.5,0.1248,0.0447,-0.0801,0.0408,-0.084
CAMBRIA HEIGHTS,46911912.1875,0.0543,0.1409,0.0866,0.12,0.0657
ROCKAWAY PARK,45651444.0625,0.125,0.2267,0.1017,0.2684,0.1434
PELHAM PARKWAY NORTH,43379341.4375,0.0576,0.1661,0.1085,0.1321,0.0745
NAVY YARD,41450216.25,0.6638,0.7482,0.0844,0.5121,-0.1517
JAMAICA HILLS,39822000.1875,0.0973,0.167,0.0697,0.2416,0.1443
HILLCREST,36467120.5625,0.0822,0.1043,0.0221,0.0834,0.0012
CROTONA PARK,34987430.0625,0.1913,0.2694,0.0781,0.0632,-0.1281
ROOSEVELT ISLAND,34789041.0,-0.4632,-0.4632,0.0,-0.4632,0.0
GERRITSEN BEACH,29287411.8125,0.0835,0.2136,0.1301,0.2537,0.1702
HAMMELS,28868897.375,0.2094,0.1015,-0.1079,0.3402,0.1308
HOLLIS HILLS,28755886.875,0.0383,-0.0675,-0.1058,0.0077,-0.0306
FIELDSTON,28523991.6875,0.0773,0.0141,-0.0632,0.0772,-0.0001
BREEZY POINT,27282500.0,7.8282,7.8282,0.0,7.8282,0.0
CITY ISLAND,26615375.9375,0.0609,0.1046,0.0437,0.2248,0.1639
WOODLAWN,25505518.8125,0.0733,0.0565,-0.0168,0.0907,0.0174
PELHAM GARDENS,24033740.75,0.2039,0.8951,0.6912,0.5557,0.3518
SEAGATE,20588570.3125,0.141,0.1501,0.0091,0.5985,0.4575
NEPONSIT,19903546.875,0.0097,-0.0721,-0.0818,-0.0569,-0.0666
MANHATTAN-UNKNOWN,12979967.5,3.2574,-0.425,-3.6824,-0.1802,-3.4376
BROOKLYN-UNKNOWN,12369518.153846154,3.6588,8.6365,4.9777,4.9262,1.2674
AIRPORT JFK,9988704.0,-0.3595,-0.3595,0.0,-0.3595,0.0
BROAD CHANNEL,9059447.375,0.0949,0.2211,0.1262,0.3164,0.2215
BRONX PARK,6829954.571428572,2.8327,1.1398,-1.6929,2.48,-0.3527
JAMAICA BAY,6247009.6875,0.5884,1.6127,1.0243,0.7169,0.1285
EAST RIVER,6066666.666666667,2.0,2.0,0.0,2.0,0.0
FLUSHING MEADOW PARK,5131901.375,0.1902,0.0693,-0.1209,0.3874,0.1972
CO-OP CITY,4982935.625,2.1787,2.9376,0.7589,1.82,-0.3587
BRONX-UNKNOWN,3611250.0,1.451,2.3706,0.9196,1.1728,-0.2782
CITY ISLAND-PELHAM STRIP,2897985.0,24.4485,1.9594,-22.4891,0.983,-23.4655
AIRPORT LA GUARDIA,2185488.75,0.3481,0.5826,0.2345,0.2758,-0.0723
VAN CORTLANDT PARK,1619039.0625,1.1041,-0.0594,-1.1635,0.0596,-1.0445
QUEENS-UNKNOWN,653750.0,0.3993,0.3993,0.0,0.3993,0.0
