,NEIGHBORHOOD,ZIPCODE
0,ALPHABET CITY            ,10009
8,ALPHABET CITY            ,10011
11,ALPHABET CITY            ,10002
28,ALPHABET CITY            ,10003
35,ALPHABET CITY            ,10036
46,ALPHABET CITY            ,10019
102,CHELSEA                  ,10011
120,CHELSEA                  ,10001
135,CHELSEA                  ,10024
166,CHELSEA                  ,10028
188,CHELSEA                  ,10022
334,CHELSEA                  ,10014
363,CHELSEA                  ,10003
388,CHELSEA                  ,10128
390,CHELSEA                  ,10010
404,CHELSEA                  ,10271
429,CHELSEA                  ,10165
432,CHELSEA                  ,10004
463,CHELSEA                  ,0
559,UPPER WEST SIDE (59-79)  ,10069
897,CHINATOWN                ,10013
902,CHINATOWN                ,10002
958,CIVIC CENTER             ,10038
977,CIVIC CENTER             ,10007
981,CIVIC CENTER             ,10013
1045,CLINTON                  ,10036
1052,CLINTON                  ,10019
1064,CLINTON                  ,10018
1075,CLINTON                  ,10003
1194,EAST VILLAGE             ,10003
1196,EAST VILLAGE             ,10009
1251,EAST VILLAGE             ,10010
1302,EAST VILLAGE             ,10011
1363,EAST VILLAGE             ,10016
1374,FASHION                  ,10018
1376,FASHION                  ,10001
1394,FASHION                  ,10036
1399,FASHION                  ,10016
1403,FASHION                  ,10010
1474,FINANCIAL                ,10006
1475,FINANCIAL                ,10038
1476,FINANCIAL                ,10004
1483,FINANCIAL                ,10005
1487,FINANCIAL                ,10003
1530,FLATIRON                 ,10011
1531,FLATIRON                 ,10003
1535,FLATIRON                 ,10128
1565,FLATIRON                 ,10002
1579,FLATIRON                 ,10022
1592,FLATIRON                 ,10001
1606,FLATIRON                 ,10010
1632,FLATIRON                 ,10005
1652,FLATIRON                 ,10013
1657,FLATIRON                 ,10021
1686,FLATIRON                 ,10016
1834,GRAMERCY                 ,10003
1835,GRAMERCY                 ,10010
1846,GRAMERCY                 ,10016
1883,GRAMERCY                 ,10019
2036,GRAMERCY                 ,0
2070,GRAMERCY                 ,10028
2125,GRAMERCY                 ,10001
2179,GRAMERCY                 ,10021
2180,GRAMERCY                 ,10022
2191,GRAMERCY                 ,10017
2198,GRAMERCY                 ,10009
2215,GRAMERCY                 ,10011
2356,GREENWICH VILLAGE-CENTRAL,10011
2359,GREENWICH VILLAGE-CENTRAL,10012
2375,GREENWICH VILLAGE-CENTRAL,10013
2380,GREENWICH VILLAGE-CENTRAL,10014
2381,GREENWICH VILLAGE-CENTRAL,10003
2448,GREENWICH VILLAGE-CENTRAL,10002
2508,GREENWICH VILLAGE-CENTRAL,10016
2515,GREENWICH VILLAGE-CENTRAL,0
2581,GREENWICH VILLAGE-CENTRAL,10005
2623,GREENWICH VILLAGE-CENTRAL,10009
2650,GREENWICH VILLAGE-CENTRAL,10028
2696,GREENWICH VILLAGE-CENTRAL,10025
2740,GREENWICH VILLAGE-CENTRAL,10010
2879,GREENWICH VILLAGE-CENTRAL,10021
2974,GREENWICH VILLAGE-CENTRAL,10063
3045,GREENWICH VILLAGE-WEST   ,10014
3063,GREENWICH VILLAGE-WEST   ,10011
3157,GREENWICH VILLAGE-WEST   ,10012
3163,GREENWICH VILLAGE-WEST   ,10027
3180,GREENWICH VILLAGE-WEST   ,10003
3294,GREENWICH VILLAGE-WEST   ,10017
3343,GREENWICH VILLAGE-WEST   ,10013
3616,HARLEM-CENTRAL           ,10035
3617,HARLEM-CENTRAL           ,10026
3618,HARLEM-CENTRAL           ,10027
3619,HARLEM-CENTRAL           ,10030
3622,HARLEM-CENTRAL           ,10031
3699,HARLEM-CENTRAL           ,10039
3726,HARLEM-CENTRAL           ,10037
3909,HARLEM-CENTRAL           ,10025
3911,HARLEM-CENTRAL           ,0
3923,HARLEM-CENTRAL           ,10016
3937,HARLEM-CENTRAL           ,10032
3983,HARLEM-CENTRAL           ,10029
4165,HARLEM-EAST              ,10035
4176,HARLEM-EAST              ,10029
4310,HARLEM-UPPER             ,10031
4322,HARLEM-UPPER             ,10032
