BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,377,55, ,C6," 265 EAST 7TH STREET, G                    ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,465000,8/16/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,377,67, ,C6," 241 EAST 7TH STREET, 5A                   ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,675000,6/9/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6," 412-14 EAST 10TH STREET, 3E               ",            ,10009,0,0,0,0,0,1930, 2 , C6 ,275800,2/4/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,387,37, ,C6," 55 AVENUE C, 23                           ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,495000,1/31/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,387,37, ,C6," 55 AVENUE C, 7                            ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,572500,4/29/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,389,48, ,C6," 625 EAST 6TH ST, 3                        ",            ,10009,0,0,0,0,0,1910, 2 , C6 ,480000,7/27/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,389,50, ,C6," 621 EAST 6TH STREET, 4                    ",            ,10009,0,0,0,0,0,1920, 2 , C6 ,0,6/21/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,390,9, ,C6," 304-306 EAST 8TH STREET, 8                ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,2500,10/5/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,390,9, ,C6," 304-306 EAST 8TH STREET, 16               ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,2500,10/27/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,390,42, ,C6," 219 EAST 7TH STREET, 22                   ",            ,10009,0,0,0,0,0,1910, 2 , C6 ,390000,6/15/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,390,55, ,C6," 199 EAST 7TH STREET, 2B                   ",            ,10009,0,0,0,0,0,1935, 2 , C6 ,615000,3/7/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6," 614 EAST 9TH STREET, 2E                   ",            ,10009,0,0,0,0,0,1910, 2 , C6 ,325000,11/1/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,391,48, ,C6," 323 EAST 8TH STREET, 6A                   ",            ,10009,0,0,0,0,0,1910, 2 , C6 ,394000,6/10/2011
