BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2905,26, ,A9, 1667 WASHINGTON AVENUE                    ,            ,10457,1,0,1,4750,3167,1899, 1 , A9 ,0,10/5/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,59, ,A1, 418 EAST 182ND                            ,            ,10457,1,0,1,1165,1488,1899, 1 , A1 ,475000,2/16/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,52, ,A1, 461 E. 178TH STREET                       ,            ,10457,1,0,1,1782,1548,1899, 1 , A1 ,376300,6/15/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3037,42, ,A1, 4428 PARK AVENUE                          ,            ,10457,1,0,1,3525,1340,1899, 1 , A1 ,200000,5/23/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3037,42, ,A1, 4428 PARK AVENUE                          ,            ,10457,1,0,1,3525,1340,1899, 1 , A1 ,0,5/16/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,  ,3038,34, ,  , 2263 WASHINGTON AVENUE                    ,            ,10457,0,0,0,0,0,0, 1 , A1 ,950000,9/12/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,28, ,A1, 2329 WASHINGTON AVE                       ,            ,10458,1,0,1,1103,1290,1910, 1 , A1 ,5000,8/12/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,29, ,A9, 2327 WASHINGTON AVE                       ,            ,10458,1,0,1,1095,1260,1910, 1 , A9 ,5000,3/30/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3047,11, ,A1, 482 EAST 181 STREET                       ,            ,10457,1,0,1,1556,1240,1901, 1 , A1 ,172000,1/11/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,27, ,A1, 538 EAST 182 STREET                       ,            ,10457,1,0,1,1209,1048,1901, 1 , A1 ,0,5/17/2007
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3050,80, ,A1, 2257 BATHGATE AVENUE                      ,            ,10457,1,0,1,2295,1354,1901, 1 , A1 ,255319,3/16/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,142, ,B1, 3817 3RD AVE                              ,            ,10457,2,0,2,2000,2400,1993, 1 , B1 ,500000,5/14/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2927,119, ,B1, 1497 CROTONA PLACE                        ,            ,10456,2,0,2,1900,2394,1994, 1 , B1 ,342364,12/18/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2927,123, ,B1, 1489 CROTONA PLACE                        ,            ,10456,2,0,2,1900,2394,1994, 1 , B1 ,0,10/15/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3029,33, ,B2, 412 EAST 180 STREET                       ,            ,10457,2,0,2,2046,2112,1899, 1 , B2 ,322148,5/29/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,149, ,S2, 2260 WEBSTER AVENUE                       ,            ,10457,2,1,3,1620,3240,1931, 1 , S2 ,15000,3/14/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,27, ,B1, 454 EAST 179TH STREET                     ,            ,10457,2,0,2,1819,2340,1998, 1 , B1 ,500000,6/27/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,32, ,B3, 455 EAST 180TH STREET                     ,            ,10457,2,0,2,1826,1296,1899, 1 , B3 ,471500,4/5/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,46, ,B2, 4438 PARK AVENUE                          ,            ,10457,2,0,2,3807,2530,1899, 1 , B2 ,0,12/28/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,122, ,B2, 4442 PARK AVENUE                          ,            ,10457,2,0,2,2580,1382,1899, 1 , B2 ,415160,10/2/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,  ,3038,33, ,  , 2265 WASHINGTON AVENUE                    ,            ,10457,0,0,0,0,0,0, 1 , B2 ,1150000,9/12/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,12, ,B2, 454 EAST 185 STREET                       ,            ,10458,2,0,2,1667,1944,1910, 1 , B2 ,334463,8/27/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,30, ,B1, 469B EAST 184 STREET                      ,            ,10458,2,0,2,741,2845,2006, 1 , B1 ,590000,1/31/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,47, ,B1, 450 E. 186TH STREET                       ,            ,10458,2,0,2,2000,2060,1901, 1 , B1 ,540000,8/1/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,70, ,B1, 453 EAST 185TH STREET                     ,            ,10458,2,0,2,2967,2400,1997, 1 , B1 ,558600,3/19/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,130, ,B1, 469A E. 184TH   ST.                       ,            ,10458,2,0,2,1016,1050,2006, 1 , B1 ,590000,1/31/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,157, ,B1, 472 EAST 186 STREET                       ,            ,10458,2,0,2,2000,2400,1997, 1 , B1 ,0,2/12/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3044,167, ,B1, 2008 BATHGATE AVENUE                      ,            ,10457,2,0,2,2520,2340,1998, 1 , B1 ,540000,4/27/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3046,53, ,B2, 2045 BATHGATE AVENUE                      ,            ,10457,2,0,2,2625,1692,1901, 1 , B2 ,0,3/21/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3048,16, ,B3, 2180 BATHGATE AVENUE                      ,            ,10457,2,0,2,2763,1992,1901, 1 , B3 ,0,10/12/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,63, ,B3, 504 EAST 183 STREET                       ,            ,10458,2,0,2,1316,2296,1901, 1 , B3 ,217000,12/21/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,94, ,B2, 2240 BASSFORD AVENUE                      ,            ,10457,2,0,2,1300,2300,1901, 1 , B2 ,418215,6/20/2007
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3052,23, ,S2, 545 EAST 183 STREET                       ,            ,10458,2,1,3,2000,4200,1931, 1 , S2 ,625000,2/27/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3035,53, ,C0, 459 EAST 178 STREET                       ,            ,10457,3,0,3,1799,4694,2007, 1 , C0 ,10,5/29/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,39, ,C0, 4422 PARK AVENUE                          ,            ,10457,3,0,3,3525,2928,1899, 1 , C0 ,500000,5/9/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,66, ,C0, 456 EAST 182 STREET                       ,            ,10457,3,0,3,2000,3744,1899, 1 , C0 ,570000,3/2/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,140, ,C0, 2139 WASHINGTON AVENUE                    ,            ,10457,3,0,3,2670,2970,1899, 1 , C0 ,0,6/12/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,140, ,C0, 2139 WASHINGTON AVENUE                    ,            ,10457,3,0,3,2670,2970,1899, 1 , C0 ,630000,6/7/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3041,11, ,C0, 452 CYRUS PLACE                           ,            ,10458,3,0,3,3742,2280,1910, 1 , C0 ,0,4/12/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3046,150, ,C0, 2068 WASHINGTON AVENUE                    ,            ,10457,3,0,3,3690,2901,2000, 1 , C0 ,551000,4/26/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3048,2, ,C0, 2158 BATHGATE AVENUE                      ,            ,10457,3,0,3,2633,1956,1901, 1 , C0 ,0,1/9/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3048,3, ,C0, 2160 BATHGATE AVENUE                      ,            ,10457,3,0,3,2600,2202,1901, 1 , C0 ,600000,8/27/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3048,4, ,C0, 2162 BATHGATE AVENUE                      ,            ,10457,3,0,3,2634,2573,1901, 1 , C0 ,575000,11/8/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3050,3, ,C0, 2190 WASHINGTON AVENUE                    ,            ,10457,3,0,3,1331,2244,1901, 1 , C0 ,500,11/20/2007
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3050,5, ,C0, 2194 WASHINGTON AVENUE                    ,            ,10457,3,0,3,1331,2244,1901, 1 , C0 ,403622,8/1/2007
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3036,35, ,V0, 2087 WASHINGTON AVENUE                    ,            ,10457,0,0,0,2099,0,0, 1 , V0 ,355987,9/18/2007
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1,3044,54, ,C0, 1972 BATHGATE AVENUE                      ,            ,10457,3,0,3,1508,3616,2008, 1 , V0 ,420000,7/3/2007
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1,3044,54, ,C0, 1972 BATHGATE AVENUE                      ,            ,10457,3,0,3,1508,3616,2008, 1 , V0 ,360000,1/9/2007
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1,3044,55, ,C0, 1974 BATHGATE AVENUE                      ,            ,10457,3,0,3,1497,3616,2008, 1 , V0 ,0,7/3/2007
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1,3044,55, ,C0, 1974 BATHGATE AVENUE                      ,            ,10457,3,0,3,1497,3616,2008, 1 , V0 ,0,1/9/2007
2,BATHGATE                 ,06  TAX CLASS 1 - OTHER                     ,1,3046,28, ,C0, 2092 WASHINGTON AVENUE                    ,            ,10457,3,0,3,2362,4384,2009, 1 , G0 ,205900,8/1/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2913,42, ,C7, 1575 BATHGATE AVENUE                      ,            ,10460,8,3,11,2175,10765,1931, 2 , C7 ,0,6/8/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2919,1, ,C7, 1570 BATHGATE AVENUE                      ,            ,10460,12,3,15,2490,11540,1931, 2 , C7 ,0,6/8/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2929,1, ,C7, 3850 3 AVENUE                             ,            ,10460,18,2,20,3937,18105,1931, 2 , C7 ,0,6/8/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2929,82, ,C7, 1625 FULTON AVENUE                        ,            ,10457,101,2,103,22152,87413,1927, 2 , C7 ,6619600,2/1/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3027,29, ,C1, 422 EAST 178 STREET                       ,            ,10457,16,0,16,3344,11918,1909, 2 , C1 ,1295500,6/18/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3028,27, ,C7, 4305 PARK AVENUE                          ,            ,10457,24,1,25,5568,16680,1909, 2 , C7 ,1499000,6/18/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3028,29, ,C1, 4301 PARK AVENUE                          ,            ,10457,24,0,24,5189,15300,1909, 2 , C1 ,1199000,6/18/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3028,34, ,C1, 4293 PARK AVENUE                          ,            ,10457,20,0,20,6045,15512,1909, 2 , C1 ,1099000,6/18/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3028,44, ,C1, 4289 PARK AVENUE                          ,            ,10457,22,0,22,6098,16728,1908, 2 , C1 ,1095000,6/18/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,3, ,C1, 2408 WEBSTER AVENUE                       ,            ,10458,8,0,8,3441,9240,1909, 2 , C1 ,425000,8/28/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,4, ,C1, 2412 WEBSTER AVENUE                       ,            ,10458,8,0,8,4336,9240,1909, 2 , C1 ,600000,7/25/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,6, ,C7, 2420 WEBSTER AVENUE                       ,            ,10458,8,1,9,4444,9333,1909, 2 , C7 ,778000,8/28/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3035,23, ,C1, 446 EAST 179TH                            ,            ,10457,8,0,8,2805,8712,1910, 2 , C1 ,820000,4/10/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3037,57, ,C1, 4464 PARK AVENUE                          ,            ,10457,13,0,13,3525,9630,1910, 2 , C1 ,770000,11/6/2007
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3038,55, ,C1, 450 EAST 184 STREET                       ,            ,10458,47,0,47,10000,40715,1926, 2 , C1 ,3000000,8/9/2007
