,neighborhood,last_income,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
33,BROWNSVILLE,50.70891054181439,0.0346,0.0513,0.0167,0.0435,0.0089
34,BUSH TERMINAL,51.147284638157274,0.0303,0.048,0.0177,0.0388,0.0085
35,BUSHWICK,61.973608917325684,0.0476,0.0611,0.0135,0.0587,0.0111
36,CAMBRIA HEIGHTS,43.24502852803984,0.0175,0.0245,0.007,0.0196,0.0021
37,CANARSIE,45.701410699329145,0.0256,0.034,0.0084,0.0276,0.002
38,CARROLL GARDENS,116.18404643382557,0.0575,0.0547,-0.0028,0.0633,0.0058
39,CASTLE HILL/UNIONPORT,33.9720033436393,0.0176,0.0256,0.008,0.0197,0.0021
40,CHELSEA,299.65326298751796,0.0168,0.0271,0.0103,0.0526,0.0358
41,CHINATOWN,226.31512505687314,0.0693,0.0554,-0.0139,0.0684,-0.0009
42,CITY ISLAND,58.73597229191039,0.0228,0.0289,0.0061,0.0284,0.0056
43,CITY ISLAND-PELHAM STRIP,163.02547657450077,0.0397,0.0549,0.0152,0.0475,0.0078
44,CIVIC CENTER,360.01254456569177,0.0273,0.1125,0.0852,0.1033,0.076
45,CLINTON,399.82694530561764,0.0633,0.087,0.0237,0.0824,0.0191
46,CLINTON HILL,72.29922422031731,0.0517,0.0576,0.0059,0.062,0.0103
47,CO-OP CITY,47.12334357174199,0.0158,0.0172,0.0014,0.014,-0.0018
48,COBBLE HILL,166.43352277050275,0.0658,0.0565,-0.0093,0.0716,0.0058
49,COBBLE HILL-WEST,128.3141272192584,0.0599,0.0577,-0.0022,0.066,0.0061
50,COLLEGE POINT,57.84372547116529,0.025,0.0317,0.0067,0.027,0.002
51,CONEY ISLAND,49.018740335610914,0.0245,0.0321,0.0076,0.0207,-0.0038
52,CORONA,58.17390406775413,0.0316,0.0447,0.0131,0.0377,0.0061
53,COUNTRY CLUB,55.60204218318362,0.0216,0.0252,0.0036,0.0236,0.002
54,CROTONA PARK,30.475231744005555,0.018,0.0307,0.0127,0.0196,0.0016
55,CROWN HEIGHTS,60.50282901322927,0.0389,0.0492,0.0103,0.048,0.0091
56,CYPRESS HILLS,77.8444852615752,0.0443,0.0493,0.005,0.0528,0.0085
57,DOUGLASTON,78.66572345943726,0.0291,0.0429,0.0138,0.0338,0.0047
