neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,48.5,150.0,72.0,118.0,0.4715,0.3971,0.3913
BATHBEACH,132.0,108.5,110.0,40.0,0.4739,0.4028,0.3626
GRAVESEND,132.0,63.5,103.0,80.0,0.4593,0.4068,0.3541
FINANCIAL,16.5,206.0,8.0,176.0,0.4933,0.4118,0.412
SOUTHBRIDGE,16.5,2.0,186.0,122.0,0.3962,0.3588,0.3709
BAYRIDGE,76.0,146.0,159.0,59.0,0.534,0.4427,0.4453
BAYSIDE,116.5,29.0,120.0,107.0,0.4521,0.4105,0.3613
DOUGLASTON,116.5,111.5,62.0,164.0,0.551,0.4889,0.4333
LITTLENECK,116.5,100.0,129.0,26.0,0.4508,0.3804,0.3527
OAKLANDGARDENS,116.5,84.0,100.0,14.0,0.3817,0.3229,0.2889
BEDFORDPARK/NORWOOD,72.0,57.5,150.0,144.0,0.514,0.4586,0.4388
BEDFORDSTUYVESANT,157.0,189.0,69.0,157.0,0.6942,0.5985,0.534
BELMONT,145.5,48.5,48.0,94.0,0.4078,0.3707,0.2963
BENSONHURST,132.0,96.5,78.0,82.0,0.4715,0.4111,0.358
BOROUGHPARK,76.0,137.5,115.0,10.0,0.4108,0.3312,0.3301
BRIGHTONBEACH,157.0,118.0,101.0,110.0,0.5898,0.5152,0.4525
MANHATTANBEACH,157.0,16.0,154.0,126.0,0.5498,0.5041,0.4353
SEAGATE,157.0,23.5,198.0,93.0,0.5722,0.5152,0.46
BROOKLYNHEIGHTS,24.5,142.5,93.0,71.0,0.4017,0.3277,0.3436
BROOKLYN-UNKNOWN,24.5,159.0,201.0,22.0,0.4933,0.3923,0.4372
COBBLEHILL,24.5,132.0,167.0,147.0,0.571,0.4868,0.5062
COBBLEHILL-WEST,24.5,140.5,23.0,180.0,0.4466,0.3868,0.3758
DOWNTOWN-FULTONFERRY,24.5,106.0,63.0,61.0,0.3089,0.2546,0.2609
DOWNTOWN-METROTECH,24.5,25.5,14.0,154.0,0.2646,0.2505,0.2248
BROWNSVILLE,136.5,166.5,190.0,169.0,0.8034,0.6945,0.6596
BUSHWICK,150.5,188.0,97.5,96.0,0.6456,0.5453,0.497
WYCKOFFHEIGHTS,150.5,197.0,147.0,181.0,0.8198,0.7065,0.6587
CANARSIE,163.5,67.5,181.0,158.0,0.6917,0.6208,0.557
CARROLLGARDENS,183.0,132.0,45.0,162.0,0.6335,0.5626,0.4708
BOERUMHILL,183.0,137.5,131.0,9.0,0.5589,0.4694,0.4133
GOWANUS,183.0,154.0,59.0,103.0,0.6056,0.5236,0.4447
REDHOOK,183.0,176.0,199.0,11.0,0.6905,0.5733,0.5354
HARLEM-CENTRAL,84.0,13.5,31.0,77.0,0.2494,0.2329,0.1858
CHELSEA,198.5,204.0,112.0,175.0,0.8368,0.7245,0.6456
FLATIRON,198.5,91.0,37.0,98.0,0.5152,0.4605,0.3607
MADISON,198.5,106.0,166.0,125.0,0.7227,0.6376,0.5613
CHINATOWN,142.0,32.0,27.0,34.0,0.2852,0.2587,0.1871
CLINTON,198.5,199.0,116.0,150.0,0.8052,0.694,0.6183
CO-OPCITY,20.0,25.5,10.0,165.0,0.2676,0.2546,0.2292
MELROSE/CONCOURSE,56.5,111.5,65.0,38.0,0.3289,0.2701,0.2629
CONEYISLAND,157.0,19.0,15.0,16.0,0.2512,0.231,0.1494
CROWNHEIGHTS,171.0,169.0,119.0,74.0,0.6468,0.5484,0.4931
DYKERHEIGHTS,76.0,57.5,108.0,51.0,0.355,0.3074,0.2887
FLATBUSH-EAST,119.0,177.5,164.0,52.0,0.622,0.5149,0.5004
HARLEM-EAST,47.0,8.0,28.0,67.0,0.182,0.1706,0.1434
EASTNEWYORK,125.5,187.0,135.0,101.0,0.6657,0.5601,0.5319
SPRINGCREEK,125.5,38.0,202.0,33.0,0.4836,0.4223,0.3942
EASTTREMONT,145.5,51.5,82.0,141.0,0.5097,0.465,0.3918
WILLIAMSBURG-EAST,100.5,195.0,56.0,104.0,0.5528,0.4609,0.4319
MASPETH,100.5,151.0,124.0,179.0,0.6729,0.5849,0.5536
NAVYYARD,100.5,191.0,33.0,186.0,0.6195,0.5336,0.4896
WILLIAMSBURG-CENTRAL,100.5,196.0,84.0,78.0,0.5564,0.4588,0.4384
WILLIAMSBURG-NORTH,100.5,186.0,16.0,47.5,0.4248,0.344,0.3129
WILLIAMSBURG-SOUTH,100.5,194.0,51.0,73.0,0.5079,0.4173,0.391
ELMHURST,72.0,111.5,113.0,24.0,0.389,0.32,0.3153
EASTELMHURST,72.0,162.0,109.0,21.0,0.4417,0.3542,0.3562
FLATBUSH-CENTRAL,107.0,172.0,99.0,133.0,0.6201,0.5284,0.4973
FLATBUSH-NORTH,107.0,154.0,158.0,139.0,0.6772,0.5811,0.558
FLATLANDS,163.5,103.0,137.0,119.0,0.6341,0.5579,0.4954
