neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
BERGENBEACH,163.5,51.5,139.5,28.0,0.4642,0.4073,0.3491
MILLBASIN,163.5,148.5,34.0,163.0,0.6177,0.5438,0.4627
OLDMILLBASIN,163.5,172.0,174.0,56.0,0.6863,0.5766,0.5385
FLUSHING-NORTH,66.5,86.0,55.0,132.0,0.412,0.3643,0.3348
BEECHHURST,66.5,18.0,105.0,106.0,0.3586,0.3274,0.301
COLLEGEPOINT,66.5,67.5,132.0,127.0,0.4769,0.4215,0.4048
FLUSHING-SOUTH,66.5,152.0,117.0,140.0,0.5771,0.4921,0.4828
FLUSHINGMEADOWPARK,66.5,81.0,191.0,42.0,0.4618,0.3899,0.3967
WHITESTONE,66.5,57.5,79.0,108.0,0.3774,0.336,0.31
FORDHAM,163.5,33.0,20.0,79.0,0.3586,0.3317,0.2418
CROTONAPARK,163.5,57.5,38.0,62.0,0.3896,0.3498,0.2689
FIELDSTON,163.5,177.5,85.0,39.0,0.5643,0.4696,0.4173
FORESTHILLS,93.0,103.0,97.5,97.0,0.4739,0.4098,0.3807
BRIARWOOD,93.0,51.5,94.0,155.5,0.4782,0.4345,0.3904
MIDDLEVILLAGE,93.0,126.5,127.0,81.0,0.5188,0.4401,0.4218
REGOPARK,93.0,126.5,136.0,149.0,0.6123,0.5318,0.507
FORTGREENE,169.0,114.5,54.0,166.0,0.611,0.546,0.4606
CLINTONHILL,169.0,182.0,35.5,112.0,0.605,0.5176,0.4447
DOWNTOWN-FULTONMALL,169.0,98.0,6.0,183.0,0.5534,0.5039,0.4049
GERRITSENBEACH,132.0,30.5,188.0,75.0,0.5164,0.4602,0.4198
GREENPOINT,138.5,198.0,49.0,115.0,0.6074,0.5133,0.4613
GREENWICHVILLAGE-CENTRAL,93.0,157.5,44.0,3.0,0.361,0.2863,0.266
GREENWICHVILLAGE-WEST,93.0,180.0,67.0,109.0,0.5449,0.4571,0.4316
HARLEM-UPPER,112.5,34.0,7.0,135.5,0.3507,0.3292,0.2578
HIGHBRIDGE/MORRISHEIGHTS,56.5,42.5,66.0,89.0,0.3083,0.2757,0.2529
HUNTSPOINT,188.0,54.0,18.0,50.0,0.3762,0.3401,0.243
CASTLEHILL/UNIONPORT,188.0,71.0,194.0,142.0,0.7221,0.6457,0.5735
INWOOD,70.0,63.5,64.0,17.0,0.2603,0.2192,0.2004
JACKSONHEIGHTS,52.5,157.5,111.0,54.0,0.4551,0.3701,0.3785
AIRPORTLAGUARDIA,52.5,174.5,57.0,6.0,0.3519,0.2708,0.277
CORONA,52.5,140.5,149.0,168.0,0.6189,0.5332,0.5326
JAMAICA,198.5,116.0,170.5,167.0,0.7913,0.7015,0.6224
HILLCREST,198.5,96.5,91.0,32.0,0.5073,0.4402,0.3595
JAMAICAESTATES,198.5,121.0,42.0,36.0,0.4824,0.4153,0.3282
JAMAICAHILLS,198.5,95.0,177.0,8.0,0.5807,0.4977,0.4362
KINGSBRIDGEHTS/UNIVHTS,43.5,73.0,118.0,130.0,0.4424,0.389,0.3825
BRONX-UNKNOWN,7.5,81.0,17.0,102.0,0.2518,0.217,0.2152
BATHGATE,7.5,41.0,9.0,135.5,0.2342,0.2163,0.2033
BAYCHESTER,7.5,45.0,142.0,105.0,0.3635,0.3185,0.3353
BRONXPARK,7.5,86.0,11.0,15.0,0.145,0.1095,0.1178
PELHAMGARDENS,7.5,30.5,196.0,69.0,0.3677,0.318,0.3474
LONGISLANDCITY,121.0,192.0,95.0,63.0,0.5716,0.4721,0.4439
SUNNYSIDE,121.0,185.0,29.0,117.0,0.5485,0.4644,0.416
WOODSIDE,121.0,169.0,104.0,83.0,0.5789,0.4865,0.4544
MORRISANIA/LONGWOOD,188.0,65.0,32.0,148.0,0.5255,0.4824,0.3777
LOWEREASTSIDE,142.0,7.0,92.0,31.0,0.3301,0.3007,0.2385
EASTRIVER,142.0,111.5,88.0,172.0,0.6232,0.5545,0.4891
EASTVILLAGE,142.0,13.5,46.0,123.0,0.3938,0.3708,0.2894
LITTLEITALY,142.0,124.5,130.0,124.0,0.6317,0.55,0.5002
HARLEM-WEST,112.5,94.0,21.0,129.0,0.4326,0.3854,0.3259
MANHATTANVALLEY,112.5,36.0,30.0,138.0,0.3841,0.3574,0.2904
MORNINGSIDEHEIGHTS,112.5,57.5,175.5,37.0,0.4642,0.4013,0.3775
MIDTOWNCBD,33.5,203.0,12.0,2.0,0.304,0.2218,0.2342
FASHION,33.5,17.0,22.0,88.0,0.1948,0.1819,0.1596
MANHATTAN-UNKNOWN,33.5,103.0,2.0,45.0,0.2227,0.1807,0.1719
COUNTRYCLUB,33.5,67.5,157.0,13.0,0.3289,0.2708,0.2906
MIDWOOD,107.0,132.0,77.0,58.0,0.4539,0.3817,0.3499
KENSINGTON,107.0,164.5,189.0,178.0,0.7749,0.6688,0.6484
OCEANPARKWAY-SOUTH,107.0,137.5,106.0,20.0,0.4496,0.3698,0.3489
MORRISPARK/VANNEST,7.5,51.5,179.0,44.0,0.3422,0.2877,0.3198
BRONXDALE,7.5,75.0,133.0,84.5,0.3641,0.3094,0.3311
CITYISLAND,7.5,128.5,187.0,23.0,0.4199,0.3343,0.3814
CITYISLAND-PELHAMSTRIP,7.5,154.0,1.0,27.0,0.23,0.1703,0.1848
MOUNTHOPE/MOUNTEDEN,7.5,40.0,39.0,53.0,0.1693,0.146,0.1486
SCHUYLERVILLE/PELHAMBAY,7.5,78.0,156.0,100.0,0.4144,0.3542,0.3788
MOTTHAVEN/PORTMORRIS,14.0,81.0,195.0,25.0,0.3823,0.313,0.3511
OCEANHILL,136.5,174.5,155.0,113.0,0.7027,0.5974,0.5638
OCEANPARKWAY-NORTH,76.0,146.0,152.0,134.0,0.6165,0.5266,0.5187
OZONEPARK,150.5,108.5,161.0,121.0,0.6566,0.5745,0.5242
CYPRESSHILLS,150.5,162.0,148.0,173.0,0.7688,0.6688,0.6172
PARKSLOPE,183.0,164.5,75.0,49.0,0.5722,0.4831,0.4153
PARKSLOPESOUTH,183.0,183.0,76.0,92.0,0.6481,0.5517,0.4814
PROSPECTHEIGHTS,183.0,179.0,139.5,47.5,0.6663,0.5592,0.506
PARKCHESTER,125.5,148.5,96.0,68.0,0.5316,0.4482,0.4111
WESTCHESTER,125.5,146.0,169.0,99.0,0.6547,0.5584,0.5311
PELHAMPARKWAYNORTH,7.5,45.0,145.0,128.0,0.395,0.3495,0.364
QUEENSVILLAGE,84.0,88.5,170.5,29.0,0.4515,0.3795,0.3755
BELLEROSE,84.0,57.5,128.0,86.5,0.432,0.3801,0.3566
FLORALPARK,84.0,67.5,121.0,90.0,0.4399,0.3855,0.3617
FRESHMEADOWS,84.0,86.0,80.0,91.0,0.4138,0.3602,0.3309
GLENOAKS,84.0,156.0,25.0,153.0,0.5073,0.4373,0.3999
HOLLIS,84.0,61.5,184.5,5.0,0.4066,0.3423,0.34
HOLLISHILLS,84.0,83.0,70.0,43.0,0.3398,0.2892,0.2635
HOLLISWOOD,84.0,6.0,53.0,18.0,0.1954,0.1776,0.1408
QUEENS-UNKNOWN,84.0,134.5,88.0,187.0,0.5989,0.5251,0.4926
RICHMONDHILL,191.0,121.0,163.0,143.0,0.75,0.6602,0.5874
KEWGARDENS,191.0,128.5,122.0,160.0,0.73,0.6452,0.5635
WOODHAVEN,191.0,142.5,162.0,19.0,0.6244,0.5265,0.4716
RIDGEWOOD,100.5,144.0,114.0,95.0,0.5504,0.4669,0.4429
GLENDALE,100.5,134.5,141.0,60.0,0.5291,0.4441,0.4282
RIVERDALE,43.5,124.5,146.0,41.0,0.4308,0.3524,0.3692
VANCORTLANDTPARK,43.5,169.0,4.0,66.0,0.3428,0.2745,0.2674
SHEEPSHEADBAY,132.0,118.0,160.0,57.0,0.5667,0.4824,0.4511
MARINEPARK,132.0,118.0,151.0,72.0,0.574,0.4914,0.4566
SOHO,93.0,28.0,26.0,152.0,0.3629,0.3412,0.2812
SOUNDVIEW,125.5,78.0,125.0,170.0,0.605,0.5431,0.4893
ALPHABETCITY,38.0,20.0,52.0,86.5,0.2385,0.2184,0.2001
KIPSBAY,38.0,5.0,197.0,114.0,0.4296,0.3875,0.3915
GRAMERCY,38.0,21.0,13.0,171.0,0.2949,0.2819,0.246
MURRAYHILL,38.0,193.0,61.0,131.0,0.5133,0.4253,0.4275
SUNSETPARK,52.5,137.5,74.0,145.0,0.4964,0.4261,0.4135
BUSHTERMINAL,52.5,162.0,5.0,185.0,0.4909,0.4245,0.3973
THROGSNECK,20.0,45.0,183.0,120.0,0.4466,0.393,0.409
TRIBECA,16.5,205.0,43.0,151.0,0.5042,0.4164,0.4262
CIVICCENTER,16.5,207.0,50.0,177.0,0.5467,0.4568,0.465
MIDTOWNEAST,38.0,200.0,68.0,146.0,0.5485,0.4564,0.4592
UPPEREASTSIDE(59-79),29.5,90.0,58.0,1.0,0.2166,0.1691,0.1768
UPPEREASTSIDE(79-96),29.5,27.0,73.0,84.5,0.2597,0.2335,0.225
UPPEREASTSIDE(96-110),29.5,3.0,35.5,65.0,0.1614,0.1516,0.1349
ROOSEVELTISLAND,29.5,42.5,88.0,161.0,0.3896,0.3545,0.3418
UPPERWESTSIDE(59-79),60.5,121.0,83.0,55.0,0.3877,0.3216,0.315
UPPERWESTSIDE(79-96),60.5,202.0,71.0,137.0,0.571,0.4761,0.4686
UPPERWESTSIDE(96-116),60.5,1.0,126.0,174.0,0.4387,0.4103,0.3806
WAKEFIELD,60.5,75.0,168.0,35.0,0.4108,0.346,0.3516
WOODLAWN,60.5,48.5,102.0,155.5,0.4448,0.4028,0.3774
WASHINGTONHEIGHTSLOWER,138.5,15.0,41.0,159.0,0.429,0.4066,0.322
WASHINGTONHEIGHTSUPPER,1.0,22.0,19.0,70.0,0.1359,0.1238,0.1215
MIDTOWNWEST,43.5,201.0,24.0,116.0,0.4666,0.3822,0.3774
WILLIAMSBRIDGE,60.5,75.0,138.0,111.0,0.4666,0.4076,0.3982
WINDSORTERRACE,52.5,166.5,107.0,4.0,0.4005,0.3128,0.3277
FLATBUSH-LEFFERTSGARDEN,110.0,190.0,47.0,30.0,0.4575,0.3687,0.341
JAMAICABAY,175.5,71.0,172.0,182.0,0.7288,0.6574,0.5829
KINGSBRIDGE/JEROMEPARK,43.5,130.0,40.0,76.0,0.3513,0.2911,0.2842
PELHAMPARKWAYSOUTH,43.5,100.0,200.0,46.0,0.4727,0.3933,0.4164
