,census_tract_nbr,map_nbr,county,neighborhood
245,36047090000,900.0,Kings,Brownsville
246,36047089200,892.0,Kings,Brownsville
247,36047054300,543.0,Kings,Brooklyn Navy Yard
248,36047021100,211.0,Kings,Ft Green
249,36047054700,547.0,Kings,North Side (Williamsburg)
250,36047054900,549.0,Kings,North Side (Williamsburg)
251,36047044900,449.0,Kings,East Williamsburg
252,36047045300,453.0,Kings,East Williamsburg
253,36047057900,579.0,Kings,Greenpoint
254,36047035200,352.0,Kings,Coney Island areas
255,36047035000,350.0,Kings,Coney Island areas
256,36047032600,326.0,Kings,Coney Island areas
257,36047031400,314.0,Kings,Gravesend
258,36047030400,304.0,Kings,Bensonhurst
259,36047029400,294.0,Kings,Bensonhurst
260,36047034800,348.0,Kings,Coney Island areas
261,36047036200,362.0,Kings,Coney Island areas
262,36047036001,360.01,Kings,Coney Island areas
263,36047000200,2.0,Kings,Sunset Park  - Industry City
264,36047002200,22.0,Kings,Sunset Park  - Brooklyn ArmyTerminal
265,36047002000,20.0,Kings,Sunset Park
266,36047007000,70.0,Kings,Sunset Park
267,36047010100,101.0,Kings,Sunset Park
268,36047034200,342.0,Kings,Coney Island areas
269,36047033000,330.0,Kings,Coney Island areas
270,36047001300,13.0,Kings,Downtown Brooklyn
271,36047002300,23.0,Kings,Downtown Brooklyn
272,36047001500,15.0,Kings,Downtown Brooklyn
273,36047001100,11.0,Kings,Downtown Brooklyn
274,36047000100,1.0,Kings,Downtown Brooklyn
275,36047007400,74.0,Kings,Sunset Park
276,36047042300,423.0,Kings,Bushwick
277,36047042900,429.0,Kings,Bushwick
278,36047042100,421.0,Kings,Bushwick
279,36047041900,419.0,Kings,Bushwick
280,36047043300,433.0,Kings,Bushwick
281,36047041700,417.0,Kings,Bushwick
282,36047039900,399.0,Kings,Bushwick
283,36047041500,415.0,Kings,Bushwick
284,36047041300,413.0,Kings,Bushwick
285,36047040100,401.0,Kings,Bushwick
286,36047039700,397.0,Kings,Bushwick
287,36047005300,53.0,Kings,Red Hook
288,36047028300,283.0,Kings,Stuyvesant Heights
289,36047028100,281.0,Kings,Stuyvesant Heights
290,36047028900,289.0,Kings,Stuyvesant Heights
291,36047029300,293.0,Kings,Stuyvesant Heights
292,36047026500,265.0,Kings,Bedford
293,36047026300,263.0,Kings,Bedford
294,36047025100,251.0,Kings,Bedford
295,36047024300,243.0,Kings,Bedford
296,36047011600,116.0,Kings,East New York
297,36047010400,104.0,Kings,East New York
298,36047009800,98.0,Kings,East New York
299,36047011800,118.0,Kings,East New York
300,36047116200,1162.0,Kings,East New York
301,36047115000,1150.0,Kings,East New York
302,36047061004,610.04,Kings,Coney Island areas
303,36047115600,1156.0,Kings,East New York
304,36047113400,1134.0,Kings,East New York
305,36047021500,215.0,Kings,Prospect Heights
306,36047115200,1152.0,Kings,East New York
307,36047008500,85.0,Kings,Red Hook
308,36047114400,1144.0,Kings,East New York
309,36047089000,890.0,Kings,Rugby Remsen Village
310,36047088200,882.0,Kings,Rugby Remsen Village
311,36047034900,349.0,Kings,Crown height
312,36047035700,357.0,Kings,Crown height
313,36047035900,359.0,Kings,Crown height
314,36047036100,361.0,Kings,Ocean Hill
315,36047036300,363.0,Kings,Ocean Hill
316,36047034700,347.0,Kings,Crown height
317,36047030900,309.0,Kings,Crown height
318,36047030700,307.0,Kings,Crown height
319,36047030300,303.0,Kings,Ocean Hill
320,36047036501,365.01,Kings,Ocean Hill
321,36047036502,365.02,Kings,Ocean Hill
322,36047036700,367.0,Kings,Ocean Hill
323,36047036900,369.0,Kings,Ocean Hill
324,36047037300,373.0,Kings,Ocean Hill
325,36047040500,405.0,Kings,Bushwick
326,36047000502,5.02,Kings,Downtown Brooklyn
327,36047002901,29.01,Kings,Downtown Brooklyn
328,36047018501,185.01,Kings,Downtown Brooklyn
329,36047007100,71.0,Kings,Gowanus
330,36047012700,127.0,Kings,Gowanus
331,36047011900,119.0,Kings,Gowanus
332,36047011700,117.0,Kings,Gowanus
333,36047008400,84.0,Kings,Sunset Park
334,36047008200,82.0,Kings,Sunset Park
335,36047111600,1116.0,Kings,East New York
336,36047111800,1118.0,Kings,East New York
337,36047119400,1194.0,Kings,East New York
338,36047053200,532.0,Kings,Midwood
339,36047077400,774.0,Kings,Flatbush - Brooklyn College
340,36047078200,782.0,Kings,Flatbush
341,36047083000,830.0,Kings,Flatbush
342,36047082800,828.0,Kings,Flatbush
343,36047082400,824.0,Kings,Erasmus
344,36047081800,818.0,Kings,Erasmus
345,36047081600,816.0,Kings,Erasmus
346,36047082000,820.0,Kings,Propect Lefferts
347,36047080400,804.0,Kings,Prospect Lefferts
348,36047081000,810.0,Kings,Prospect Lefferts
349,36047080600,806.0,Kings,Prospect Lefferts
350,36047087401,874.01,Kings,Prospect Lefferts
351,36047087600,876.0,Kings,Prospect Lefferts
352,36047033100,331.0,Kings,Crown Heights
353,36047021300,213.0,Kings,Crown Heights
354,36047032300,323.0,Kings,Crown Heights
355,36047031900,319.0,Kings,Crown Heights
356,36047033900,339.0,Kings,Crown Heights
357,36047044700,447.0,Kings,Ridgewood
358,36047003400,34.0,Kings,Bay Ridge
359,36047114201,1142.01,Kings,Brownsville
360,36047114600,1146.0,Kings,Brownsville
361,36047119800,1198.0,Kings,Brownsville
362,36047056300,563.0,Kings,Greenpoint
363,36047051300,513.0,Kings,Williamsburg
364,36047021700,217.0,Kings,Prospect Heights
365,36047024100,241.0,Kings,Bedford
366,36047076200,762.0,Kings,Midwood
367,36047019100,191.0,Kings,Brooklyn Navy Yard
368,36005005001,50.01,Bronx,Soundview-Bruckner
369,36005001900,19.0,Bronx,"Port Morris, adjacent to Hunts point"
370,36005002300,23.0,Bronx,Mott Haven-Port Morris
371,36005002500,25.0,Bronx,Mott Haven-Port Morris
372,36005002701,27.01,Bronx,Mott Haven-Port Morris
373,36005003500,35.0,Bronx,adjacent to Port Morris
374,36005003900,39.0,Bronx,Mott Haven-Port Morris
375,36005004100,41.0,Bronx,Mott Haven/Port Morris
376,36005004300,43.0,Bronx,Mott Haven/Port Morris
377,36005005100,51.0,Bronx,Port Morris
378,36005005200,52.0,Bronx,Soundview-Bruckner
379,36005005902,59.02,Bronx,East Concourse-Concourse Village
380,36005006100,61.0,Bronx,East Concourse-Concourse Village
381,36005006300,63.0,Bronx,includes a portion of Hostos College. Bronx Terminal Market
382,36005006500,65.0,Bronx,East Concourse-Concourse Village
383,36005006700,67.0,Bronx,Melrose South-Mott Haven North
384,36005007100,71.0,Bronx,Melrose South-Mott Haven North
385,36005007500,75.0,Bronx,Melrose South-Mott Haven North
386,36005008700,87.0,Bronx,Longwood
387,36005008900,89.0,Bronx,borders Hunts Point
388,36005009000,90.0,Bronx,Westchester-Unionport
389,36005009300,93.0,Bronx,Hunts Points
390,36005009600,96.0,Bronx,Westchester-Unionport
391,36005011502,115.02,Bronx,Hunts Points
392,36005011700,117.0,Bronx,Hunts Points
393,36005011900,119.0,Bronx,Hunts Point
394,36005012300,123.0,Bronx,Morrisania-Melrose
395,36005012701,127.01,Bronx,Hunts Point
396,36005012901,129.01,Bronx,Longwood
397,36005014100,141.0,Bronx,Morrisania-Melrose
398,36005014500,145.0,Bronx,Claremont-Bathgate
399,36005014900,149.0,Bronx,Claremont-Bathgate
400,36005015700,157.0,Bronx,Crotona Park East
401,36005016100,161.0,Bronx,Crotona Park East
402,36005016500,165.0,Bronx,Claremont-Bathgate
403,36005016700,167.0,Bronx,Claremont-Bathgate
404,36005017500,175.0,Bronx,East Concourse-Concourse Village
405,36005017701,177.01,Bronx,East Concourse-Concourse Village
406,36005018102,181.02,Bronx,Fleetwood Concourse Village
407,36005018301,183.01,Bronx,Fleetwood Concourse Village
408,36005019500,195.0,Bronx,Fleetwood Concourse Village
409,36005019700,197.0,Bronx,Highbridge
410,36005019900,199.0,Bronx,Highbridge
411,36005020501,205.01,Bronx,University Heights-Morris Heights
412,36005021502,215.02,Bronx,Morris Heights
413,36005023100,231.0,Bronx,Mount Hope
414,36005024300,243.0,Bronx,University Heights-Morris Heights
415,36005024502,245.02,Bronx,LIC bordering Bronx Community College
416,36005025100,251.0,Bronx,University Heights-Morris Heights
417,36005025500,255.0,Bronx,Bronx Community College
418,36005025700,257.0,Bronx,LIC community adjacent to Bronx Community College
419,36005028400,284.0,Bronx,Van Nest-Morris Park-Westchester Square
420,36005036100,361.0,Bronx,East Tremont
421,36005037504,375.04,Bronx,Belmont
422,36005038302,383.02,Bronx,Fordham South
423,36005038500,385.0,Bronx,Belmont
424,36005039500,395.0,Bronx,Claremont-Bathgate
425,36005038900,389.0,Bronx,Belmont
426,36005039100,391.0,Bronx,Belmont
427,36005039300,393.0,Bronx,Belmont
428,36005036502,365.02,Bronx,Tremont
429,36005043100,431.0,Bronx,Mosholu-Montefiore Community Center
430,36005046202,462.02,Bronx,Coop City
431,36005046201,462.01,Bronx,Coop City
432,36005018900,189.0,Bronx,"By Concourse, Yankee Stadium"
433,36005019300,193.0,Bronx,"By Concourse, Yankee Stadium"
434,36005020100,201.0,Bronx,Highbridge
435,36005020502,205.02,Bronx,Morris Heights
436,36005024501,245.01,Bronx,Morris Heights
437,36005024700,247.0,Bronx,Morris Heights
438,36005002800,28.0,Bronx,Soundview
439,36005002702,27.02,Bronx,Port Morris
440,36005012101,121.01,Bronx,Foxhurst
441,36005012102,121.02,Bronx,Foxhurst
442,36005013100,131.0,Bronx,Foxhurst
443,36081000100,1.0,Queens,Hunters Point-Sunnyside-West Maspeth; LaguardiaCommunity College
444,36081002500,25.0,Queens,Queensbridge-Ravenswood-Long Island City
445,36081003100,31.0,Queens,Queensbridge-Ravenswood-Long Island City
446,36081003300,33.0,Queens,Queensbridge-Ravenswood-Long Island City
447,36081003900,39.0,Queens,Queensbridge-Ravenswood-Long Island City
448,36081005100,51.0,Queens,Queensbridge-Ravenswood-Long Island City
449,36081005500,55.0,Queens,Queensbridge-Ravenswood-Long Island City
450,36081005700,57.0,Queens,Astoria
451,36081007900,79.0,Queens,Old Astoia
452,36081008500,85.0,Queens,Queensbridge-Ravenswood-Long Island City
453,36081008700,87.0,Queens,Old Astoia
454,36081011300,113.0,Queens,Ditmars Steinway
455,36081011400,114.0,Queens,Woodhaven
456,36081011600,116.0,Queens,Woodhaven
457,36081011900,119.0,Queens,Ditmars Steinway
458,36081014202,142.02,Queens,Jamaica LIC
459,36081014400,144.0,Queens,Jamaica LIC
460,36081015700,157.0,Queens,Queensbridge-Ravenswood-Long Island City
461,36081015900,159.0,Queens,Queensbridge-Ravenswood-Long Island City
462,36081017900,179.0,Queens,Laguardia Community College
463,36081018101,181.01,Queens,Sunnyside
464,36081018900,189.0,Queens,Hunters Point-Sunnyside-West Maspeth
465,36081019600,196.0,Queens,Jamaica
466,36081019900,199.0,Queens,Laguardia Community College
467,36081020400,204.0,Queens,Jamaica
468,36081020800,208.0,Queens,Jamaica
469,36081021200,212.0,Queens,Jamaica
470,36081024000,240.0,Queens,Bordering York College and part of Jamaica
471,36081025400,254.0,Queens,adjacent to York College
472,36081026000,260.0,Queens,Jamaica
473,36081028300,283.0,Queens,Jackson Heights
474,36081030600,306.0,Queens,South Jamaica
475,36081032000,320.0,Queens,LIC bordering JFK Airport
476,36081041400,414.0,Queens,Jamaica
477,36081041500,415.0,Queens,Corona
478,36081026901,269.01,Queens,Jackson Heights
479,36081044000,440.0,Queens,LIC adjacent to York College
480,36081044400,444.0,Queens,Jamaica
481,36081044601,446.01,Queens,Greater Jamaica LDC (CDFI)
482,36081044602,446.02,Queens,Jamaica Hills
483,36081066400,664.0,Queens,Bordering JFK Airport
484,36081069300,693.0,Queens,Rego Park
485,36081071100,711.0,Queens,Rego Park
486,36081071304,713.04,Queens,Rego Park
487,36081071702,717.02,Queens,Rego Park
488,36081079200,792.0,Queens,JFK airport
489,36081084602,846.02,Queens,LIC bordering JFK Airport
490,36081086900,869.0,Queens,Willlets Point
491,36081087100,871.0,Queens,Willets Point
492,36081088901,889.01,Queens,Flushing
493,36081092500,925.0,Queens,College Point
494,36081094201,942.01,Queens,Far Rock Away
495,36081097203,972.03,Queens,Far Rock Away
496,36081099802,998.02,Queens,Far Rock Away
497,36081099200,992.0,Queens,Far Rock Away
498,36081100802,1008.02,Queens,Far Rock Away
499,36081101001,1010.01,Queens,Far Rock Away
500,36081101002,1010.02,Queens,Far Rock Away
501,36081103201,1032.01,Queens,Far Rock Away
502,36081103202,1032.02,Queens,Far Rock Away
503,36081117100,1171.0,Queens,Flushing
504,36081020500,205.0,Queens,Laguardia Community College
505,36061006200,62.0,Queens/Manhattan,Hunters Point-Sunnyside-West Maspeth; LaguardiaCommunity College
506,36085031902,319.02,Richmond,Arlington
507,36085020700,207.0,Richmond,Port Richmond
508,36085000700,7.0,Richmond,St. George
509,36085002100,21.0,Richmond,Stapelton
510,36085022300,223.0,Richmond,Mariners Harbor
511,36085000300,3.0,Richmond,St. George
512,36085001100,11.0,Richmond,St. George
513,36085013301,133.01,Richmond,Port Richmond
