,Year,Nbr of Crimes,Neighborhood
174,2011,1350.0,Lower East Side
175,2011,1350.0,Chinatown
176,2012,1419.0,Lower East Side
177,2012,1419.0,Chinatown
178,2013,1424.0,Lower East Side
179,2013,1424.0,Chinatown
180,2014,1331.0,Lower East Side
181,2014,1331.0,Chinatown
182,2015,1337.0,Lower East Side
183,2015,1337.0,Chinatown
184,2016,1463.0,Lower East Side
185,2016,1463.0,Chinatown
186,2017,1300.0,Lower East Side
187,2017,1300.0,Chinatown
188,2018,1302.0,Lower East Side
189,2018,1302.0,Chinatown
190,2000,1398.0,Chelsea
191,2000,1398.0,Clinton
192,2001,877.0,Chelsea
193,2001,877.0,Clinton
194,2002,831.0,Chelsea
195,2002,831.0,Clinton
196,2003,1436.0,Chelsea
197,2003,1436.0,Clinton
198,2004,1466.0,Chelsea
199,2004,1466.0,Clinton
200,2005,1418.0,Chelsea
201,2005,1418.0,Clinton
202,2006,1469.0,Chelsea
203,2006,1469.0,Clinton
204,2007,1326.0,Chelsea
205,2007,1326.0,Clinton
206,2008,1321.0,Chelsea
207,2008,1321.0,Clinton
208,2009,1133.0,Chelsea
209,2009,1133.0,Clinton
210,2010,1049.0,Chelsea
211,2010,1049.0,Clinton
212,2011,1037.0,Chelsea
213,2011,1037.0,Clinton
214,2012,1088.0,Chelsea
215,2012,1088.0,Clinton
216,2013,1123.0,Chelsea
217,2013,1123.0,Clinton
218,2014,1022.0,Chelsea
219,2014,1022.0,Clinton
220,2015,1061.0,Chelsea
221,2015,1061.0,Clinton
222,2016,1032.0,Chelsea
223,2016,1032.0,Clinton
224,2017,981.0,Chelsea
225,2017,981.0,Clinton
226,2018,1046.0,Chelsea
227,2018,1046.0,Clinton
228,2000,3317.0,Stuyvesant Town
229,2000,3317.0,Turtle Bay
230,2001,3054.0,Stuyvesant Town
231,2001,3054.0,Turtle Bay
232,2002,3145.0,Stuyvesant Town
233,2002,3145.0,Turtle Bay
234,2003,3031.0,Stuyvesant Town
235,2003,3031.0,Turtle Bay
236,2004,3071.0,Stuyvesant Town
237,2004,3071.0,Turtle Bay
238,2005,2812.0,Stuyvesant Town
239,2005,2812.0,Turtle Bay
240,2006,2716.0,Stuyvesant Town
241,2006,2716.0,Turtle Bay
242,2007,2540.0,Stuyvesant Town
243,2007,2540.0,Turtle Bay
244,2008,2518.0,Stuyvesant Town
245,2008,2518.0,Turtle Bay
246,2009,2389.0,Stuyvesant Town
247,2009,2389.0,Turtle Bay
248,2010,2136.0,Stuyvesant Town
249,2010,2136.0,Turtle Bay
250,2011,2044.0,Stuyvesant Town
251,2011,2044.0,Turtle Bay
252,2012,2022.0,Stuyvesant Town
253,2012,2022.0,Turtle Bay
254,2013,2152.0,Stuyvesant Town
255,2013,2152.0,Turtle Bay
256,2014,2061.0,Stuyvesant Town
257,2014,2061.0,Turtle Bay
258,2015,2056.0,Stuyvesant Town
259,2015,2056.0,Turtle Bay
260,2016,1879.0,Stuyvesant Town
261,2016,1879.0,Turtle Bay
262,2017,1694.0,Stuyvesant Town
263,2017,1694.0,Turtle Bay
264,2018,1954.0,Stuyvesant Town
265,2018,1954.0,Turtle Bay
266,2000,6857.0,Midtown Business District
267,2001,6088.0,Midtown Business District
268,2002,5265.0,Midtown Business District
269,2003,5105.0,Midtown Business District
270,2004,4730.0,Midtown Business District
271,2005,4423.0,Midtown Business District
272,2006,4173.0,Midtown Business District
273,2007,3971.0,Midtown Business District
274,2008,3708.0,Midtown Business District
275,2009,3330.0,Midtown Business District
276,2010,3069.0,Midtown Business District
277,2011,2896.0,Midtown Business District
278,2012,2896.0,Midtown Business District
279,2013,2863.0,Midtown Business District
280,2014,2744.0,Midtown Business District
281,2015,2809.0,Midtown Business District
282,2016,2797.0,Midtown Business District
283,2017,2645.0,Midtown Business District
284,2018,2606.0,Midtown Business District
285,2000,2028.0,Stuyvesant Town
286,2000,2028.0,Turtle Bay
287,2001,1990.0,Stuyvesant Town
288,2001,1990.0,Turtle Bay
289,2002,1801.0,Stuyvesant Town
290,2002,1801.0,Turtle Bay
291,2003,1796.0,Stuyvesant Town
292,2003,1796.0,Turtle Bay
293,2004,1667.0,Stuyvesant Town
294,2004,1667.0,Turtle Bay
295,2005,1397.0,Stuyvesant Town
296,2005,1397.0,Turtle Bay
297,2006,1391.0,Stuyvesant Town
298,2006,1391.0,Turtle Bay
299,2007,1277.0,Stuyvesant Town
300,2007,1277.0,Turtle Bay
301,2008,1269.0,Stuyvesant Town
302,2008,1269.0,Turtle Bay
303,2009,1018.0,Stuyvesant Town
304,2009,1018.0,Turtle Bay
305,2010,990.0,Stuyvesant Town
306,2010,990.0,Turtle Bay
307,2011,937.0,Stuyvesant Town
308,2011,937.0,Turtle Bay
309,2012,1020.0,Stuyvesant Town
310,2012,1020.0,Turtle Bay
311,2013,1024.0,Stuyvesant Town
312,2013,1024.0,Turtle Bay
313,2014,909.0,Stuyvesant Town
314,2014,909.0,Turtle Bay
315,2015,986.0,Stuyvesant Town
316,2015,986.0,Turtle Bay
317,2016,1000.0,Stuyvesant Town
318,2016,1000.0,Turtle Bay
319,2017,1023.0,Stuyvesant Town
320,2017,1023.0,Turtle Bay
321,2018,1021.0,Stuyvesant Town
322,2018,1021.0,Turtle Bay
323,2000,5607.0,Chelsea
324,2000,5607.0,Clinton
325,2001,5263.0,Chelsea
326,2001,5263.0,Clinton
327,2002,4508.0,Chelsea
328,2002,4508.0,Clinton
329,2003,4144.0,Chelsea
330,2003,4144.0,Clinton
331,2004,3992.0,Chelsea
332,2004,3992.0,Clinton
333,2005,3652.0,Chelsea
334,2005,3652.0,Clinton
335,2006,2945.0,Chelsea
336,2006,2945.0,Clinton
337,2007,2761.0,Chelsea
338,2007,2761.0,Clinton
339,2008,2718.0,Chelsea
340,2008,2718.0,Clinton
341,2009,2479.0,Chelsea
342,2009,2479.0,Clinton
343,2010,2331.0,Chelsea
344,2010,2331.0,Clinton
345,2011,2228.0,Chelsea
346,2011,2228.0,Clinton
347,2012,2313.0,Chelsea
348,2012,2313.0,Clinton
349,2013,2271.0,Chelsea
350,2013,2271.0,Clinton
351,2014,2394.0,Chelsea
352,2014,2394.0,Clinton
353,2015,2361.0,Chelsea
354,2015,2361.0,Clinton
355,2016,2467.0,Chelsea
356,2016,2467.0,Clinton
357,2017,2411.0,Chelsea
358,2017,2411.0,Clinton
359,2018,2425.0,Chelsea
360,2018,2425.0,Clinton
361,2000,4188.0,Upper East Side
362,2001,3784.0,Upper East Side
363,2002,3606.0,Upper East Side
364,2003,3310.0,Upper East Side
365,2004,3326.0,Upper East Side
366,2005,2892.0,Upper East Side
367,2006,2842.0,Upper East Side
368,2007,2582.0,Upper East Side
369,2008,2371.0,Upper East Side
370,2009,1940.0,Upper East Side
371,2010,1871.0,Upper East Side
372,2011,1828.0,Upper East Side
373,2012,2036.0,Upper East Side
374,2013,2064.0,Upper East Side
375,2014,1913.0,Upper East Side
376,2015,1904.0,Upper East Side
377,2016,1959.0,Upper East Side
378,2017,1972.0,Upper East Side
379,2018,2063.0,Upper East Side
380,2000,1742.0,West Ode
381,2000,1742.0,Upper West Side
382,2001,1509.0,West Ode
383,2001,1509.0,Upper West Side
384,2002,1499.0,West Ode
385,2002,1499.0,Upper West Side
386,2003,1510.0,West Ode
387,2003,1510.0,Upper West Side
388,2004,1660.0,West Ode
389,2004,1660.0,Upper West Side
390,2005,1519.0,West Ode
391,2005,1519.0,Upper West Side
392,2006,1327.0,West Ode
393,2006,1327.0,Upper West Side
394,2007,1259.0,West Ode
395,2007,1259.0,Upper West Side
396,2008,1165.0,West Ode
397,2008,1165.0,Upper West Side
398,2009,1056.0,West Ode
399,2009,1056.0,Upper West Side
400,2010,970.0,West Ode
401,2010,970.0,Upper West Side
402,2011,858.0,West Ode
403,2011,858.0,Upper West Side
404,2012,1028.0,West Ode
405,2012,1028.0,Upper West Side
406,2013,969.0,West Ode
407,2013,969.0,Upper West Side
408,2014,899.0,West Ode
409,2014,899.0,Upper West Side
410,2015,873.0,West Ode
411,2015,873.0,Upper West Side
412,2016,854.0,West Ode
413,2016,854.0,Upper West Side
414,2017,952.0,West Ode
415,2017,952.0,Upper West Side
416,2018,923.0,West Ode
417,2018,923.0,Upper West Side
418,2000,1509.0,East Harlem
419,2001,1341.0,East Harlem
420,2002,1258.0,East Harlem
421,2003,1218.0,East Harlem
422,2004,1110.0,East Harlem
423,2005,1130.0,East Harlem
424,2006,1008.0,East Harlem
425,2007,984.0,East Harlem
426,2008,1000.0,East Harlem
427,2009,882.0,East Harlem
428,2010,878.0,East Harlem
429,2011,870.0,East Harlem
430,2012,1014.0,East Harlem
431,2013,1062.0,East Harlem
432,2014,1001.0,East Harlem
433,2015,1025.0,East Harlem
434,2016,985.0,East Harlem
435,2017,909.0,East Harlem
436,2018,863.0,East Harlem
437,2000,1554.0,West Side
438,2000,1554.0,Upper West Side
439,2001,1475.0,West Side
440,2001,1475.0,Upper West Side
441,2002,1453.0,West Side
442,2002,1453.0,Upper West Side
443,2003,1450.0,West Side
444,2003,1450.0,Upper West Side
445,2004,1408.0,West Side
446,2004,1408.0,Upper West Side
447,2005,1499.0,West Side
448,2005,1499.0,Upper West Side
449,2006,1313.0,West Side
450,2006,1313.0,Upper West Side
451,2007,1177.0,West Side
452,2007,1177.0,Upper West Side
453,2008,1148.0,West Side
454,2008,1148.0,Upper West Side
455,2009,986.0,West Side
456,2009,986.0,Upper West Side
