,Year,Nbr of Crimes,Neighborhood
845,2004,2440.0,Concourse Village
846,2005,2350.0,Highbridge
847,2005,2350.0,Concourse Village
848,2006,2289.0,Highbridge
849,2006,2289.0,Concourse Village
850,2007,2217.0,Highbridge
851,2007,2217.0,Concourse Village
852,2008,2167.0,Highbridge
853,2008,2167.0,Concourse Village
854,2009,2046.0,Highbridge
855,2009,2046.0,Concourse Village
856,2010,1994.0,Highbridge
857,2010,1994.0,Concourse Village
858,2011,2072.0,Highbridge
859,2011,2072.0,Concourse Village
860,2012,2204.0,Highbridge
861,2012,2204.0,Concourse Village
862,2013,2191.0,Highbridge
863,2013,2191.0,Concourse Village
864,2014,2306.0,Highbridge
865,2014,2306.0,Concourse Village
866,2015,2469.0,Highbridge
867,2015,2469.0,Concourse Village
868,2016,2260.0,Highbridge
869,2016,2260.0,Concourse Village
870,2017,2112.0,Highbridge
871,2017,2112.0,Concourse Village
872,2018,2053.0,Highbridge
873,2018,2053.0,Concourse Village
874,2000,2035.0,Throgs Neck
875,2000,2035.0,Co-op City
876,2000,2035.0,Pelham Bay
877,2001,1890.0,Throgs Neck
878,2001,1890.0,Co-op City
879,2001,1890.0,Pelham Bay
880,2002,1845.0,Throgs Neck
881,2002,1845.0,Co-op City
882,2002,1845.0,Pelham Bay
883,2003,1763.0,Throgs Neck
884,2003,1763.0,Co-op City
885,2003,1763.0,Pelham Bay
886,2004,1756.0,Throgs Neck
887,2004,1756.0,Co-op City
888,2004,1756.0,Pelham Bay
889,2005,1550.0,Throgs Neck
890,2005,1550.0,Co-op City
891,2005,1550.0,Pelham Bay
892,2006,1508.0,Throgs Neck
893,2006,1508.0,Co-op City
894,2006,1508.0,Pelham Bay
895,2007,1434.0,Throgs Neck
896,2007,1434.0,Co-op City
897,2007,1434.0,Pelham Bay
898,2008,1411.0,Throgs Neck
899,2008,1411.0,Co-op City
900,2008,1411.0,Pelham Bay
901,2009,1443.0,Throgs Neck
902,2009,1443.0,Co-op City
903,2009,1443.0,Pelham Bay
904,2010,1434.0,Throgs Neck
905,2010,1434.0,Co-op City
906,2010,1434.0,Pelham Bay
907,2011,1276.0,Throgs Neck
908,2011,1276.0,Co-op City
909,2011,1276.0,Pelham Bay
910,2012,1177.0,Throgs Neck
911,2012,1177.0,Co-op City
912,2012,1177.0,Pelham Bay
913,2013,1110.0,Throgs Neck
914,2013,1110.0,Co-op City
915,2013,1110.0,Pelham Bay
916,2014,1149.0,Throgs Neck
917,2014,1149.0,Co-op City
918,2014,1149.0,Pelham Bay
919,2015,1244.0,Throgs Neck
920,2015,1244.0,Co-op City
921,2015,1244.0,Pelham Bay
922,2016,1126.0,Throgs Neck
923,2016,1126.0,Co-op City
924,2016,1126.0,Pelham Bay
925,2017,1102.0,Throgs Neck
926,2017,1102.0,Co-op City
927,2017,1102.0,Pelham Bay
928,2018,1178.0,Throgs Neck
929,2018,1178.0,Co-op City
930,2018,1178.0,Pelham Bay
931,2000,2973.0,University Heights
932,2000,2973.0,Fordham
933,2000,2973.0,Mt. Hope
934,2001,2893.0,University Heights
935,2001,2893.0,Fordham
936,2001,2893.0,Mt. Hope
937,2002,2790.0,University Heights
938,2002,2790.0,Fordham
939,2002,2790.0,Mt. Hope
940,2003,2646.0,University Heights
941,2003,2646.0,Fordham
942,2003,2646.0,Mt. Hope
943,2004,2560.0,University Heights
944,2004,2560.0,Fordham
945,2004,2560.0,Mt. Hope
946,2005,2524.0,University Heights
947,2005,2524.0,Fordham
948,2005,2524.0,Mt. Hope
949,2006,2154.0,University Heights
950,2006,2154.0,Fordham
951,2006,2154.0,Mt. Hope
952,2007,2028.0,University Heights
953,2007,2028.0,Fordham
954,2007,2028.0,Mt. Hope
955,2008,1820.0,University Heights
956,2008,1820.0,Fordham
957,2008,1820.0,Mt. Hope
958,2009,1568.0,University Heights
959,2009,1568.0,Fordham
960,2009,1568.0,Mt. Hope
961,2010,1516.0,University Heights
962,2010,1516.0,Fordham
963,2010,1516.0,Mt. Hope
964,2011,1614.0,University Heights
965,2011,1614.0,Fordham
966,2011,1614.0,Mt. Hope
967,2012,1612.0,University Heights
968,2012,1612.0,Fordham
969,2012,1612.0,Mt. Hope
970,2013,1681.0,University Heights
971,2013,1681.0,Fordham
972,2013,1681.0,Mt. Hope
973,2014,1645.0,University Heights
974,2014,1645.0,Fordham
975,2014,1645.0,Mt. Hope
976,2015,1828.0,University Heights
977,2015,1828.0,Fordham
978,2015,1828.0,Mt. Hope
979,2016,1926.0,University Heights
980,2016,1926.0,Fordham
981,2016,1926.0,Mt. Hope
982,2017,1819.0,University Heights
983,2017,1819.0,Fordham
984,2017,1819.0,Mt. Hope
985,2018,1692.0,University Heights
986,2018,1692.0,Fordham
987,2018,1692.0,Mt. Hope
988,2000,2952.0,Wakefield
989,2000,2952.0,Williamsbridge
990,2001,2306.0,Wakefield
991,2001,2306.0,Williamsbridge
992,2002,2081.0,Wakefield
993,2002,2081.0,Williamsbridge
994,2003,2100.0,Wakefield
995,2003,2100.0,Williamsbridge
996,2004,2061.0,Wakefield
997,2004,2061.0,Williamsbridge
998,2005,2049.0,Wakefield
999,2005,2049.0,Williamsbridge
1000,2006,1998.0,Wakefield
1001,2006,1998.0,Williamsbridge
1002,2007,1904.0,Wakefield
1003,2007,1904.0,Williamsbridge
1004,2008,1960.0,Wakefield
1005,2008,1960.0,Williamsbridge
1006,2009,1888.0,Wakefield
1007,2009,1888.0,Williamsbridge
1008,2010,1965.0,Wakefield
1009,2010,1965.0,Williamsbridge
1010,2011,1975.0,Wakefield
1011,2011,1975.0,Williamsbridge
1012,2012,2127.0,Wakefield
1013,2012,2127.0,Williamsbridge
1014,2013,2159.0,Wakefield
1015,2013,2159.0,Williamsbridge
1016,2014,2035.0,Wakefield
1017,2014,2035.0,Williamsbridge
1018,2015,2062.0,Wakefield
1019,2015,2062.0,Williamsbridge
1020,2016,2272.0,Wakefield
1021,2016,2272.0,Williamsbridge
1022,2017,2448.0,Wakefield
1023,2017,2448.0,Williamsbridge
1024,2018,2131.0,Wakefield
1025,2018,2131.0,Williamsbridge
1026,2000,2239.0,East Tremont
1027,2000,2239.0,Belmont
1028,2001,1917.0,East Tremont
1029,2001,1917.0,Belmont
1030,2002,1921.0,East Tremont
1031,2002,1921.0,Belmont
1032,2003,1809.0,East Tremont
1033,2003,1809.0,Belmont
1034,2004,1732.0,East Tremont
1035,2004,1732.0,Belmont
1036,2005,1603.0,East Tremont
1037,2005,1603.0,Belmont
1038,2006,1652.0,East Tremont
1039,2006,1652.0,Belmont
1040,2007,1625.0,East Tremont
1041,2007,1625.0,Belmont
1042,2008,1580.0,East Tremont
1043,2008,1580.0,Belmont
1044,2009,1519.0,East Tremont
1045,2009,1519.0,Belmont
1046,2010,1490.0,East Tremont
1047,2010,1490.0,Belmont
1048,2011,1482.0,East Tremont
1049,2011,1482.0,Belmont
1050,2012,1633.0,East Tremont
1051,2012,1633.0,Belmont
1052,2013,1768.0,East Tremont
1053,2013,1768.0,Belmont
1054,2014,1772.0,East Tremont
1055,2014,1772.0,Belmont
1056,2015,1789.0,East Tremont
1057,2015,1789.0,Belmont
1058,2016,1562.0,East Tremont
1059,2016,1562.0,Belmont
1060,2017,1506.0,East Tremont
1061,2017,1506.0,Belmont
1062,2018,1394.0,East Tremont
1063,2018,1394.0,Belmont
1064,2000,2571.0,Pelham Parkway
1065,2000,2571.0,Morris Park
1066,2000,2571.0,Laconia
1067,2001,2072.0,Pelham Parkway
1068,2001,2072.0,Morris Park
1069,2001,2072.0,Laconia
1070,2002,2109.0,Pelham Parkway
1071,2002,2109.0,Morris Park
1072,2002,2109.0,Laconia
1073,2003,1933.0,Pelham Parkway
1074,2003,1933.0,Morris Park
1075,2003,1933.0,Laconia
1076,2004,1919.0,Pelham Parkway
1077,2004,1919.0,Morris Park
1078,2004,1919.0,Laconia
1079,2005,1846.0,Pelham Parkway
1080,2005,1846.0,Morris Park
1081,2005,1846.0,Laconia
1082,2006,1793.0,Pelham Parkway
1083,2006,1793.0,Morris Park
1084,2006,1793.0,Laconia
1085,2007,1749.0,Pelham Parkway
1086,2007,1749.0,Morris Park
1087,2007,1749.0,Laconia
1088,2008,1715.0,Pelham Parkway
1089,2008,1715.0,Morris Park
1090,2008,1715.0,Laconia
1091,2009,1592.0,Pelham Parkway
1092,2009,1592.0,Morris Park
1093,2009,1592.0,Laconia
1094,2010,1681.0,Pelham Parkway
1095,2010,1681.0,Morris Park
1096,2010,1681.0,Laconia
1097,2011,1728.0,Pelham Parkway
1098,2011,1728.0,Morris Park
1099,2011,1728.0,Laconia
1100,2012,1572.0,Pelham Parkway
1101,2012,1572.0,Morris Park
1102,2012,1572.0,Laconia
1103,2013,1148.0,Pelham Parkway
1104,2013,1148.0,Morris Park
1105,2013,1148.0,Laconia
1106,2014,1073.0,Pelham Parkway
1107,2014,1073.0,Morris Park
1108,2014,1073.0,Laconia
1109,2015,1244.0,Pelham Parkway
1110,2015,1244.0,Morris Park
1111,2015,1244.0,Laconia
1112,2016,1291.0,Pelham Parkway
1113,2016,1291.0,Morris Park
1114,2016,1291.0,Laconia
1115,2017,1261.0,Pelham Parkway
1116,2017,1261.0,Morris Park
1117,2017,1261.0,Laconia
1118,2018,1220.0,Pelham Parkway
1119,2018,1220.0,Morris Park
1120,2018,1220.0,Laconia
1121,2000,1746.0,Riverdale
1122,2000,1746.0,Kingsbridge
1123,2000,1746.0,Marble Hill
1124,2001,1465.0,Riverdale
1125,2001,1465.0,Kingsbridge
1126,2001,1465.0,Marble Hill
1127,2002,1356.0,Riverdale
1128,2002,1356.0,Kingsbridge
1129,2002,1356.0,Marble Hill
1130,2003,1293.0,Riverdale
1131,2003,1293.0,Kingsbridge
1132,2003,1293.0,Marble Hill
1133,2004,1239.0,Riverdale
1134,2004,1239.0,Kingsbridge
1135,2004,1239.0,Marble Hill
1136,2005,1219.0,Riverdale
1137,2005,1219.0,Kingsbridge
1138,2005,1219.0,Marble Hill
1139,2006,1125.0,Riverdale
1140,2006,1125.0,Kingsbridge
1141,2006,1125.0,Marble Hill
1142,2007,1103.0,Riverdale
1143,2007,1103.0,Kingsbridge
1144,2007,1103.0,Marble Hill
1145,2008,1085.0,Riverdale
1146,2008,1085.0,Kingsbridge
1147,2008,1085.0,Marble Hill
1148,2009,1013.0,Riverdale
1149,2009,1013.0,Kingsbridge
1150,2009,1013.0,Marble Hill
1151,2010,962.0,Riverdale
1152,2010,962.0,Kingsbridge
1153,2010,962.0,Marble Hill
1154,2011,1020.0,Riverdale
1155,2011,1020.0,Kingsbridge
1156,2011,1020.0,Marble Hill
1157,2012,995.0,Riverdale
1158,2012,995.0,Kingsbridge
1159,2012,995.0,Marble Hill
1160,2013,959.0,Riverdale
1161,2013,959.0,Kingsbridge
1162,2013,959.0,Marble Hill
1163,2014,973.0,Riverdale
1164,2014,973.0,Kingsbridge
1165,2014,973.0,Marble Hill
1166,2015,951.0,Riverdale
1167,2015,951.0,Kingsbridge
1168,2015,951.0,Marble Hill
1169,2016,976.0,Riverdale
1170,2016,976.0,Kingsbridge
1171,2016,976.0,Marble Hill
1172,2017,971.0,Riverdale
1173,2017,971.0,Kingsbridge
1174,2017,971.0,Marble Hill
1175,2018,939.0,Riverdale
1176,2018,939.0,Kingsbridge
1177,2018,939.0,Marble Hill
1178,2000,3659.0,Bedford Park
1179,2000,3659.0,Norwood
1180,2000,3659.0,Fordham
1181,2001,3121.0,Bedford Park
1182,2001,3121.0,Norwood
1183,2001,3121.0,Fordham
1184,2002,3062.0,Bedford Park
1185,2002,3062.0,Norwood
1186,2002,3062.0,Fordham
1187,2003,2877.0,Bedford Park
1188,2003,2877.0,Norwood
1189,2003,2877.0,Fordham
1190,2004,2906.0,Bedford Park
1191,2004,2906.0,Norwood
1192,2004,2906.0,Fordham
1193,2005,2697.0,Bedford Park
1194,2005,2697.0,Norwood
1195,2005,2697.0,Fordham
1196,2006,2438.0,Bedford Park
1197,2006,2438.0,Norwood
1198,2006,2438.0,Fordham
1199,2007,2425.0,Bedford Park
1200,2007,2425.0,Norwood
1201,2007,2425.0,Fordham
1202,2008,2365.0,Bedford Park
1203,2008,2365.0,Norwood
1204,2008,2365.0,Fordham
1205,2009,2219.0,Bedford Park
1206,2009,2219.0,Norwood
1207,2009,2219.0,Fordham
1208,2010,2181.0,Bedford Park
1209,2010,2181.0,Norwood
1210,2010,2181.0,Fordham
1211,2011,2174.0,Bedford Park
1212,2011,2174.0,Norwood
1213,2011,2174.0,Fordham
1214,2012,2162.0,Bedford Park
1215,2012,2162.0,Norwood
1216,2012,2162.0,Fordham
1217,2013,2206.0,Bedford Park
1218,2013,2206.0,Norwood
1219,2013,2206.0,Fordham
1220,2014,2194.0,Bedford Park
1221,2014,2194.0,Norwood
1222,2014,2194.0,Fordham
1223,2015,2109.0,Bedford Park
1224,2015,2109.0,Norwood
1225,2015,2109.0,Fordham
1226,2016,2095.0,Bedford Park
1227,2016,2095.0,Norwood
1228,2016,2095.0,Fordham
1229,2017,1794.0,Bedford Park
1230,2017,1794.0,Norwood
1231,2017,1794.0,Fordham
1232,2018,1917.0,Bedford Park
1233,2018,1917.0,Norwood
1234,2018,1917.0,Fordham
1235,2000,2383.0,Coney Island
1236,2000,2383.0,Brighton Beach
1237,2001,1811.0,Coney Island
1238,2001,1811.0,Brighton Beach
1239,2002,1831.0,Coney Island
1240,2002,1831.0,Brighton Beach
1241,2003,1710.0,Coney Island
1242,2003,1710.0,Brighton Beach
1243,2004,1508.0,Coney Island
1244,2004,1508.0,Brighton Beach
1245,2005,1686.0,Coney Island
1246,2005,1686.0,Brighton Beach
1247,2006,1624.0,Coney Island
1248,2006,1624.0,Brighton Beach
1249,2007,1492.0,Coney Island
1250,2007,1492.0,Brighton Beach
1251,2008,1453.0,Coney Island
1252,2008,1453.0,Brighton Beach
1253,2009,1250.0,Coney Island
1254,2009,1250.0,Brighton Beach
1255,2010,1323.0,Coney Island
1256,2010,1323.0,Brighton Beach
1257,2011,1322.0,Coney Island
1258,2011,1322.0,Brighton Beach
1259,2012,1435.0,Coney Island
1260,2012,1435.0,Brighton Beach
1261,2013,1421.0,Coney Island
1262,2013,1421.0,Brighton Beach
1263,2014,1465.0,Coney Island
1264,2014,1465.0,Brighton Beach
1265,2015,1404.0,Coney Island
1266,2015,1404.0,Brighton Beach
1267,2016,949.0,Coney Island
1268,2016,949.0,Brighton Beach
1269,2017,893.0,Coney Island
1270,2017,893.0,Brighton Beach
1271,2018,947.0,Coney Island
1272,2018,947.0,Brighton Beach
1273,2000,3585.0,Sheepshead Bay
1274,2000,3585.0,Gerri.en Beach
1275,2001,2514.0,Sheepshead Bay
1276,2001,2514.0,Gerri.en Beach
1277,2002,2530.0,Sheepshead Bay
1278,2002,2530.0,Gerri.en Beach
1279,2003,2509.0,Sheepshead Bay
1280,2003,2509.0,Gerri.en Beach
1281,2004,2350.0,Sheepshead Bay
1282,2004,2350.0,Gerri.en Beach
1283,2005,2154.0,Sheepshead Bay
1284,2005,2154.0,Gerri.en Beach
1285,2006,1802.0,Sheepshead Bay
1286,2006,1802.0,Gerri.en Beach
1287,2007,1618.0,Sheepshead Bay
1288,2007,1618.0,Gerri.en Beach
1289,2008,1752.0,Sheepshead Bay
1290,2008,1752.0,Gerri.en Beach
1291,2009,1302.0,Sheepshead Bay
1292,2009,1302.0,Gerri.en Beach
1293,2010,1107.0,Sheepshead Bay
1294,2010,1107.0,Gerri.en Beach
1295,2011,1202.0,Sheepshead Bay
1296,2011,1202.0,Gerri.en Beach
1297,2012,1668.0,Sheepshead Bay
1298,2012,1668.0,Gerri.en Beach
1299,2013,1666.0,Sheepshead Bay
1300,2013,1666.0,Gerri.en Beach
1301,2014,1698.0,Sheepshead Bay
1302,2014,1698.0,Gerri.en Beach
1303,2015,1493.0,Sheepshead Bay
1304,2015,1493.0,Gerri.en Beach
1305,2016,1174.0,Sheepshead Bay
1306,2016,1174.0,Gerri.en Beach
1307,2017,1268.0,Sheepshead Bay
1308,2017,1268.0,Gerri.en Beach
1309,2018,1163.0,Sheepshead Bay
1310,2018,1163.0,Gerri.en Beach
1311,2000,2517.0,Bensonhurst
1312,2000,2517.0,Bath Beach
1313,2001,2111.0,Bensonhurst
1314,2001,2111.0,Bath Beach
1315,2002,2099.0,Bensonhurst
1316,2002,2099.0,Bath Beach
1317,2003,1976.0,Bensonhurst
1318,2003,1976.0,Bath Beach
1319,2004,1957.0,Bensonhurst
1320,2004,1957.0,Bath Beach
1321,2005,1985.0,Bensonhurst
1322,2005,1985.0,Bath Beach
1323,2006,1798.0,Bensonhurst
1324,2006,1798.0,Bath Beach
1325,2007,1583.0,Bensonhurst
1326,2007,1583.0,Bath Beach
1327,2008,1474.0,Bensonhurst
1328,2008,1474.0,Bath Beach
1329,2009,1332.0,Bensonhurst
1330,2009,1332.0,Bath Beach
1331,2010,1249.0,Bensonhurst
1332,2010,1249.0,Bath Beach
1333,2011,1212.0,Bensonhurst
1334,2011,1212.0,Bath Beach
1335,2012,1298.0,Bensonhurst
1336,2012,1298.0,Bath Beach
1337,2013,1405.0,Bensonhurst
1338,2013,1405.0,Bath Beach
1339,2014,1286.0,Bensonhurst
1340,2014,1286.0,Bath Beach
1341,2015,1242.0,Bensonhurst
1342,2015,1242.0,Bath Beach
1343,2016,1124.0,Bensonhurst
1344,2016,1124.0,Bath Beach
1345,2017,1129.0,Bensonhurst
1346,2017,1129.0,Bath Beach
1347,2018,1017.0,Bensonhurst
1348,2018,1017.0,Bath Beach
1349,2000,2193.0,Canarsie
1350,2000,2193.0,flatlands
1351,2001,1743.0,Canarsie
1352,2001,1743.0,flatlands
1353,2002,1701.0,Canarsie
1354,2002,1701.0,flatlands
1355,2003,1720.0,Canarsie
1356,2003,1720.0,flatlands
1357,2004,1634.0,Canarsie
1358,2004,1634.0,flatlands
1359,2005,1652.0,Canarsie
1360,2005,1652.0,flatlands
1361,2006,1645.0,Canarsie
1362,2006,1645.0,flatlands
1363,2007,1577.0,Canarsie
1364,2007,1577.0,flatlands
1365,2008,1589.0,Canarsie
1366,2008,1589.0,flatlands
1367,2009,1440.0,Canarsie
1368,2009,1440.0,flatlands
1369,2010,1335.0,Canarsie
1370,2010,1335.0,flatlands
1371,2011,1339.0,Canarsie
1372,2011,1339.0,flatlands
1373,2012,1389.0,Canarsie
1374,2012,1389.0,flatlands
1375,2013,1296.0,Canarsie
1376,2013,1296.0,flatlands
1377,2014,1211.0,Canarsie
1378,2014,1211.0,flatlands
1379,2015,1136.0,Canarsie
1380,2015,1136.0,flatlands
1381,2016,1034.0,Canarsie
1382,2016,1034.0,flatlands
1383,2017,978.0,Canarsie
1384,2017,978.0,flatlands
1385,2018,887.0,Canarsie
1386,2018,887.0,flatlands
1387,2000,2201.0,Borough Park
1388,2000,2201.0,Ocean Parkway
1389,2001,1873.0,Borough Park
1390,2001,1873.0,Ocean Parkway
1391,2002,1729.0,Borough Park
1392,2002,1729.0,Ocean Parkway
1393,2003,1636.0,Borough Park
1394,2003,1636.0,Ocean Parkway
1395,2004,1583.0,Borough Park
1396,2004,1583.0,Ocean Parkway
1397,2005,1570.0,Borough Park
1398,2005,1570.0,Ocean Parkway
1399,2006,1477.0,Borough Park
1400,2006,1477.0,Ocean Parkway
1401,2007,1422.0,Borough Park
1402,2007,1422.0,Ocean Parkway
1403,2008,1387.0,Borough Park
1404,2008,1387.0,Ocean Parkway
1405,2009,1363.0,Borough Park
1406,2009,1363.0,Ocean Parkway
1407,2010,1264.0,Borough Park
1408,2010,1264.0,Ocean Parkway
1409,2011,1273.0,Borough Park
1410,2011,1273.0,Ocean Parkway
1411,2012,1244.0,Borough Park
1412,2012,1244.0,Ocean Parkway
1413,2013,1191.0,Borough Park
1414,2013,1191.0,Ocean Parkway
1415,2014,1154.0,Borough Park
1416,2014,1154.0,Ocean Parkway
1417,2015,1137.0,Borough Park
1418,2015,1137.0,Ocean Parkway
1419,2016,1040.0,Borough Park
1420,2016,1040.0,Ocean Parkway
1421,2017,912.0,Borough Park
1422,2017,912.0,Ocean Parkway
1423,2018,974.0,Borough Park
1424,2018,974.0,Ocean Parkway
1425,2000,3986.0,East Flatbush
1426,2000,3986.0,Rugby
1427,2000,3986.0,Farragut
1428,2001,3655.0,East Flatbush
1429,2001,3655.0,Rugby
1430,2001,3655.0,Farragut
1431,2002,3344.0,East Flatbush
1432,2002,3344.0,Rugby
1433,2002,3344.0,Farragut
1434,2003,2935.0,East Flatbush
1435,2003,2935.0,Rugby
1436,2003,2935.0,Farragut
1437,2004,2782.0,East Flatbush
1438,2004,2782.0,Rugby
1439,2004,2782.0,Farragut
1440,2005,2736.0,East Flatbush
1441,2005,2736.0,Rugby
1442,2005,2736.0,Farragut
1443,2006,2619.0,East Flatbush
1444,2006,2619.0,Rugby
1445,2006,2619.0,Farragut
1446,2007,2362.0,East Flatbush
1447,2007,2362.0,Rugby
1448,2007,2362.0,Farragut
1449,2008,2310.0,East Flatbush
1450,2008,2310.0,Rugby
1451,2008,2310.0,Farragut
1452,2009,2128.0,East Flatbush
1453,2009,2128.0,Rugby
1454,2009,2128.0,Farragut
1455,2010,2120.0,East Flatbush
1456,2010,2120.0,Rugby
1457,2010,2120.0,Farragut
1458,2011,2455.0,East Flatbush
1459,2011,2455.0,Rugby
1460,2011,2455.0,Farragut
1461,2012,2440.0,East Flatbush
1462,2012,2440.0,Rugby
1463,2012,2440.0,Farragut
1464,2013,2383.0,East Flatbush
1465,2013,2383.0,Rugby
1466,2013,2383.0,Farragut
1467,2014,2322.0,East Flatbush
1468,2014,2322.0,Rugby
1469,2014,2322.0,Farragut
1470,2015,2115.0,East Flatbush
1471,2015,2115.0,Rugby
1472,2015,2115.0,Farragut
1473,2016,2090.0,East Flatbush
1474,2016,2090.0,Rugby
1475,2016,2090.0,Farragut
1476,2017,2007.0,East Flatbush
1477,2017,2007.0,Rugby
1478,2017,2007.0,Farragut
1479,2018,1805.0,East Flatbush
1480,2018,1805.0,Rugby
1481,2018,1805.0,Farragut
1482,2000,1801.0,Bay Ridge
1483,2000,1801.0,Dyker Heights
1484,2001,1687.0,Bay Ridge
1485,2001,1687.0,Dyker Heights
1486,2002,1670.0,Bay Ridge
1487,2002,1670.0,Dyker Heights
1488,2003,1571.0,Bay Ridge
1489,2003,1571.0,Dyker Heights
1490,2004,1488.0,Bay Ridge
1491,2004,1488.0,Dyker Heights
1492,2005,1459.0,Bay Ridge
1493,2005,1459.0,Dyker Heights
1494,2006,1436.0,Bay Ridge
1495,2006,1436.0,Dyker Heights
1496,2007,1215.0,Bay Ridge
1497,2007,1215.0,Dyker Heights
1498,2008,1174.0,Bay Ridge
1499,2008,1174.0,Dyker Heights
1500,2009,986.0,Bay Ridge
1501,2009,986.0,Dyker Heights
1502,2010,914.0,Bay Ridge
1503,2010,914.0,Dyker Heights
1504,2011,950.0,Bay Ridge
1505,2011,950.0,Dyker Heights
1506,2012,945.0,Bay Ridge
1507,2012,945.0,Dyker Heights
1508,2013,947.0,Bay Ridge
1509,2013,947.0,Dyker Heights
1510,2014,945.0,Bay Ridge
1511,2014,945.0,Dyker Heights
1512,2015,958.0,Bay Ridge
1513,2015,958.0,Dyker Heights
1514,2016,867.0,Bay Ridge
1515,2016,867.0,Dyker Heights
1516,2017,852.0,Bay Ridge
1517,2017,852.0,Dyker Heights
1518,2018,775.0,Bay Ridge
1519,2018,775.0,Dyker Heights
1520,2000,2251.0,Canarsie. flatlands
1521,2001,1745.0,Canarsie. flatlands
1522,2002,1708.0,Canarsie. flatlands
1523,2003,1749.0,Canarsie. flatlands
1524,2004,1557.0,Canarsie. flatlands
1525,2005,1475.0,Canarsie. flatlands
1526,2006,1415.0,Canarsie. flatlands
1527,2007,1159.0,Canarsie. flatlands
1528,2008,1193.0,Canarsie. flatlands
1529,2009,1083.0,Canarsie. flatlands
1530,2010,1023.0,Canarsie. flatlands
1531,2011,1083.0,Canarsie. flatlands
1532,2012,1137.0,Canarsie. flatlands
1533,2013,1186.0,Canarsie. flatlands
1534,2014,1153.0,Canarsie. flatlands
1535,2015,1057.0,Canarsie. flatlands
1536,2016,961.0,Canarsie. flatlands
1537,2017,854.0,Canarsie. flatlands
1538,2018,769.0,Canarsie. flatlands
1539,2000,4425.0,Flatbush
1540,2000,4425.0,Midwood
1541,2001,3689.0,Flatbush
1542,2001,3689.0,Midwood
1543,2002,3590.0,Flatbush
1544,2002,3590.0,Midwood
1545,2003,3466.0,Flatbush
1546,2003,3466.0,Midwood
1547,2004,3225.0,Flatbush
1548,2004,3225.0,Midwood
1549,2005,2985.0,Flatbush
1550,2005,2985.0,Midwood
1551,2006,2760.0,Flatbush
1552,2006,2760.0,Midwood
1553,2007,2466.0,Flatbush
1554,2007,2466.0,Midwood
1555,2008,2375.0,Flatbush
1556,2008,2375.0,Midwood
1557,2009,2077.0,Flatbush
1558,2009,2077.0,Midwood
1559,2010,1971.0,Flatbush
1560,2010,1971.0,Midwood
1561,2011,1912.0,Flatbush
1562,2011,1912.0,Midwood
1563,2012,1889.0,Flatbush
1564,2012,1889.0,Midwood
1565,2013,1832.0,Flatbush
1566,2013,1832.0,Midwood
1567,2014,1725.0,Flatbush
1568,2014,1725.0,Midwood
1569,2015,1674.0,Flatbush
1570,2015,1674.0,Midwood
1571,2016,1437.0,Flatbush
1572,2016,1437.0,Midwood
1573,2017,1288.0,Flatbush
1574,2017,1288.0,Midwood
1575,2018,1243.0,Flatbush
1576,2018,1243.0,Midwood
1577,2000,3041.0,Crown Heights South
1578,2000,3041.0,Wingate
1579,2001,2599.0,Crown Heights South
1580,2001,2599.0,Wingate
1581,2002,2421.0,Crown Heights South
1582,2002,2421.0,Wingate
1583,2003,2223.0,Crown Heights South
1584,2003,2223.0,Wingate
1585,2004,2025.0,Crown Heights South
1586,2004,2025.0,Wingate
1587,2005,2015.0,Crown Heights South
1588,2005,2015.0,Wingate
1589,2006,1863.0,Crown Heights South
1590,2006,1863.0,Wingate
1591,2007,1729.0,Crown Heights South
1592,2007,1729.0,Wingate
1593,2008,1654.0,Crown Heights South
1594,2008,1654.0,Wingate
1595,2009,1474.0,Crown Heights South
1596,2009,1474.0,Wingate
1597,2010,1469.0,Crown Heights South
1598,2010,1469.0,Wingate
1599,2011,1452.0,Crown Heights South
1600,2011,1452.0,Wingate
1601,2012,1642.0,Crown Heights South
1602,2012,1642.0,Wingate
1603,2013,1637.0,Crown Heights South
1604,2013,1637.0,Wingate
1605,2014,1500.0,Crown Heights South
1606,2014,1500.0,Wingate
1607,2015,1497.0,Crown Heights South
1608,2015,1497.0,Wingate
1609,2016,1338.0,Crown Heights South
1610,2016,1338.0,Wingate
1611,2017,1270.0,Crown Heights South
1612,2017,1270.0,Wingate
1613,2018,1224.0,Crown Heights South
1614,2018,1224.0,Wingate
1615,2000,2157.0,Sunset Park
1616,2000,2157.0,Windsor Terrace
1617,2001,1976.0,Sunset Park
1618,2001,1976.0,Windsor Terrace
1619,2002,1804.0,Sunset Park
1620,2002,1804.0,Windsor Terrace
1621,2003,1948.0,Sunset Park
1622,2003,1948.0,Windsor Terrace
1623,2004,1768.0,Sunset Park
1624,2004,1768.0,Windsor Terrace
1625,2005,1671.0,Sunset Park
1626,2005,1671.0,Windsor Terrace
1627,2006,1489.0,Sunset Park
1628,2006,1489.0,Windsor Terrace
1629,2007,1314.0,Sunset Park
1630,2007,1314.0,Windsor Terrace
1631,2008,1313.0,Sunset Park
1632,2008,1313.0,Windsor Terrace
1633,2009,1172.0,Sunset Park
1634,2009,1172.0,Windsor Terrace
1635,2010,1202.0,Sunset Park
1636,2010,1202.0,Windsor Terrace
1637,2011,1218.0,Sunset Park
1638,2011,1218.0,Windsor Terrace
1639,2012,1152.0,Sunset Park
