,PCT,Crime,Year,Nbr of Crimes,variable,Neighborhood
30,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2001,3069.0,0,Battery Park
31,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2001,3069.0,1,Tribeca
32,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2002,2.0,0,Battery Park
33,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2002,2.0,1,Tribeca
34,1.0,RAPE                                  ,2002,10.0,0,Battery Park
35,1.0,RAPE                                  ,2002,10.0,1,Tribeca
36,1.0,ROBBERY                               ,2002,210.0,0,Battery Park
37,1.0,ROBBERY                               ,2002,210.0,1,Tribeca
38,1.0,FELONY ASSAULT                        ,2002,147.0,0,Battery Park
39,1.0,FELONY ASSAULT                        ,2002,147.0,1,Tribeca
40,1.0,BURGLARY                              ,2002,297.0,0,Battery Park
41,1.0,BURGLARY                              ,2002,297.0,1,Tribeca
42,1.0,GRAND LARCENY                         ,2002,1896.0,0,Battery Park
43,1.0,GRAND LARCENY                         ,2002,1896.0,1,Tribeca
44,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2002,153.0,0,Battery Park
45,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2002,153.0,1,Tribeca
46,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2002,2715.0,0,Battery Park
47,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2002,2715.0,1,Tribeca
48,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2003,2.0,0,Battery Park
49,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2003,2.0,1,Tribeca
50,1.0,RAPE                                  ,2003,11.0,0,Battery Park
51,1.0,RAPE                                  ,2003,11.0,1,Tribeca
52,1.0,ROBBERY                               ,2003,164.0,0,Battery Park
53,1.0,ROBBERY                               ,2003,164.0,1,Tribeca
54,1.0,FELONY ASSAULT                        ,2003,134.0,0,Battery Park
55,1.0,FELONY ASSAULT                        ,2003,134.0,1,Tribeca
56,1.0,BURGLARY                              ,2003,403.0,0,Battery Park
57,1.0,BURGLARY                              ,2003,403.0,1,Tribeca
58,1.0,GRAND LARCENY                         ,2003,1803.0,0,Battery Park
59,1.0,GRAND LARCENY                         ,2003,1803.0,1,Tribeca
60,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2003,132.0,0,Battery Park
61,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2003,132.0,1,Tribeca
62,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2003,2649.0,0,Battery Park
63,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2003,2649.0,1,Tribeca
64,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2004,2.0,0,Battery Park
65,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2004,2.0,1,Tribeca
66,1.0,RAPE                                  ,2004,11.0,0,Battery Park
67,1.0,RAPE                                  ,2004,11.0,1,Tribeca
68,1.0,ROBBERY                               ,2004,154.0,0,Battery Park
69,1.0,ROBBERY                               ,2004,154.0,1,Tribeca
70,1.0,FELONY ASSAULT                        ,2004,129.0,0,Battery Park
71,1.0,FELONY ASSAULT                        ,2004,129.0,1,Tribeca
72,1.0,BURGLARY                              ,2004,246.0,0,Battery Park
73,1.0,BURGLARY                              ,2004,246.0,1,Tribeca
74,1.0,GRAND LARCENY                         ,2004,1708.0,0,Battery Park
75,1.0,GRAND LARCENY                         ,2004,1708.0,1,Tribeca
76,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2004,133.0,0,Battery Park
77,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2004,133.0,1,Tribeca
78,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2004,2383.0,0,Battery Park
79,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2004,2383.0,1,Tribeca
80,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2005,0.0,0,Battery Park
81,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2005,0.0,1,Tribeca
82,1.0,RAPE                                  ,2005,5.0,0,Battery Park
83,1.0,RAPE                                  ,2005,5.0,1,Tribeca
84,1.0,ROBBERY                               ,2005,172.0,0,Battery Park
85,1.0,ROBBERY                               ,2005,172.0,1,Tribeca
86,1.0,FELONY ASSAULT                        ,2005,121.0,0,Battery Park
87,1.0,FELONY ASSAULT                        ,2005,121.0,1,Tribeca
88,1.0,BURGLARY                              ,2005,293.0,0,Battery Park
89,1.0,BURGLARY                              ,2005,293.0,1,Tribeca
90,1.0,GRAND LARCENY                         ,2005,1624.0,0,Battery Park
91,1.0,GRAND LARCENY                         ,2005,1624.0,1,Tribeca
92,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2005,90.0,0,Battery Park
93,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2005,90.0,1,Tribeca
94,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2005,2305.0,0,Battery Park
95,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2005,2305.0,1,Tribeca
96,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2006,1.0,0,Battery Park
97,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2006,1.0,1,Tribeca
98,1.0,RAPE                                  ,2006,4.0,0,Battery Park
99,1.0,RAPE                                  ,2006,4.0,1,Tribeca
100,1.0,ROBBERY                               ,2006,119.0,0,Battery Park
101,1.0,ROBBERY                               ,2006,119.0,1,Tribeca
102,1.0,FELONY ASSAULT                        ,2006,94.0,0,Battery Park
103,1.0,FELONY ASSAULT                        ,2006,94.0,1,Tribeca
104,1.0,BURGLARY                              ,2006,255.0,0,Battery Park
105,1.0,BURGLARY                              ,2006,255.0,1,Tribeca
106,1.0,GRAND LARCENY                         ,2006,1462.0,0,Battery Park
107,1.0,GRAND LARCENY                         ,2006,1462.0,1,Tribeca
108,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2006,78.0,0,Battery Park
109,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2006,78.0,1,Tribeca
110,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2006,2013.0,0,Battery Park
111,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2006,2013.0,1,Tribeca
112,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2007,0.0,0,Battery Park
113,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2007,0.0,1,Tribeca
114,1.0,RAPE                                  ,2007,7.0,0,Battery Park
115,1.0,RAPE                                  ,2007,7.0,1,Tribeca
116,1.0,ROBBERY                               ,2007,128.0,0,Battery Park
117,1.0,ROBBERY                               ,2007,128.0,1,Tribeca
118,1.0,FELONY ASSAULT                        ,2007,90.0,0,Battery Park
119,1.0,FELONY ASSAULT                        ,2007,90.0,1,Tribeca
120,1.0,BURGLARY                              ,2007,231.0,0,Battery Park
121,1.0,BURGLARY                              ,2007,231.0,1,Tribeca
122,1.0,GRAND LARCENY                         ,2007,1395.0,0,Battery Park
123,1.0,GRAND LARCENY                         ,2007,1395.0,1,Tribeca
124,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2007,63.0,0,Battery Park
125,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2007,63.0,1,Tribeca
126,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2007,1914.0,0,Battery Park
127,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2007,1914.0,1,Tribeca
128,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2008,1.0,0,Battery Park
129,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2008,1.0,1,Tribeca
130,1.0,RAPE                                  ,2008,12.0,0,Battery Park
131,1.0,RAPE                                  ,2008,12.0,1,Tribeca
132,1.0,ROBBERY                               ,2008,108.0,0,Battery Park
133,1.0,ROBBERY                               ,2008,108.0,1,Tribeca
134,1.0,FELONY ASSAULT                        ,2008,83.0,0,Battery Park
135,1.0,FELONY ASSAULT                        ,2008,83.0,1,Tribeca
136,1.0,BURGLARY                              ,2008,189.0,0,Battery Park
137,1.0,BURGLARY                              ,2008,189.0,1,Tribeca
138,1.0,GRAND LARCENY                         ,2008,1258.0,0,Battery Park
139,1.0,GRAND LARCENY                         ,2008,1258.0,1,Tribeca
140,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2008,57.0,0,Battery Park
141,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2008,57.0,1,Tribeca
142,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2008,1708.0,0,Battery Park
143,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2008,1708.0,1,Tribeca
144,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2009,2.0,0,Battery Park
145,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2009,2.0,1,Tribeca
146,1.0,RAPE                                  ,2009,4.0,0,Battery Park
147,1.0,RAPE                                  ,2009,4.0,1,Tribeca
148,1.0,ROBBERY                               ,2009,106.0,0,Battery Park
149,1.0,ROBBERY                               ,2009,106.0,1,Tribeca
150,1.0,FELONY ASSAULT                        ,2009,83.0,0,Battery Park
151,1.0,FELONY ASSAULT                        ,2009,83.0,1,Tribeca
152,1.0,BURGLARY                              ,2009,207.0,0,Battery Park
153,1.0,BURGLARY                              ,2009,207.0,1,Tribeca
154,1.0,GRAND LARCENY                         ,2009,1122.0,0,Battery Park
155,1.0,GRAND LARCENY                         ,2009,1122.0,1,Tribeca
156,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2009,54.0,0,Battery Park
157,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2009,54.0,1,Tribeca
158,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2009,1578.0,0,Battery Park
159,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2009,1578.0,1,Tribeca
160,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2010,2.0,0,Battery Park
161,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2010,2.0,1,Tribeca
162,1.0,RAPE                                  ,2010,6.0,0,Battery Park
163,1.0,RAPE                                  ,2010,6.0,1,Tribeca
164,1.0,ROBBERY                               ,2010,96.0,0,Battery Park
165,1.0,ROBBERY                               ,2010,96.0,1,Tribeca
166,1.0,FELONY ASSAULT                        ,2010,68.0,0,Battery Park
167,1.0,FELONY ASSAULT                        ,2010,68.0,1,Tribeca
168,1.0,BURGLARY                              ,2010,170.0,0,Battery Park
169,1.0,BURGLARY                              ,2010,170.0,1,Tribeca
170,1.0,GRAND LARCENY                         ,2010,1065.0,0,Battery Park
171,1.0,GRAND LARCENY                         ,2010,1065.0,1,Tribeca
172,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2010,38.0,0,Battery Park
173,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2010,38.0,1,Tribeca
174,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2010,1445.0,0,Battery Park
175,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2010,1445.0,1,Tribeca
176,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2011,0.0,0,Battery Park
177,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2011,0.0,1,Tribeca
178,1.0,RAPE                                  ,2011,13.0,0,Battery Park
179,1.0,RAPE                                  ,2011,13.0,1,Tribeca
180,1.0,ROBBERY                               ,2011,102.0,0,Battery Park
181,1.0,ROBBERY                               ,2011,102.0,1,Tribeca
182,1.0,FELONY ASSAULT                        ,2011,94.0,0,Battery Park
183,1.0,FELONY ASSAULT                        ,2011,94.0,1,Tribeca
184,1.0,BURGLARY                              ,2011,155.0,0,Battery Park
185,1.0,BURGLARY                              ,2011,155.0,1,Tribeca
186,1.0,GRAND LARCENY                         ,2011,979.0,0,Battery Park
187,1.0,GRAND LARCENY                         ,2011,979.0,1,Tribeca
188,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2011,59.0,0,Battery Park
