neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,43.0,165.0,86.0,112.0,0.4927,0.4103,0.413
BATHBEACH,109.0,124.5,94.0,47.0,0.4545,0.3818,0.3524
GRAVESEND,109.0,84.0,110.0,115.5,0.5079,0.4477,0.4073
FINANCIAL,60.5,137.0,11.0,160.0,0.4472,0.3887,0.3578
SOUTHBRIDGE,60.5,16.0,16.0,133.5,0.2743,0.2612,0.2175
BAYRIDGE,140.0,75.5,142.0,72.0,0.5212,0.4562,0.4092
BAYSIDE,94.0,61.0,141.0,106.0,0.4879,0.4315,0.4032
DOUGLASTON,94.0,177.5,136.0,176.0,0.7081,0.608,0.5867
LITTLENECK,94.0,172.0,149.0,29.0,0.5388,0.4384,0.4365
OAKLANDGARDENS,94.0,70.0,117.0,15.0,0.3592,0.304,0.2834
BEDFORDPARK/NORWOOD,81.0,131.5,159.0,132.0,0.611,0.525,0.514
BEDFORDSTUYVESANT,158.0,188.0,58.0,146.0,0.6675,0.5742,0.5083
BELMONT,169.5,156.5,56.0,94.0,0.5777,0.4961,0.4254
BENSONHURST,109.0,80.5,145.0,96.0,0.5225,0.4569,0.4251
BOROUGHPARK,94.0,135.5,129.0,10.0,0.4472,0.3646,0.3561
BRIGHTONBEACH,180.5,154.5,40.0,70.0,0.54,0.4616,0.3845
MANHATTANBEACH,180.5,119.0,61.0,137.0,0.6038,0.5349,0.4487
SEAGATE,180.5,96.5,127.0,117.0,0.6323,0.5594,0.4851
BROOKLYNHEIGHTS,7.5,51.0,100.0,100.0,0.3137,0.2745,0.2846
BROOKLYN-UNKNOWN,7.5,142.5,202.0,25.0,0.4575,0.3637,0.4154
COBBLEHILL,7.5,36.0,26.0,111.0,0.2191,0.1998,0.1923
COBBLEHILL-WEST,7.5,50.0,25.0,179.0,0.3174,0.2929,0.2789
DOWNTOWN-FULTONFERRY,7.5,27.0,189.0,71.0,0.3574,0.3104,0.3377
DOWNTOWN-METROTECH,7.5,31.0,194.0,68.0,0.3647,0.3152,0.3444
BROWNSVILLE,74.5,193.0,43.0,171.0,0.5843,0.4974,0.4715
BUSHWICK,109.0,176.0,46.0,83.0,0.5024,0.4192,0.3835
WYCKOFFHEIGHTS,109.0,206.0,17.0,163.0,0.6007,0.5116,0.4648
CANARSIE,155.0,124.5,115.0,167.0,0.6814,0.6018,0.5369
CARROLLGARDENS,194.0,49.0,78.0,184.0,0.6129,0.5667,0.4609
BOERUMHILL,194.0,41.0,151.0,9.0,0.4794,0.4223,0.3506
GOWANUS,194.0,105.5,148.0,128.0,0.6984,0.6172,0.5396
REDHOOK,194.0,133.5,200.0,11.0,0.6535,0.5516,0.5021
HARLEM-CENTRAL,152.0,17.0,44.0,75.0,0.3495,0.3249,0.2441
CHELSEA,199.5,146.5,139.0,157.0,0.7791,0.6836,0.6035
FLATIRON,199.5,2.0,9.0,87.0,0.361,0.3458,0.2289
MADISON,199.5,153.0,186.0,159.0,0.8465,0.7395,0.669
CHINATOWN,102.5,30.0,37.0,39.0,0.253,0.2279,0.1788
CLINTON,199.5,204.0,14.0,158.0,0.6984,0.6048,0.5087
CO-OPCITY,77.0,59.5,197.0,168.0,0.6086,0.5431,0.5271
MELROSE/CONCOURSE,150.5,64.5,89.0,40.0,0.4175,0.3661,0.3056
CONEYISLAND,180.5,110.5,13.0,16.0,0.3883,0.332,0.2501
CROWNHEIGHTS,162.0,146.5,71.0,91.0,0.571,0.4909,0.4261
DYKERHEIGHTS,140.0,73.5,116.0,55.0,0.4666,0.4073,0.3572
FLATBUSH-EAST,102.5,190.0,73.0,67.0,0.5249,0.4315,0.4084
HARLEM-EAST,34.0,21.0,97.0,86.0,0.2888,0.26,0.2527
EASTNEWYORK,89.0,195.0,108.0,115.5,0.6159,0.5148,0.5005
SPRINGCREEK,89.0,151.5,201.0,31.0,0.5734,0.4712,0.4789
EASTTREMONT,169.5,197.0,75.0,113.5,0.6735,0.5728,0.5091
