neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
WILLIAMSBURG-EAST,117.0,203.0,36.0,110.0,0.5655,0.4734,0.4319
MASPETH,117.0,167.0,173.0,183.0,0.7767,0.6721,0.643
NAVYYARD,117.0,186.5,160.0,185.0,0.787,0.6774,0.6483
WILLIAMSBURG-CENTRAL,117.0,201.0,138.0,69.0,0.6371,0.5262,0.509
WILLIAMSBURG-NORTH,117.0,124.5,12.0,58.5,0.3786,0.3212,0.2703
WILLIAMSBURG-SOUTH,117.0,179.0,28.0,81.0,0.4915,0.4101,0.3672
ELMHURST,14.5,129.5,182.0,27.5,0.429,0.3436,0.3854
EASTELMHURST,14.5,199.0,172.0,24.0,0.497,0.3868,0.437
FLATBUSH-CENTRAL,144.0,113.0,42.0,153.0,0.5485,0.488,0.4152
FLATBUSH-NORTH,144.0,189.0,31.0,151.0,0.625,0.5374,0.4734
FLATLANDS,155.0,140.0,92.0,20.0,0.4939,0.4127,0.3635
BERGENBEACH,155.0,121.0,120.0,37.0,0.5255,0.4462,0.3976
MILLBASIN,155.0,156.5,52.0,177.0,0.6559,0.5761,0.5024
OLDMILLBASIN,155.0,184.5,170.0,74.0,0.7081,0.5949,0.5603
FLUSHING-NORTH,14.5,103.5,47.0,141.5,0.372,0.3224,0.3209
BEECHHURST,14.5,54.0,111.0,120.0,0.3635,0.3206,0.327
COLLEGEPOINT,14.5,100.0,179.0,126.0,0.5091,0.4356,0.4607
FLUSHING-SOUTH,14.5,191.0,65.0,65.0,0.4072,0.3206,0.3441
FLUSHINGMEADOWPARK,14.5,90.0,64.0,44.0,0.2579,0.2102,0.2219
WHITESTONE,14.5,67.0,135.0,133.5,0.4248,0.3723,0.3835
FORDHAM,148.0,183.0,23.0,89.0,0.5376,0.4536,0.3926
CROTONAPARK,148.0,171.0,158.0,62.0,0.6541,0.5489,0.5153
FIELDSTON,148.0,32.0,91.0,51.0,0.3908,0.3516,0.287
FORESTHILLS,25.5,107.5,59.0,122.0,0.3811,0.3269,0.3247
BRIARWOOD,25.5,86.5,152.0,36.0,0.3641,0.3002,0.3232
MIDDLEVILLAGE,25.5,131.5,121.0,46.0,0.3932,0.318,0.3402
REGOPARK,25.5,169.5,193.0,162.0,0.6675,0.5639,0.5912
FORTGREENE,117.0,55.5,21.0,174.0,0.446,0.4132,0.3404
CLINTONHILL,117.0,88.5,20.0,127.0,0.4278,0.3826,0.3199
DOWNTOWN-FULTONMALL,117.0,28.0,8.0,79.0,0.2816,0.2618,0.1942
GERRITSENBEACH,137.0,110.5,177.0,56.0,0.5831,0.4981,0.4664
GREENPOINT,122.0,200.0,55.0,108.0,0.5886,0.4936,0.4529
GREENWICHVILLAGE-CENTRAL,67.5,14.0,35.0,3.0,0.145,0.1286,0.1003
GREENWICHVILLAGE-WEST,67.5,3.0,51.0,107.0,0.2773,0.2621,0.2226
HARLEM-UPPER,43.0,35.0,10.0,161.0,0.3022,0.2841,0.2481
HIGHBRIDGE/MORRISHEIGHTS,150.5,167.0,84.0,101.0,0.6098,0.5201,0.4657
HUNTSPOINT,129.0,140.0,39.0,50.0,0.4345,0.3651,0.3161
CASTLEHILL/UNIONPORT,129.0,117.0,57.0,105.0,0.4951,0.4311,0.3757
INWOOD,98.0,12.0,88.0,18.0,0.2621,0.2344,0.1976
JACKSONHEIGHTS,83.0,159.0,153.0,73.0,0.568,0.4724,0.4701
AIRPORTLAGUARDIA,83.0,169.5,192.0,6.0,0.5467,0.4397,0.4545
CORONA,83.0,173.0,137.0,145.0,0.6529,0.5551,0.543
JAMAICA,174.5,144.0,131.0,92.0,0.6572,0.5657,0.5052
HILLCREST,174.5,117.0,133.0,41.0,0.5649,0.4835,0.4257
JAMAICAESTATES,174.5,129.5,29.0,38.0,0.4502,0.3839,0.3083
JAMAICAHILLS,174.5,117.0,154.0,8.0,0.5504,0.4649,0.4151
KINGSBRIDGEHTS/UNIVHTS,54.0,161.0,63.0,129.0,0.4939,0.4167,0.4064
BRONX-UNKNOWN,43.0,174.0,198.0,109.0,0.6359,0.5286,0.5544
BATHGATE,43.0,181.5,24.0,118.0,0.4448,0.3679,0.3603
BAYCHESTER,43.0,124.5,156.0,123.0,0.5419,0.4615,0.4706
BRONXPARK,43.0,164.0,4.0,17.0,0.2767,0.2103,0.2087
PELHAMGARDENS,43.0,64.5,196.0,82.0,0.4678,0.4028,0.4161
LONGISLANDCITY,86.0,202.0,103.0,84.0,0.5765,0.4738,0.465
SUNNYSIDE,86.0,175.0,68.0,76.0,0.4915,0.4059,0.3876
WOODSIDE,86.0,177.5,93.0,155.0,0.6208,0.5294,0.5067
MORRISANIA/LONGWOOD,129.0,150.0,95.0,166.0,0.6553,0.5714,0.5205
LOWEREASTSIDE,102.5,11.0,60.0,42.0,0.2615,0.2393,0.1916
EASTRIVER,102.5,103.5,124.0,178.0,0.6165,0.5465,0.5076
EASTVILLAGE,102.5,15.0,49.0,139.0,0.3708,0.3491,0.288
LITTLEITALY,102.5,33.0,33.0,77.0,0.2979,0.2724,0.2184
HARLEM-WEST,43.0,63.0,74.0,43.0,0.2706,0.2296,0.224
MANHATTANVALLEY,43.0,24.0,69.0,144.0,0.3398,0.3146,0.2904
MORNINGSIDEHEIGHTS,43.0,62.0,195.0,48.0,0.4223,0.3585,0.3754
MIDTOWNCBD,60.5,25.0,22.0,2.0,0.1329,0.1152,0.0899
FASHION,60.5,9.0,101.0,99.0,0.3271,0.3004,0.2762
MANHATTAN-UNKNOWN,60.5,66.0,2.0,32.0,0.1948,0.1652,0.1382
COUNTRYCLUB,60.5,69.0,165.0,13.0,0.3732,0.3113,0.3181
MIDWOOD,144.0,145.0,104.0,63.0,0.5534,0.4687,0.4232
KENSINGTON,144.0,181.5,130.0,182.0,0.7737,0.67,0.6201
OCEANPARKWAY-SOUTH,144.0,162.5,98.0,21.0,0.5164,0.4261,0.387
MORRISPARK/VANNEST,43.0,72.0,48.0,53.0,0.2621,0.2226,0.2121
BRONXDALE,43.0,98.5,62.0,102.0,0.3708,0.3184,0.3084
CITYISLAND,43.0,91.5,143.0,27.5,0.3701,0.3049,0.3185
CITYISLAND-PELHAMSTRIP,43.0,186.5,1.0,23.0,0.3076,0.2332,0.2335
MOUNTHOPE/MOUNTEDEN,43.0,167.0,50.0,88.0,0.4223,0.346,0.345
SCHUYLERVILLE/PELHAMBAY,43.0,86.5,81.0,135.0,0.4193,0.3679,0.3558
MOTTHAVEN/PORTMORRIS,29.0,142.5,185.0,30.0,0.4691,0.3771,0.4132
OCEANHILL,74.5,96.5,80.0,113.5,0.4424,0.3853,0.36
OCEANPARKWAY-NORTH,94.0,107.5,174.0,136.0,0.6208,0.5402,0.5211
OZONEPARK,165.5,140.0,166.0,172.0,0.7809,0.6849,0.6257
CYPRESSHILLS,165.5,82.5,76.0,180.0,0.6117,0.5549,0.4694
PARKSLOPE,194.0,71.0,82.0,54.0,0.4867,0.4313,0.3451
PARKSLOPESOUTH,194.0,180.0,99.0,104.0,0.7002,0.5999,0.5262
PROSPECTHEIGHTS,194.0,101.5,180.0,58.5,0.6481,0.5623,0.4986
PARKCHESTER,160.0,48.0,134.0,98.0,0.534,0.4797,0.4133
WESTCHESTER,160.0,53.0,157.0,103.0,0.574,0.5134,0.4516
PELHAMPARKWAYNORTH,43.0,91.5,171.0,150.0,0.5528,0.4822,0.4863
QUEENSVILLAGE,129.0,133.5,144.0,26.0,0.5249,0.4379,0.411
BELLEROSE,129.0,79.0,178.0,131.0,0.6274,0.5548,0.5141
FLORALPARK,129.0,68.0,161.0,85.0,0.5376,0.4725,0.4325
FRESHMEADOWS,129.0,59.5,105.0,130.0,0.514,0.4628,0.4055
GLENOAKS,129.0,196.0,41.0,165.0,0.6444,0.5532,0.4985
HOLLIS,129.0,120.0,176.0,5.0,0.5218,0.4339,0.4138
HOLLISHILLS,129.0,85.0,72.0,66.0,0.4272,0.3726,0.3203
HOLLISWOOD,129.0,44.5,87.0,19.0,0.3392,0.2972,0.2478
QUEENS-UNKNOWN,129.0,148.5,124.0,156.0,0.6766,0.5877,0.5433
RICHMONDHILL,203.0,135.5,155.0,143.0,0.7725,0.6779,0.599
KEWGARDENS,203.0,138.0,106.0,147.5,0.7215,0.6353,0.5469
WOODHAVEN,203.0,184.5,146.0,22.0,0.6742,0.5625,0.5035
RIDGEWOOD,79.5,159.0,77.0,97.0,0.5006,0.4198,0.402
GLENDALE,79.5,148.5,128.0,64.0,0.5097,0.4232,0.4177
RIVERDALE,54.0,43.0,67.0,57.0,0.2682,0.2354,0.2181
VANCORTLANDTPARK,54.0,37.0,7.0,33.0,0.159,0.14,0.1132
SHEEPSHEADBAY,137.0,154.5,150.0,61.0,0.6098,0.5131,0.4818
MARINEPARK,137.0,128.0,83.0,93.0,0.5352,0.4615,0.4097
SOHO,67.5,18.0,38.0,173.0,0.3598,0.3413,0.2935
SOUNDVIEW,160.0,159.0,187.0,181.0,0.8337,0.7268,0.6761
ALPHABETCITY,21.0,23.0,147.0,90.0,0.341,0.3027,0.3118
KIPSBAY,21.0,13.0,3.0,121.0,0.1917,0.1848,0.1612
GRAMERCY,21.0,8.0,18.0,149.0,0.2379,0.23,0.2051
MURRAYHILL,21.0,19.0,19.0,140.0,0.2415,0.2292,0.2072
SUNSETPARK,72.0,113.0,96.0,147.5,0.52,0.4537,0.431
BUSHTERMINAL,72.0,194.0,6.0,186.0,0.5558,0.4757,0.4425
THROGSNECK,77.0,73.5,181.0,164.0,0.6013,0.5336,0.5169
TRIBECA,60.5,205.0,114.0,125.0,0.6123,0.508,0.5106
CIVICCENTER,60.5,208.0,164.0,169.0,0.73,0.615,0.6223
MIDTOWNEAST,21.0,34.0,66.0,154.0,0.3337,0.3067,0.2941
UPPEREASTSIDE(59-79),2.5,10.0,53.0,1.0,0.0807,0.0666,0.0766
UPPEREASTSIDE(79-96),2.5,7.0,79.0,95.0,0.2227,0.2047,0.2079
UPPEREASTSIDE(96-110),2.5,4.0,118.0,49.0,0.2106,0.1863,0.2021
ROOSEVELTISLAND,2.5,75.5,124.0,170.0,0.4515,0.3986,0.411
UPPERWESTSIDE(59-79),67.5,5.5,90.0,60.0,0.2706,0.247,0.2211
UPPERWESTSIDE(79-96),67.5,42.0,54.0,138.0,0.3659,0.3351,0.298
UPPERWESTSIDE(96-116),67.5,1.0,188.0,175.0,0.5237,0.4829,0.4612
WAKEFIELD,32.0,151.5,132.0,35.0,0.4254,0.34,0.3649
WOODLAWN,32.0,82.5,113.0,141.5,0.4478,0.3925,0.3912
WASHINGTONHEIGHTSLOWER,99.0,44.5,30.0,152.0,0.395,0.3659,0.3057
WASHINGTONHEIGHTSUPPER,30.0,29.0,32.0,78.0,0.2051,0.1859,0.1704
MIDTOWNWEST,28.0,5.5,27.0,119.0,0.2178,0.2088,0.1851
WILLIAMSBRIDGE,32.0,124.5,140.0,124.0,0.5103,0.4337,0.4456
WINDSORTERRACE,72.0,162.5,119.0,4.0,0.4339,0.3442,0.3502
FLATBUSH-LEFFERTSGARDEN,109.0,198.0,34.0,34.0,0.4551,0.3657,0.3368
JAMAICABAY,186.5,115.0,199.0,14.0,0.6244,0.5303,0.4816
KINGSBRIDGE/JEROMEPARK,54.0,57.0,15.0,80.0,0.25,0.2218,0.1937
PELHAMPARKWAYSOUTH,54.0,52.0,109.0,52.0,0.324,0.2798,0.2723
