,Neighborhood,NEIGHBORHOOD,current_status,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
144,Ozonepark,ROSEDALE,1183.0,-0.042,-0.091,-0.049,-0.065,-0.023
145,Ozonepark,SO.JAMAICA-BAISLEYPARK,1183.0,-0.042,-0.091,-0.049,-0.065,-0.023
146,Ozonepark,SOUTHJAMAICA,1183.0,-0.042,-0.091,-0.049,-0.065,-0.023
147,Ozonepark,SOUTHOZONEPARK,1183.0,-0.042,-0.091,-0.049,-0.065,-0.023
148,ParkSlope,PARKSLOPE,864.0,0.042,-0.037,-0.079,-0.03,-0.072
149,ParkSlope,PARKSLOPESOUTH,864.0,0.042,-0.037,-0.079,-0.03,-0.072
150,ParkSlope,PROSPECTHEIGHTS,864.0,0.042,-0.037,-0.079,-0.03,-0.072
151,Parkchester,PARKCHESTER,1940.0,-0.033,-0.079,-0.046,-0.047,-0.014
152,Parkchester,WESTCHESTER,1940.0,-0.033,-0.079,-0.046,-0.047,-0.014
153,PelhamBay,PELHAMBAY,1178.0,-0.028,-0.016,0.012,0.014,0.042
154,PelhamParkway,PELHAMPARKWAYNORTH,1220.0,-0.036,-0.006,0.03,0.015,0.051
155,PortMorris,MOTTHAVEN/PORTMORRIS,2344.0,0.003,0.038,0.035,0.053,0.05
156,QueensVillage,QUEENSVILLAGE,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
157,QueensVillage,BELLEROSE,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
158,QueensVillage,CAMBRIAHEIGHTS,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
159,QueensVillage,FLORALPARK,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
160,QueensVillage,FRESHMEADOWS,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
161,QueensVillage,GLENOAKS,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
162,QueensVillage,HOLLIS,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
163,QueensVillage,HOLLISHILLS,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
164,QueensVillage,HOLLISWOOD,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
165,QueensVillage,QUEENS-UNKNOWN,1654.0,-0.03,-0.052,-0.022,-0.026,0.004
166,RichmondHill,RICHMONDHILL,1183.0,0.015,-0.091,-0.106,-0.065,-0.08
167,RichmondHill,KEWGARDENS,1183.0,0.015,-0.091,-0.106,-0.065,-0.08
168,RichmondHill,WOODHAVEN,1183.0,0.015,-0.091,-0.106,-0.065,-0.08
169,Ridgewood,RIDGEWOOD,1195.0,-0.05,-0.039,0.011,-0.056,-0.006
170,Ridgewood,GLENDALE,1195.0,-0.05,-0.039,0.011,-0.056,-0.006
171,Riverdale,RIVERDALE,939.0,-0.033,-0.004,0.029,-0.004,0.029
172,Riverdale,VANCORTLANDTPARK,939.0,-0.033,-0.004,0.029,-0.004,0.029
173,SheepsheadBay,SHEEPSHEADBAY,1163.0,-0.049,-0.072,-0.023,-0.064,-0.015
174,SheepsheadBay,MARINEPARK,1163.0,-0.049,-0.072,-0.023,-0.064,-0.015
175,Soho,SOHO,1517.0,-0.023,0.001,0.024,-0.021,0.002
176,Soundview,SOUNDVIEW,1940.0,-0.033,-0.079,-0.046,-0.047,-0.014
177,StuyvesantTown,ALPHABETCITY,1021.0,-0.029,0.012,0.041,0.002,0.031
178,StuyvesantTown,KIPSBAY,1021.0,-0.029,0.012,0.041,0.002,0.031
179,StuyvesantTown,GRAMERCY,1021.0,-0.029,0.012,0.041,0.002,0.031
180,StuyvesantTown,MURRAYHILL,1021.0,-0.029,0.012,0.041,0.002,0.031
181,SunsetPark,SUNSETPARK,1126.0,-0.034,-0.011,0.023,-0.013,0.021
182,SunsetPark,BUSHTERMINAL,1126.0,-0.034,-0.011,0.023,-0.013,0.021
183,ThrogsNeck,THROGSNECK,1178.0,-0.028,-0.016,0.012,0.014,0.042
184,Tribeca,TRIBECA,1356.0,-0.048,-0.021,0.027,-0.003,0.045
185,Tribeca,CIVICCENTER,1356.0,-0.048,-0.021,0.027,-0.003,0.045
186,TurtleBay,MIDTOWNEAST,1021.0,-0.029,0.012,0.041,0.002,0.031
187,UniversityHeights,FORDHAM,1692.0,-0.029,-0.024,0.005,0.004,0.033
188,UpperEastSide,UPPEREASTSIDE(59-79),2063.0,-0.036,0.027,0.063,0.001,0.037
189,UpperEastSide,UPPEREASTSIDE(79-96),2063.0,-0.036,0.027,0.063,0.001,0.037
190,UpperEastSide,UPPEREASTSIDE(96-110),2063.0,-0.036,0.027,0.063,0.001,0.037
191,UpperEastSide,ROOSEVELTISLAND,2063.0,-0.036,0.027,0.063,0.001,0.037
192,UpperWestSide,UPPERWESTSIDE(59-79),1074.0,-0.005,0.019,0.024,0.011,0.016
193,UpperWestSide,UPPERWESTSIDE(79-96),1074.0,-0.005,0.019,0.024,0.011,0.016
194,UpperWestSide,UPPERWESTSIDE(96-116),1074.0,-0.005,0.019,0.024,0.011,0.016
195,Wakefield,WAKEFIELD,2131.0,-0.015,0.017,0.032,0.001,0.016
196,Wakefield,WOODLAWN,2131.0,-0.015,0.017,0.032,0.001,0.016
197,WashingtonHeigh.,WASHINGTONHEIGHTSLOWER,708.0,-0.032,-0.041,-0.009,-0.05,-0.018
198,WashingtonHeights,WASHINGTONHEIGHTSUPPER,1377.0,-0.018,0.016,0.034,0.036,0.054
199,WestOde,MIDTOWNWEST,923.0,-0.031,0.021,0.052,-0.008,0.023
200,WestSide,MIDTOWNWEST,1074.0,-0.018,0.019,0.037,0.011,0.029
201,Williamsbridge,WILLIAMSBRIDGE,2131.0,-0.015,0.017,0.032,0.001,0.016
202,WindsorTerrace,WINDSORTERRACE,1126.0,-0.034,-0.011,0.023,-0.013,0.021
203,Wingate,FLATBUSH-LEFFERTSGARDEN,1224.0,-0.048,-0.064,-0.016,-0.056,-0.008
204,RockawayBeach,ARVERNE,403.0,-0.003,-0.069,-0.066,-0.062,-0.059
205,RockawayBeach,BELLEHARBOR,403.0,-0.003,-0.069,-0.066,-0.062,-0.059
206,RockawayBeach,BREEZYPOINT,403.0,-0.003,-0.069,-0.066,-0.062,-0.059
207,RockawayBeach,BROADCHANNEL,403.0,-0.003,-0.069,-0.066,-0.062,-0.059
208,RockawayBeach,HAMMELS,403.0,-0.003,-0.069,-0.066,-0.062,-0.059
209,RockawayBeach,JAMAICABAY,403.0,-0.003,-0.069,-0.066,-0.062,-0.059
210,RockawayBeach,NEPONSIT,403.0,-0.003,-0.069,-0.066,-0.062,-0.059
211,RockawayBeach,ROCKAWAYPARK,403.0,-0.003,-0.069,-0.066,-0.062,-0.059
