neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
THROGSNECK,85.5,53.5,47.0,76.0,0.318,0.283,1.2706
TRIBECA,178.0,130.0,164.0,53.0,0.6371,0.5445,4.0737
CIVICCENTER,178.0,110.0,174.0,2.0,0.5631,0.4762,4.2291
MIDTOWNEAST,92.0,71.5,30.0,44.0,0.2882,0.2492,0.865
UPPEREASTSIDE(59-79),133.5,163.0,74.5,187.0,0.6772,0.5919,2.1613
UPPEREASTSIDE(79-96),133.5,164.0,46.0,67.0,0.4982,0.418,1.3741
UPPEREASTSIDE(96-110),133.5,166.0,101.0,129.0,0.6426,0.5511,2.712
ROOSEVELTISLAND,133.5,159.0,1.0,57.0,0.4254,0.3557,0.3207
UPPERWESTSIDE(59-79),41.0,126.5,92.0,102.0,0.4387,0.37,2.3805
UPPERWESTSIDE(79-96),41.0,13.5,80.0,38.0,0.2093,0.1862,1.9242
UPPERWESTSIDE(96-116),41.0,207.0,138.0,29.0,0.5036,0.3952,3.4396
WAKEFIELD,55.0,24.0,49.5,139.0,0.3246,0.3024,1.3499
WOODLAWN,55.0,56.5,60.5,80.0,0.3058,0.2691,1.5706
WASHINGTONHEIGHTSLOWER,113.0,143.0,142.0,17.0,0.5036,0.4144,3.5002
WASHINGTONHEIGHTSUPPER,65.0,172.0,118.0,94.0,0.5449,0.4522,3.03
MIDTOWNWEST,65.0,3.0,166.0,55.0,0.3507,0.3136,3.9301
WILLIAMSBRIDGE,55.0,17.0,51.0,78.0,0.2439,0.2241,1.311
WINDSORTERRACE,123.5,153.0,56.0,184.0,0.6268,0.5496,1.7157
FLATBUSH-LEFFERTSGARDEN,178.0,137.0,122.0,157.0,0.7209,0.6336,3.2256
JAMAICABAY,35.5,78.5,184.0,178.0,0.5777,0.5101,4.5349
KINGSBRIDGE/JEROMEPARK,117.5,61.0,144.0,73.0,0.48,0.4215,3.5306
PELHAMPARKWAYSOUTH,117.5,52.0,183.0,72.0,0.5152,0.4527,4.4201
