neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,48.5,150.0,72.0,118.0,0.4715,0.3971,1.9641
BATHBEACH,132.0,108.5,110.0,40.0,0.4739,0.4028,2.7655
GRAVESEND,132.0,63.5,103.0,80.0,0.4593,0.4068,2.6041
FINANCIAL,16.5,206.0,8.0,176.0,0.4933,0.4118,0.5867
SOUTHBRIDGE,16.5,2.0,186.0,122.0,0.3962,0.3588,4.434
BAYRIDGE,76.0,146.0,159.0,59.0,0.534,0.4427,3.9186
BAYSIDE,116.5,29.0,120.0,107.0,0.4521,0.4105,2.9827
DOUGLASTON,116.5,111.5,62.0,164.0,0.551,0.4889,1.7877
LITTLENECK,116.5,100.0,129.0,26.0,0.4508,0.3804,3.1707
OAKLANDGARDENS,116.5,84.0,100.0,14.0,0.3817,0.3229,2.4734
BEDFORDPARK/NORWOOD,72.0,57.5,150.0,144.0,0.514,0.4586,3.7155
BEDFORDSTUYVESANT,157.0,189.0,69.0,157.0,0.6942,0.5985,2.0413
BELMONT,145.5,48.5,48.0,94.0,0.4078,0.3707,1.3448
BENSONHURST,132.0,96.5,78.0,82.0,0.4715,0.4111,2.0619
BOROUGHPARK,76.0,137.5,115.0,10.0,0.4108,0.3312,2.8422
BRIGHTONBEACH,157.0,118.0,101.0,110.0,0.5898,0.5152,2.6589
MANHATTANBEACH,157.0,16.0,154.0,126.0,0.5498,0.5041,3.7994
SEAGATE,157.0,23.5,198.0,93.0,0.5722,0.5152,4.7852
BROOKLYNHEIGHTS,24.5,142.5,93.0,71.0,0.4017,0.3277,2.3752
BROOKLYN-UNKNOWN,24.5,159.0,201.0,22.0,0.4933,0.3923,4.828
COBBLEHILL,24.5,132.0,167.0,147.0,0.571,0.4868,4.1543
COBBLEHILL-WEST,24.5,140.5,23.0,180.0,0.4466,0.3868,0.8782
DOWNTOWN-FULTONFERRY,24.5,106.0,63.0,61.0,0.3089,0.2546,1.6371
DOWNTOWN-METROTECH,24.5,25.5,14.0,154.0,0.2646,0.2505,0.5306
