neighborhood,crime_rank,income_rank,avg_sales_rank,cum_development_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
PELHAMPARKWAYNORTH,91.5,22.0,30.0,21.0,0.1996,0.1796,0.7916
QUEENSVILLAGE,40.5,49.0,118.0,16.0,0.2712,0.2273,2.8105
BELLEROSE,40.5,114.0,51.0,22.0,0.2761,0.22,1.3353
FLORALPARK,40.5,141.0,47.0,27.0,0.3101,0.2444,1.2747
FRESHMEADOWS,40.5,119.0,45.0,40.0,0.2967,0.2399,1.2214
GLENOAKS,40.5,151.0,73.0,25.0,0.3513,0.2769,1.8817
HOLLIS,40.5,54.0,100.0,14.0,0.253,0.2106,2.3981
HOLLISHILLS,40.5,89.0,22.0,15.0,0.2021,0.1612,0.6346
HOLLISWOOD,40.5,58.0,33.0,6.0,0.1669,0.1357,0.8484
QUEENS-UNKNOWN,40.5,56.0,1.0,32.0,0.1572,0.1329,0.137
RICHMONDHILL,106.0,46.0,152.0,94.0,0.483,0.4295,3.7165
KEWGARDENS,106.0,69.0,77.0,44.0,0.3592,0.3113,1.9549
WOODHAVEN,106.0,27.0,102.0,28.0,0.3192,0.2825,2.4731
RIDGEWOOD,100.5,96.0,128.0,115.0,0.5334,0.4656,3.2312
GLENDALE,100.5,93.0,97.0,63.0,0.429,0.3684,2.4567
RIVERDALE,158.0,132.0,133.0,113.0,0.6505,0.5643,3.4142
VANCORTLANDTPARK,158.0,157.0,2.0,1.0,0.3859,0.3153,0.2955
SHEEPSHEADBAY,115.0,100.0,155.0,97.0,0.5667,0.4914,3.8468
MARINEPARK,115.0,130.0,83.0,41.0,0.4478,0.3747,2.1546
SOHO,49.0,203.0,187.0,178.0,0.7488,0.632,4.7331
SOUNDVIEW,23.0,9.0,120.0,98.0,0.3034,0.2755,2.8967
ALPHABETCITY,140.0,175.0,126.0,105.0,0.6626,0.5625,3.2749
KIPSBAY,140.0,174.0,189.0,174.0,0.8216,0.7098,4.8019
GRAMERCY,140.0,193.0,181.0,163.0,0.8216,0.704,4.6239
MURRAYHILL,140.0,186.0,186.0,172.0,0.8301,0.7142,4.7422
SUNSETPARK,125.0,121.0,161.0,143.0,0.6675,0.5823,4.0619
BUSHTERMINAL,125.0,66.0,41.0,118.0,0.4248,0.3836,1.2142
THROGSNECK,112.0,25.0,71.0,34.0,0.2937,0.2633,1.7665
TRIBECA,64.5,208.0,192.0,182.0,0.7846,0.664,4.8671
CIVICCENTER,64.5,206.0,177.0,157.0,0.7336,0.6166,4.4919
MIDTOWNEAST,140.0,196.0,195.0,176.0,0.858,0.7366,4.9638
UPPEREASTSIDE(59-79),17.5,204.0,201.0,185.0,0.7373,0.6194,5.0454
UPPEREASTSIDE(79-96),17.5,189.0,198.0,179.0,0.7081,0.5966,4.9552
UPPEREASTSIDE(96-110),17.5,190.0,89.0,142.0,0.5322,0.4412,2.4024
ROOSEVELTISLAND,17.5,160.0,25.0,61.0,0.3198,0.2526,0.809
UPPERWESTSIDE(59-79),134.5,198.0,199.0,177.0,0.8598,0.7372,5.0558
