BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,110, ,C0, 453 EAST 181 STREET                       ,            ,10457,3,0,3,1687,4050,2006, 1 , C0 ,602500,4/29/2009
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3044,51, ,C0, 1966 BATHGATE AVENUE                      ,            ,10457,3,0,3,2880,3132,1910, 1 , C0 ,101400,12/16/2009
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3044,51, ,C0, 1964 BATHGATE AVENUE                      ,            ,10457,3,0,3,2880,3132,1910, 1 , C0 ,0,2/23/2009
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3050,3, ,C0, 2190 WASHINGTON AVENUE                    ,            ,10457,3,0,3,1331,2244,1901, 1 , C0 ,178500,7/7/2009
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3050,12, ,V0, 2246 WASHINGTON AVENUE                    ,            ,10457,0,0,0,2901,0,0, 1 , V0 ,0,9/30/2009
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3050,13, ,V0, 2250 WASHINGTON AVENUE                    ,            ,10457,0,0,0,2668,0,0, 1 , V0 ,0,9/30/2009
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3050,15, ,V0, 2254 WASHINGTON AVENUE                    ,            ,10457,0,0,0,2673,0,0, 1 , V0 ,0,9/30/2009
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,2,3050,41, ,D1, 491 FLETCHER PLACE                        ,            ,10457,0,0,0,1637,0,0, 1 , V0 ,0,9/30/2009
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3027,29, ,C1, 422 EAST 178TH STREET                     ,            ,10457,16,0,16,3344,11918,1909, 2 , C1 ,1315000,8/26/2009
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3028,27, ,C7, 4305 PARK AVENUE                          ,            ,10457,24,1,25,5568,16680,1909, 2 , C7 ,0,8/26/2009
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3028,29, ,C1, 4301 PARK AVENUE                          ,            ,10457,24,0,24,5189,15300,1909, 2 , C1 ,0,8/26/2009
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3028,34, ,C1, 4293 PARK AVENUE                          ,            ,10457,20,0,20,6045,15512,1909, 2 , C1 ,0,8/26/2009
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3028,44, ,C1, 4289 PARK AVENUE                          ,            ,10457,22,0,22,6098,16728,1908, 2 , C1 ,6885000,8/26/2009
