BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,94, ,B2, 2240 BASSFORD AVENUE                      ,            ,10457,2,0,2,1300,2300,1901, 1 , B2 ,262600,8/8/2008
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,1, ,B1, 501 EAST 183 STREET                       ,            ,10458,2,0,2,1400,2844,1931, 1 , B1 ,430214,3/27/2008
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,2, ,B1, 503 EAST 183RD STREET                     ,            ,10458,2,0,2,1440,2970,1931, 1 , B1 ,425696,10/8/2008
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,2900,27, ,C0, 4147 PARK AVENUE                          ,            ,10457,3,0,3,2000,2160,1901, 1 , C0 ,230000,2/29/2008
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3039,33, ,C0, 465 EAST 184 STREET                       ,            ,10458,3,0,3,3325,3240,1925, 1 , C0 ,0,3/20/2008
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3039,61, ,C0, 2355 WASHINGTON AVENUE                    ,            ,10458,3,0,3,1638,4320,2007, 1 , C0 ,650000,10/31/2008
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3039,161, ,C0, 2353 WASHINGTON AVENUE                    ,            ,10458,3,0,3,1638,4320,2007, 1 , C0 ,660000,11/14/2008
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3040,13, ,C0, 458 EAST 187 STREET                       ,            ,10458,3,0,3,1650,1776,1910, 1 , C0 ,525000,6/27/2008
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3043,46, ,C0, 1904 BATHGATE AVENUE                      ,            ,10457,3,0,3,2115,3120,1910, 1 , C0 ,530000,2/27/2008
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3044,56, ,C0, 1976 BATHGATE AVENUE                      ,            ,10457,3,0,3,1493,2430,1931, 1 , C0 ,427779,3/31/2008
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3048,7, ,C0, 2168 BATHGATE AVENUE                      ,            ,10457,3,0,3,7000,2812,1901, 1 , C0 ,10,12/3/2008
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3036,35, ,V0, 2087 WASHINGTON AVENUE                    ,            ,10457,0,0,0,2099,0,0, 1 , V0 ,79000,11/18/2008
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3050,76, ,V0, BATHGATE AVENUE                           ,            ,10457,0,0,0,4088,0,0, 1 , V0 ,435000,10/2/2008
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3050,76, ,V0, BATHGATE AVENUE                           ,            ,10457,0,0,0,4088,0,0, 1 , V0 ,310000,2/11/2008
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2A,2924,1, ,C4, 501 EAST 176TH STREET                     ,            ,10457,6,0,6,1831,6468,1931, 2 , C4 ,0,3/28/2008
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3031,46, ,C1, 414 EAST 187 STREET                       ,            ,10458,8,0,8,3577,8490,1909, 2 , C1 ,0,7/21/2008
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,7, ,C1, 2422 WEBSTER AVENUE                       ,            ,10458,8,0,8,4503,9310,1909, 2 , C1 ,787950,9/9/2008
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,53, ,C1, 4687 PARK AVENUE                          ,            ,10458,8,0,8,4025,9600,1910, 2 , C1 ,915000,2/15/2008
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3048,30, ,C1, 546 EAST 182 STREET                       ,            ,10457,25,0,25,4271,21200,1913, 2 , C1 ,2450000,4/2/2008
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 5-E                ",            ,10457,0,0,0,0,0,1941, 2 , D4 ,15000,5/3/2008
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 6-C                ",            ,10457,0,0,0,0,0,1941, 2 , D4 ,12149,9/19/2008
2,BATHGATE                 ,21  OFFICE BUILDINGS                        ,4,3048,46, ,O9, 4419 3 AVENUE                             ,            ,10457,0,1,1,11327,29509,1911, 4 , O9 ,1922000,12/4/2008
