BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,19, ,A1, 4 EDWIN STREET                            ,            ,10312,1,0,1,7258,2230,1980, 1 , A1 ,810000,1/5/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,27, ,A1, 531 SYCAMORE STREET                       ,            ,10312,1,0,1,10000,3016,1980, 1 , A1 ,930000,11/18/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5399,9, ,A2, 18 SANDBORN STREET                        ,            ,10312,1,0,1,4750,1716,1960, 1 , A2 ,425880,2/24/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5399,31, ,A2, 243 KOCH BOULEVARD                        ,            ,10312,1,0,1,5040,2102,1960, 1 , A2 ,0,6/16/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,44, ,A1, 37 JANSEN STREET                          ,            ,10312,1,0,1,9400,3344,1980, 1 , A1 ,940000,5/20/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,43, ,A1, 111 LENZIE STREET                         ,            ,10312,1,0,1,6200,4280,1998, 1 , A1 ,0,10/7/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,45, ,A1, 391 HAROLD AVENUE                         ,            ,10312,1,0,1,3069,2862,2004, 1 , A1 ,640000,3/3/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5425,19, ,A1, 9 SANDGAP STREET                          ,            ,10312,1,0,1,2500,1779,1950, 1 , A1 ,425000,2/19/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5425,53, ,A1, 467 HAROLD AVENUE                         ,            ,10312,1,0,1,2844,2160,1997, 1 , A1 ,0,6/13/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,23, ,A5, 81 EAGAN AVENUE                           ,            ,10312,1,0,1,1546,1579,1986, 1 , A5 ,40000,8/17/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,54, ,A5, 40 SEGUINE PLACE                          ,            ,10312,1,0,1,2023,1068,1986, 1 , A5 ,0,6/18/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,126, ,A5, 20 MAY PLACE                              ,            ,10312,1,0,1,2475,2495,1986, 1 , A5 ,0,10/21/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,47, ,A5, 42 LUCY LOOP                              ,            ,10312,1,0,1,2700,2200,2000, 1 , A5 ,455000,8/21/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,21, ,A5, 55 ENDVIEW STREET                         ,            ,10312,1,0,1,1759,2285,2004, 1 , A5 ,0,7/15/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,23, ,A5, 51 ENDVIEW STREET                         ,            ,10312,1,0,1,1567,2285,2004, 1 , A5 ,445000,11/13/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,4, ,A5, 67 BARB STREET                            ,            ,10312,1,0,1,1585,1661,2004, 1 , A5 ,424000,8/27/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6226,136, ,A1, 941 CARLTON BOULEVARD                     ,            ,10312,1,0,1,4785,944,1910, 1 , A1 ,0,3/24/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6228,17, ,A1, 174 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,4000,1140,1925, 1 , A1 ,0,6/29/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6228,25, ,A0, 158 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,4000,938,1950, 1 , A0 ,335000,3/16/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6228,67, ,A1, 159 DETROIT AVENUE                        ,            ,10312,1,0,1,4000,1584,1940, 1 , A1 ,0,3/16/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6232,62, ,A2, 974 DRUMGOOLE ROAD WEST                   ,            ,10312,1,0,1,3590,984,1960, 1 , A2 ,399400,10/15/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6233,64, ,A2, 151 RATHBUN AVENUE                        ,            ,10312,1,0,1,4000,1092,1960, 1 , A2 ,0,9/19/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6234,45, ,A2, 578 ARDEN AVENUE                          ,            ,10312,1,0,1,4200,1290,1935, 1 , A2 ,403000,7/20/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6236,10, ,A5, 385 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,3000,2575,2000, 1 , A5 ,0,11/13/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6236,72, ,A2, 153 SINCLAIR AVENUE                       ,            ,10312,1,0,1,10000,3280,1975, 1 , A2 ,0,12/31/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6238,27, ,A1, 234 CROWN AVENUE                          ,            ,10312,1,0,1,4000,2120,1975, 1 , A1 ,575000,8/6/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6240,49, ,A1, 4905 AMBOY ROAD                           ,            ,10312,1,0,1,6850,1300,1940, 1 , A1 ,0,10/8/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6240,49, ,A1, 4905 AMBOY ROAD                           ,            ,10312,1,0,1,6850,1300,1940, 1 , A1 ,436000,1/22/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6243,40, ,A1, 112 BARCLAY AVENUE                        ,            ,10312,1,0,1,6000,2147,1950, 1 , A2 ,0,3/11/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,4, ,A2, 4975 AMBOY ROAD                           ,            ,10312,1,0,1,6030,1431,1960, 1 , A2 ,385000,10/5/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,21, ,A2, 5005 AMBOY ROAD                           ,            ,10312,1,0,1,12150,1390,1960, 1 , A2 ,0,4/1/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,21, ,A2, 5005 AMBOY ROAD                           ,            ,10312,1,0,1,12150,1390,1960, 1 , A2 ,0,3/31/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,154, ,A2, 40 HILLIS STREET                          ,            ,10312,1,0,1,6540,1608,1970, 1 , A2 ,0,6/9/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,233, ,A2, 18 PINE TERRACE                           ,            ,10312,1,0,1,4500,1512,1960, 1 , A2 ,0,11/27/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,145, ,A1, 22 ELY AVENUE                             ,            ,10312,1,0,1,5203,2400,1965, 1 , A1 ,565000,1/12/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,147, ,A1, 18 ELY AVENUE                             ,            ,10312,1,0,1,4240,2400,1965, 1 , A1 ,500000,8/31/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,174, ,A1, 59 ELY COURT                              ,            ,10312,1,0,1,14218,3588,1994, 1 , A1 ,790000,8/17/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,290, ,A2, 960 ANNADALE ROAD                         ,            ,10312,1,0,1,4928,1912,1965, 1 , A2 ,0,10/29/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,518, ,A1, 20 EAST TENAFLY AVENUE                    ,            ,10312,1,0,1,3854,1638,1975, 1 , A1 ,0,10/9/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,604, ,B2, 80 BENNETT AVENUE                         ,            ,10312,2,0,2,3912,2170,2010, 1 , A1 ,0,10/7/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,604, ,B2, 80 BENNETT AVENUE                         ,            ,10312,2,0,2,3912,2170,2010, 1 , A1 ,0,8/31/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1B,6257,15, ,V0, 22 JEFFERSON BOULEVARD                    ,            ,10312,0,0,0,4800,0,0, 1 , A1 ,600000,3/11/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6257,17, ,S1, 18 JEFFERSON BOULEVARD                    ,            ,10312,1,1,2,2400,1680,1925, 1 , S1 ,445000,3/26/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6260,8, ,A1, 254 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,8000,2399,2010, 1 , A1 ,700000,5/14/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6260,68, ,A1, 259 DETROIT AVENUE                        ,            ,10312,1,0,1,4000,3005,1990, 1 , A1 ,255000,5/1/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6268,51, ,A1, 195 SINCLAIR AVENUE                       ,            ,10312,1,0,1,4000,2600,1998, 1 , A1 ,650000,6/29/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6272,13, ,B2, 25 HOLCOMB AVENUE                         ,            ,10312,2,0,2,8000,2386,1975, 1 , A2 ,300000,4/16/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6279,174, ,A1, 134 ALBEE AVENUE                          ,            ,10312,1,0,1,5100,2093,1975, 1 , A1 ,586000,2/18/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6296,46, ,A1, 501 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,6765,2325,1991, 1 , A1 ,530000,7/24/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6297,49, ,A2, 467 IONIA AVENUE                          ,            ,10312,1,0,1,4000,1125,1970, 1 , A2 ,420000,11/9/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6297,68, ,A2, 293 DELMAR AVENUE                         ,            ,10312,1,0,1,4000,1269,1955, 1 , A2 ,425000,2/24/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6298,13, ,A2, 100 RAMONA AVENUE                         ,            ,10312,1,0,1,4000,1890,1975, 1 , A2 ,463000,4/23/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6299,28, ,A2, 156 HEENAN AVENUE                         ,            ,10312,1,0,1,6000,1968,1975, 1 , A2 ,527000,11/9/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6300,63, ,A1, 441 RATHBUN AVENUE                        ,            ,10312,1,0,1,4000,2083,1970, 1 , A1 ,464000,8/26/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6301,68, ,A1, 195 DELMAR AVENUE                         ,            ,10312,1,0,1,6000,1968,1970, 1 , A1 ,575000,2/25/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6304,19, ,A1, 394 VINELAND AVENUE                       ,            ,10312,1,0,1,8500,4200,1992, 1 , A3 ,800000,2/17/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6305,145, ,A1, 406 CROWN AVENUE                          ,            ,10312,1,0,1,10000,3120,1985, 1 , A1 ,0,6/18/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6320,28, ,A1, 145 DOWNES AVENUE                         ,            ,10312,1,0,1,4000,3521,1965, 1 , A1 ,490000,4/7/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6320,67, ,A2, 70 BUFFINGTON AVENUE                      ,            ,10312,1,0,1,4000,1125,1965, 1 , A2 ,0,1/31/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6321,45, ,A1, 5245 AMBOY ROAD                           ,            ,10312,1,0,1,4100,1460,1925, 1 , A1 ,0,5/23/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6323,19, ,A1, 5175 AMBOY ROAD                           ,            ,10312,1,0,1,6256,1934,1920, 1 , A1 ,208000,6/16/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6356,1, ,S1, 4727 HYLAN BOULEVARD                      ,            ,10312,1,1,2,5880,2400,1931, 1 , S1 ,0,5/18/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6357,40, ,A1, 24 BENNETT PLACE                          ,            ,10312,1,0,1,12000,7620,1985, 1 , A1 ,0,12/3/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6361,67, ,A1, 170 NOEL STREET                           ,            ,10312,1,0,1,12880,3784,1980, 1 , A1 ,850000,1/29/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6364,5, ,A1, 565 BARCLAY AVENUE                        ,            ,10312,1,0,1,7000,3774,1975, 1 , A1 ,0,3/23/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6364,20, ,A1, 230 NOEL STREET                           ,            ,10312,1,0,1,5100,5995,1980, 1 , A1 ,0,9/14/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6368,49, ,A1, 77 WEAVER STREET                          ,            ,10312,1,0,1,6000,2467,1975, 1 , A1 ,0,10/15/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6370,12, ,A1, 158 WEAVER STREET                         ,            ,10312,1,0,1,6000,3087,1975, 1 , A1 ,34000,9/21/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6377,1, ,A1, 159 SANDBORN STREET                       ,            ,10312,1,0,1,6300,3150,1980, 1 , A1 ,0,11/18/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6378,27, ,A1, 118 TALLMAN STREET                        ,            ,10312,1,0,1,4000,2392,1975, 1 , A1 ,585000,2/3/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6401,57, ,A1, 610 BARCLAY AVENUE                        ,            ,10312,1,0,1,5000,3580,1999, 1 , A1 ,775000,12/22/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6403,3, ,A1, 562 BARCLAY AVENUE                        ,            ,10312,1,0,1,4000,3000,2001, 1 , A1 ,715000,12/11/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6403,5, ,A1, 566 BARCLAY AVENUE                        ,            ,10312,1,0,1,4000,3000,2001, 1 , A1 ,0,8/24/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6406,1, ,A1, 262 NOEL STREET                           ,            ,10312,1,0,1,4500,2000,2001, 1 , A1 ,0,10/22/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6429,90, ,A3, 25 BLUE HERON COURT                       ,            ,10312,1,0,1,12695,5845,2000, 1 , A3 ,0,2/4/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1B,6431,1, ,V0, 54 DISCALA LANE                           ,            ,10312,0,0,0,1265461,0,0, 1 , A3 ,0,4/20/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1B,6431,1, ,V0, 1 SPANISH LANE                            ,            ,10312,0,0,0,1265461,0,0, 1 , A3 ,0,3/11/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6441,102, ,A1, 12 DOLE STREET                            ,            ,10312,1,0,1,4400,2529,1935, 1 , A1 ,395000,9/22/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6441,102, ,A1, 12 DOLE STREET                            ,            ,10312,1,0,1,4400,2529,1935, 1 , A1 ,0,9/22/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6441,121, ,A1, 30 DOLE STREET                            ,            ,10312,1,0,1,6285,1887,1944, 1 , A1 ,379000,9/1/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6442,18, ,A1, 289 POILLON AVENUE                        ,            ,10312,1,0,1,15200,2484,1940, 1 , A1 ,0,5/6/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6452,4, ,A6, 38 ZEPHYR AVENUE                          ,            ,10312,1,0,1,3822,616,1940, 1 , A6 ,0,3/19/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6453,8, ,A1, 430 POILLON AVENUE                        ,            ,10312,1,0,1,5546,4231,1997, 1 , A1 ,0,1/12/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,230, ,A3, 30 NICOLOSI DRIVE                         ,            ,10312,1,0,1,23433,5400,1990, 1 , A3 ,1500000,11/24/2009
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,265, ,A3, 6 NICOLOSI LOOP                           ,            ,10312,1,0,1,11100,7296,1990, 1 , A3 ,0,6/10/2009
