neighborhood,crime_rank,income_rank,avg_sales_rank,cum_development_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,175.0,76.0,27.0,30.0,0.3738,0.3283,0.8353
BATHBEACH,60.5,89.0,110.0,142.0,0.4873,0.4282,2.8146
GRAVESEND,60.5,132.0,53.0,62.0,0.3732,0.3086,1.4547
FINANCIAL,140.5,10.0,7.0,5.0,0.1972,0.1831,0.2618
SOUTHBRIDGE,140.5,41.0,64.0,57.0,0.3671,0.3302,1.663
BAYRIDGE,19.0,72.0,35.0,52.0,0.216,0.1805,0.9453
BAYSIDE,14.5,97.0,32.0,40.0,0.2227,0.1785,0.8845
DOUGLASTON,14.5,64.0,129.0,158.0,0.4436,0.3934,3.218
LITTLENECK,14.5,61.0,127.0,151.0,0.429,0.3804,3.1613
OAKLANDGARDENS,14.5,91.0,122.0,162.0,0.4727,0.4135,3.0872
BEDFORDPARK/NORWOOD,178.5,190.0,91.0,64.0,0.6353,0.5337,2.461
BEDFORDSTUYVESANT,106.0,127.0,21.0,22.0,0.335,0.2755,0.6959
BELMONT,145.5,195.0,161.0,93.0,0.7215,0.6066,4.0916
BENSONHURST,60.5,129.0,59.0,87.0,0.4072,0.3426,1.6174
BOROUGHPARK,54.5,121.0,30.0,29.0,0.2846,0.229,0.874
BRIGHTONBEACH,51.5,104.0,98.0,134.0,0.4703,0.4083,2.5383
MANHATTANBEACH,51.5,112.0,167.0,132.0,0.5613,0.4831,4.1349
SEAGATE,51.5,183.0,187.0,178.0,0.7275,0.6183,4.7152
BROOKLYNHEIGHTS,85.5,47.0,28.0,36.0,0.2385,0.2096,0.7825
BROOKLYN-UNKNOWN,85.5,78.0,190.0,101.0,0.5516,0.4798,4.619
COBBLEHILL,85.5,36.0,112.0,124.0,0.4339,0.3931,2.8048
COBBLEHILL-WEST,85.5,42.0,164.0,165.0,0.554,0.501,4.0544
DOWNTOWN-FULTONFERRY,85.5,31.0,56.0,82.0,0.3089,0.2808,1.4628
DOWNTOWN-METROTECH,85.5,40.0,71.0,39.0,0.2858,0.2514,1.7704
BROWNSVILLE,173.5,145.0,131.0,105.0,0.6729,0.5812,3.3814
BUSHWICK,147.5,92.0,37.0,35.0,0.378,0.3263,1.0702
WYCKOFFHEIGHTS,147.5,189.0,159.0,126.0,0.7542,0.6419,4.0769
CANARSIE,38.0,164.0,62.0,98.0,0.4393,0.3622,1.7189
CARROLLGARDENS,32.0,45.0,88.0,67.0,0.2816,0.2454,2.1654
BOERUMHILL,32.0,44.0,80.0,47.0,0.2464,0.2121,1.9581
GOWANUS,32.0,53.0,82.0,78.0,0.2973,0.2593,2.0468
REDHOOK,32.0,54.0,135.0,129.0,0.4248,0.3761,3.3256
HARLEM-CENTRAL,68.0,46.0,19.0,17.0,0.182,0.1564,0.5426
CHELSEA,195.5,12.0,6.0,8.0,0.2688,0.2506,0.2774
FLATIRON,195.5,8.0,9.0,7.0,0.2664,0.2491,0.3416
MADISON,195.5,136.0,96.0,113.0,0.6559,0.5729,2.5877
CHINATOWN,136.0,28.0,67.0,63.0,0.3568,0.3245,1.7234
CLINTON,195.5,2.0,24.0,27.0,0.3016,0.2837,0.7035
CO-OPCITY,93.0,158.0,197.0,130.0,0.7015,0.5972,4.8943
MELROSE/CONCOURSE,184.5,180.0,94.0,44.0,0.6098,0.5111,2.5022
CONEYISLAND,51.5,152.0,119.0,55.0,0.4581,0.3738,2.9828
CROWNHEIGHTS,82.0,98.0,31.0,28.0,0.29,0.2413,0.8903
DYKERHEIGHTS,19.0,117.0,111.0,117.0,0.4417,0.3744,2.8124
