,crime_rank,income_rank,sales_rank,dev_rank,opp_zone,eq_weight_score,weights_by_completeness,weights_by_reliability
UPPEREASTSIDE(96-110),2.5,4.0,118.0,49.0,0.0,0.1684,0.149,0.1617
ROOSEVELTISLAND,2.5,75.5,124.0,170.0,0.0,0.3612,0.3189,0.3288
UPPERWESTSIDE(59-79),67.5,5.5,90.0,60.0,0.0,0.2165,0.1976,0.1768
UPPERWESTSIDE(79-96),67.5,42.0,54.0,138.0,0.0,0.2927,0.2681,0.2384
UPPERWESTSIDE(96-116),67.5,1.0,188.0,175.0,0.0,0.4189,0.3864,0.369
WAKEFIELD,32.0,151.5,132.0,35.0,0.0,0.3403,0.272,0.2919
WOODLAWN,32.0,82.5,113.0,141.5,0.0,0.3583,0.314,0.313
WASHINGTONHEIGHTSLOWER,99.0,44.5,30.0,152.0,1.0,0.516,0.4927,0.4446
WASHINGTONHEIGHTSUPPER,30.0,29.0,32.0,78.0,1.0,0.3641,0.3487,0.3363
MIDTOWNWEST,28.0,5.5,27.0,119.0,0.0,0.1743,0.167,0.1481
WILLIAMSBRIDGE,32.0,124.5,140.0,124.0,0.0,0.4083,0.347,0.3565
WINDSORTERRACE,72.0,162.5,119.0,4.0,0.0,0.3471,0.2753,0.2802
FLATBUSH-LEFFERTSGARDEN,109.0,198.0,34.0,34.0,1.0,0.5641,0.4926,0.4694
JAMAICABAY,186.5,115.0,199.0,14.0,1.0,0.6995,0.6242,0.5853
KINGSBRIDGE/JEROMEPARK,54.0,57.0,15.0,80.0,0.0,0.2,0.1775,0.155
PELHAMPARKWAYSOUTH,54.0,52.0,109.0,52.0,0.0,0.2592,0.2238,0.2179
